date,jq_start_cash,local_start_cash,jq_start_asset,local_start_asset,jq_end_cash,local_end_cash,jq_end_asset,local_end_asset,jq_trade_count,local_order_count,local_fill_count,jq_position_count,local_position_count,cash_difference,asset_difference,first_difference_field,alignment_status
2026-05-06,805259.0,805259.0,1001161.0,1001161.0,805259.0,805259.0,1001161.0,1001161.0,10,10,10,10,10,0.0,0.0,,MATCH
2026-05-07,805259.0,805259.0,1001845.0,1001845.0,805259.0,805259.0,1001845.0,1001845.0,0,0,0,10,10,0.0,0.0,,MATCH
2026-05-08,805259.0,805259.0,1004250.0,1004250.0,805259.0,805259.0,1004250.0,1004250.0,0,0,0,10,10,0.0,0.0,,MATCH
2026-05-11,608407.0,608407.0,1006704.0,1006704.0,608407.0,608407.0,1006704.0,1006704.0,10,10,10,11,11,0.0,0.0,,MATCH
2026-05-12,608407.0,608407.0,1002712.0,1002712.0,608407.0,608407.0,1002712.0,1002712.0,0,0,0,11,11,0.0,0.0,,MATCH
2026-05-13,608407.0,608407.0,1002141.0,1002141.0,608407.0,608407.0,1002141.0,1002141.0,0,0,0,11,11,0.0,0.0,,MATCH
2026-05-14,410485.0,411202.28,1009405.0,1009392.28,410485.0,411202.28,1009405.0,1009392.28,10,11,11,12,12,717.28,-12.72,cash,ROOT_DIVERGENCE
2026-05-15,410485.0,411202.28,1000895.0,1000893.28,410485.0,411202.28,1000895.0,1000893.28,0,0,0,12,12,717.28,-1.72,,CASCADE_DIVERGENCE
2026-05-18,410485.0,411202.28,1007618.0,1007607.28,410485.0,411202.28,1007618.0,1007607.28,0,0,0,12,12,717.28,-10.72,,CASCADE_DIVERGENCE
2026-05-19,207908.04,208881.34000000003,1006694.04,1006659.34,207908.04,208881.34000000003,1006694.04,1006659.34,11,11,11,12,12,973.3,-34.7,,CASCADE_DIVERGENCE
2026-05-20,207908.04,208881.34000000003,994873.04,994865.34,207908.04,208881.34000000003,994873.04,994865.34,0,0,0,12,12,973.3,-7.7,,CASCADE_DIVERGENCE
2026-05-21,207908.04,208881.34000000003,964765.04,964805.34,207908.04,208881.34000000003,964765.04,964805.34,0,0,0,12,12,973.3,40.3,,CASCADE_DIVERGENCE
2026-05-22,10199.04,10235.340000000026,995178.04,995214.34,10199.04,10235.340000000026,995178.04,995214.34,11,12,12,13,13,36.3,36.3,,CASCADE_DIVERGENCE
2026-05-25,10199.04,10235.340000000026,977240.04,977276.34,10199.04,10235.340000000026,977240.04,977276.34,0,0,0,13,13,36.3,36.3,,CASCADE_DIVERGENCE
2026-05-26,10199.04,4113.340000000026,958263.04,958301.34,10199.04,4113.340000000026,958263.04,958301.34,0,4,4,13,13,-6085.7,38.3,,CASCADE_DIVERGENCE
2026-05-27,5323.27,4113.340000000026,935438.27,935373.34,5323.27,4113.340000000026,935438.27,935373.34,11,0,0,13,13,-1209.93,-64.93,,CASCADE_DIVERGENCE
2026-05-28,5323.27,4113.340000000026,933795.27,935373.34,5323.27,4113.340000000026,933795.27,935373.34,0,0,0,13,13,-1209.93,1578.07,,CASCADE_DIVERGENCE
2026-05-29,5323.27,4113.340000000026,907128.27,935373.34,5323.27,4113.340000000026,907128.27,935373.34,0,0,0,13,13,-1209.93,28245.07,,CASCADE_DIVERGENCE
2026-06-01,5291.41,4113.340000000026,930927.41,935373.34,5291.41,4113.340000000026,930927.41,935373.34,11,0,0,14,13,-1178.07,4445.93,,CASCADE_DIVERGENCE
2026-06-02,5599.41,4113.340000000026,898242.41,935373.34,5599.41,4113.340000000026,898242.41,935373.34,0,0,0,14,13,-1486.07,37130.93,,CASCADE_DIVERGENCE
2026-06-03,5599.41,4113.340000000026,884565.41,935373.34,5599.41,4113.340000000026,884565.41,935373.34,0,0,0,14,13,-1486.07,50807.93,,CASCADE_DIVERGENCE
2026-06-04,1203.42,4113.340000000026,862527.42,935373.34,1203.42,4113.340000000026,862527.42,935373.34,8,0,0,13,13,2909.92,72845.92,,CASCADE_DIVERGENCE
2026-06-05,1203.42,4113.340000000026,879159.42,935373.34,1203.42,4113.340000000026,879159.42,935373.34,0,0,0,13,13,2909.92,56213.92,,CASCADE_DIVERGENCE
2026-06-08,1203.42,4113.340000000026,849374.42,935373.34,1203.42,4113.340000000026,849374.42,935373.34,0,0,0,13,13,2909.92,85998.92,,CASCADE_DIVERGENCE
2026-06-09,1225.42,4113.340000000026,857494.42,935373.34,1225.42,4113.340000000026,857494.42,935373.34,5,0,0,13,13,2887.92,77878.92,,CASCADE_DIVERGENCE
2026-06-10,1225.42,4113.340000000026,844124.42,935373.34,1225.42,4113.340000000026,844124.42,935373.34,0,0,0,13,13,2887.92,91248.92,,CASCADE_DIVERGENCE
2026-06-11,1225.42,4113.340000000026,833510.42,935373.34,1225.42,4113.340000000026,833510.42,935373.34,0,0,0,13,13,2887.92,101862.92,,CASCADE_DIVERGENCE
2026-06-12,139.57,4113.340000000026,837698.57,935373.34,139.57,4113.340000000026,837698.57,935373.34,7,0,0,13,13,3973.77,97674.77,,CASCADE_DIVERGENCE
2026-06-15,139.57,4113.340000000026,825656.57,935373.34,139.57,4113.340000000026,825656.57,935373.34,0,0,0,13,13,3973.77,109716.77,,CASCADE_DIVERGENCE
