date,opening_cash,buy_amount,sell_amount,reported_fees,reported_other_fees,expected_closing_cash,observed_closing_cash,cash_difference,has_buy,has_sell,has_trade
2026-05-07,805259.0,0,0,0,,805259.0,805259.0,0.0,False,False,False
2026-05-08,805259.0,0,0,0,,805259.0,805259.0,0.0,False,False,False
2026-05-11,805259.0,196802.0,0,50.0,,608407.0,608407.0,0.0,True,False,True
2026-05-12,608407.0,0,0,0,,608407.0,608407.0,0.0,False,False,False
2026-05-13,608407.0,0,0,0,,608407.0,608407.0,0.0,False,False,False
2026-05-14,608407.0,197872.0,0,50.0,,410485.0,410485.0,0.0,True,False,True
2026-05-15,410485.0,0,0,0,,410485.0,410485.0,0.0,False,False,False
2026-05-18,410485.0,0,0,0,,410485.0,410485.0,0.0,False,False,False
2026-05-19,410485.0,205474.0,2955.0,57.96,,207908.04,207908.04,0.0,True,True,True
2026-05-20,207908.04,0,0,0,,207908.04,207908.04,0.0,False,False,False
2026-05-21,207908.04,0,0,0,,207908.04,207908.04,0.0,False,False,False
2026-05-22,207908.04,197654.0,0,55.0,,10199.040000000008,10199.04,-0.0,True,False,True
2026-05-25,10199.04,0,0,0,,10199.04,10199.04,0.0,False,False,False
2026-05-26,10199.04,0,0,0,,10199.04,10199.04,0.0,False,False,False
2026-05-27,10199.04,80516.0,75771.0,130.78,,5323.260000000001,5323.27,0.01,True,True,True
2026-05-28,5323.27,0,0,0,,5323.27,5323.27,0.0,False,False,False
2026-05-29,5323.27,0,0,0,,5323.27,5323.27,0.0,False,False,False
2026-06-01,5323.27,77988.0,77664.0,132.66,,4866.610000000001,5291.41,424.8,True,True,True
2026-06-02,5291.41,0,0,0,,5291.41,5599.41,308.0,False,False,False
2026-06-03,5599.41,0,0,0,,5599.41,5599.41,0.0,False,False,False
2026-06-04,5599.41,38312.0,33990.0,73.99000000000001,,1203.4199999999998,1203.42,0.0,True,True,True
2026-06-05,1203.42,0,0,0,,1203.42,1203.42,0.0,False,False,False
2026-06-08,1203.42,0,0,0,,1203.42,1203.42,0.0,False,False,False
2026-06-09,1203.42,18932.0,18998.0,44.0,,1225.42,1225.42,0.0,True,True,True
2026-06-10,1225.42,0,0,0,,1225.42,1225.42,0.0,False,False,False
2026-06-11,1225.42,0,0,0,,1225.42,1225.42,0.0,False,False,False
2026-06-12,1225.42,36863.0,35848.0,70.85000000000001,,139.57000000000005,139.57,-0.0,True,True,True
2026-06-15,139.57,0,0,0,,139.57,139.57,0.0,False,False,False
2026-06-16,139.57,0,0,0,,139.57,139.57,0.0,False,False,False
2026-06-17,139.57,47798.0,49237.0,84.24,,1494.33,1494.34,0.01,True,True,True
2026-06-18,1494.34,0,0,0,,1494.34,1494.34,0.0,False,False,False
2026-06-22,1494.34,0,0,0,,1494.34,1494.34,0.0,False,False,False
2026-06-23,1494.34,37252.0,37279.0,87.27,,1434.07,1429.06,-5.01,True,True,True
2026-06-24,1429.06,0,0,0,,1429.06,1429.06,0.0,False,False,False
