date,num_trades,buy_amount,sell_amount,has_portfolio_snapshot,cash,total_asset,position_mv
2026-05-06,10,194691.0,0,True,805259.0,1001161.0,195902.0
2026-05-07,0,0,0,True,805259.0,1001845.0,196586.0
2026-05-08,0,0,0,True,805259.0,1004250.0,198991.0
2026-05-11,10,196802.0,0,True,608407.0,1006704.0,398297.0
2026-05-12,0,0,0,True,608407.0,1002712.0,394305.0
2026-05-13,0,0,0,True,608407.0,1002141.0,393734.0
2026-05-14,10,197872.0,0,True,410485.0,1009405.0,598920.0
2026-05-15,0,0,0,True,410485.0,1000895.0,590410.0
2026-05-18,0,0,0,True,410485.0,1007618.0,597133.0
2026-05-19,11,205474.0,-2955.0,True,207908.04,1006694.04,798786.0
2026-05-20,0,0,0,True,207908.04,994873.04,786965.0
2026-05-21,0,0,0,True,207908.04,964765.04,756857.0
2026-05-22,11,197654.0,0,True,10199.04,995178.04,984979.0
2026-05-25,0,0,0,True,10199.04,977240.04,967041.0
2026-05-26,0,0,0,True,10199.04,958263.04,948064.0
2026-05-27,11,80516.0,-75771.0,True,5323.27,935438.27,930115.0
2026-05-28,0,0,0,True,5323.27,933795.27,928472.0
2026-05-29,0,0,0,True,5323.27,907128.27,901805.0
2026-06-01,11,77988.0,-77664.0,True,5291.41,930927.41,925636.0
2026-06-02,0,0,0,True,5599.41,898242.41,892643.0
2026-06-03,0,0,0,True,5599.41,884565.41,878966.0
2026-06-04,8,38312.0,-33990.0,True,1203.42,862527.42,861324.0
2026-06-05,0,0,0,True,1203.42,879159.42,877956.0
2026-06-08,0,0,0,True,1203.42,849374.42,848171.0
2026-06-09,5,18932.0,-18998.0,True,1225.42,857494.42,856269.0
2026-06-10,0,0,0,True,1225.42,844124.42,842899.0
2026-06-11,0,0,0,True,1225.42,833510.42,832285.0
2026-06-12,7,36863.0,-35848.0,True,139.57,837698.57,837559.0
2026-06-15,0,0,0,True,139.57,825656.57,825517.0
2026-06-16,0,0,0,True,139.57,829190.57,829051.0
2026-06-17,7,47798.0,-49237.0,True,1494.34,806079.34,804585.0
2026-06-18,0,0,0,True,1494.34,801540.34,800046.0
2026-06-22,0,0,0,True,1494.34,815795.34,814301.0
2026-06-23,11,37252.0,-37279.0,True,1429.06,834499.06,833070.0
2026-06-24,0,0,0,True,1429.06,788859.06,787430.0
