date,label,cash,locked_cash,positions_value,total_value,position_count
2026-05-06,END_OF_DAY,805259.0,0.0,195902.0,1001161.0,13
2026-05-06,POST_TRADE,805259.0,0.0,194691.0,999950.0,10
2026-05-06,PRE_TRADE_INNER,1000000.0,0.0,0.0,1000000.0,0
2026-05-07,END_OF_DAY,805259.0,0.0,196586.0,1001845.0,13
2026-05-07,POST_TRADE,805259.0,0.0,195847.0,1001106.0,10
2026-05-07,PRE_TRADE_INNER,805259.0,0.0,195847.0,1001106.0,10
2026-05-08,END_OF_DAY,805259.0,0.0,198991.0,1004250.0,13
2026-05-08,POST_TRADE,805259.0,0.0,197071.0,1002330.0,10
2026-05-08,PRE_TRADE_INNER,805259.0,0.0,197071.0,1002330.0,10
2026-05-11,END_OF_DAY,608407.0,0.0,398297.0,1006704.0,13
2026-05-11,POST_TRADE,608407.0,0.0,397202.0,1005609.0,11
2026-05-11,PRE_TRADE_INNER,805259.0,0.0,200400.0,1005659.0,10
2026-05-12,END_OF_DAY,608407.0,0.0,394305.0,1002712.0,13
2026-05-12,POST_TRADE,608407.0,0.0,398109.0,1006516.0,11
2026-05-12,PRE_TRADE_INNER,608407.0,0.0,398109.0,1006516.0,11
2026-05-13,END_OF_DAY,608407.0,0.0,393734.0,1002141.0,13
2026-05-13,POST_TRADE,608407.0,0.0,395970.0,1004377.0,11
2026-05-13,PRE_TRADE_INNER,608407.0,0.0,395970.0,1004377.0,11
2026-05-14,END_OF_DAY,411202.28,0.0,598190.0,1009392.28,13
2026-05-14,POST_TRADE,411209.0,0.0,593999.0,1005208.0,12
2026-05-14,PRE_TRADE_INNER,608407.0,0.0,396850.0,1005257.0,11
2026-05-15,END_OF_DAY,411202.28,0.0,589691.0,1000893.28,13
2026-05-15,POST_TRADE,411202.28,0.0,599270.0,1010472.28,12
2026-05-15,PRE_TRADE_INNER,411202.28,0.0,599270.0,1010472.28,12
2026-05-18,END_OF_DAY,411202.28,0.0,596405.0,1007607.28,13
2026-05-18,POST_TRADE,411202.28,0.0,590726.0,1001928.28,12
2026-05-18,PRE_TRADE_INNER,411202.28,0.0,590726.0,1001928.28,12
2026-05-19,END_OF_DAY,208881.34000000003,0.0,797778.0,1006659.3400000001,13
2026-05-19,POST_TRADE,208910.28000000003,0.0,799204.0,1008114.28,12
2026-05-19,PRE_TRADE_INNER,411202.28,0.0,596942.0,1008144.28,12
2026-05-20,END_OF_DAY,208881.34000000003,0.0,785984.0,994865.3400000001,13
2026-05-20,POST_TRADE,208881.34000000003,0.0,796943.0,1005824.3400000001,12
2026-05-20,PRE_TRADE_INNER,208881.34000000003,0.0,796943.0,1005824.3400000001,12
2026-05-21,END_OF_DAY,208881.34000000003,0.0,755924.0,964805.3400000001,13
2026-05-21,POST_TRADE,208881.34000000003,0.0,786306.0,995187.3400000001,12
2026-05-21,PRE_TRADE_INNER,208881.34000000003,0.0,786306.0,995187.3400000001,12
2026-05-22,END_OF_DAY,10235.340000000026,0.0,984979.0,995214.3400000001,13
2026-05-22,POST_TRADE,10235.340000000026,0.0,958966.0,969201.3400000001,13
2026-05-22,PRE_TRADE_INNER,208881.34000000003,0.0,760380.0,969261.3400000001,12
2026-05-25,END_OF_DAY,10235.340000000026,0.0,967041.0,977276.3400000001,13
2026-05-25,POST_TRADE,10235.340000000026,0.0,967041.0,977276.3400000001,13
2026-05-25,PRE_TRADE_INNER,10235.340000000026,0.0,967041.0,977276.3400000001,13
2026-05-26,END_OF_DAY,4113.340000000026,0.0,954188.0,958301.3400000001,13
2026-05-26,POST_TRADE,10235.340000000026,0.0,948064.0,958299.3400000001,13
2026-05-26,PRE_TRADE_INNER,10235.340000000026,0.0,948064.0,958299.3400000001,13
2026-05-27,END_OF_DAY,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-05-27,POST_TRADE,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-05-27,PRE_TRADE_INNER,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-05-28,END_OF_DAY,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-05-28,POST_TRADE,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-05-28,PRE_TRADE_INNER,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-05-29,END_OF_DAY,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-05-29,POST_TRADE,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-05-29,PRE_TRADE_INNER,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-01,END_OF_DAY,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-01,POST_TRADE,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-01,PRE_TRADE_INNER,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-02,END_OF_DAY,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-02,POST_TRADE,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-02,PRE_TRADE_INNER,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-03,END_OF_DAY,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-03,POST_TRADE,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-03,PRE_TRADE_INNER,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-04,END_OF_DAY,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-04,POST_TRADE,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-04,PRE_TRADE_INNER,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-05,END_OF_DAY,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-05,POST_TRADE,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-05,PRE_TRADE_INNER,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-08,END_OF_DAY,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-08,POST_TRADE,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-08,PRE_TRADE_INNER,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-09,END_OF_DAY,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-09,POST_TRADE,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-09,PRE_TRADE_INNER,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-10,END_OF_DAY,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-10,POST_TRADE,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-10,PRE_TRADE_INNER,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-11,END_OF_DAY,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-11,POST_TRADE,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-11,PRE_TRADE_INNER,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-12,END_OF_DAY,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-12,POST_TRADE,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-12,PRE_TRADE_INNER,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-15,END_OF_DAY,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-15,POST_TRADE,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-15,PRE_TRADE_INNER,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-16,END_OF_DAY,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-16,POST_TRADE,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-16,PRE_TRADE_INNER,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-17,END_OF_DAY,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-17,POST_TRADE,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-17,PRE_TRADE_INNER,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-18,END_OF_DAY,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-18,POST_TRADE,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-18,PRE_TRADE_INNER,4113.340000000026,0.0,931260.0,935373.3400000001,13
2026-06-22,END_OF_DAY,4113.340000000026,0.0,931260.0,935373.3400000001,13
