date,cash,total_value,positions_value,position_count
2026-05-06,805259.0,1001161.0,195902.0,13
2026-05-07,805259.0,1001845.0,196586.0,13
2026-05-08,805259.0,1004250.0,198991.0,13
2026-05-11,608407.0,1006704.0,398297.0,13
2026-05-12,608407.0,1002712.0,394305.0,13
2026-05-13,608407.0,1002141.0,393734.0,13
2026-05-14,411202.28,1009392.28,598190.0,13
2026-05-15,411202.28,1000893.28,589691.0,13
2026-05-18,411202.28,1007607.28,596405.0,13
2026-05-19,208881.34000000003,1006659.3400000001,797778.0,13
2026-05-20,208881.34000000003,994865.3400000001,785984.0,13
2026-05-21,208881.34000000003,964805.3400000001,755924.0,13
2026-05-22,10235.340000000026,995214.3400000001,984979.0,13
2026-05-25,10235.340000000026,977276.3400000001,967041.0,13
2026-05-26,4113.340000000026,958301.3400000001,954188.0,13
2026-05-27,4113.340000000026,935373.3400000001,931260.0,13
2026-05-28,4113.340000000026,935373.3400000001,931260.0,13
2026-05-29,4113.340000000026,935373.3400000001,931260.0,13
2026-06-01,4113.340000000026,935373.3400000001,931260.0,13
2026-06-02,4113.340000000026,935373.3400000001,931260.0,13
2026-06-03,4113.340000000026,935373.3400000001,931260.0,13
2026-06-04,4113.340000000026,935373.3400000001,931260.0,13
2026-06-05,4113.340000000026,935373.3400000001,931260.0,13
2026-06-08,4113.340000000026,935373.3400000001,931260.0,13
2026-06-09,4113.340000000026,935373.3400000001,931260.0,13
2026-06-10,4113.340000000026,935373.3400000001,931260.0,13
2026-06-11,4113.340000000026,935373.3400000001,931260.0,13
2026-06-12,4113.340000000026,935373.3400000001,931260.0,13
2026-06-15,4113.340000000026,935373.3400000001,931260.0,13
2026-06-16,4113.340000000026,935373.3400000001,931260.0,13
2026-06-17,4113.340000000026,935373.3400000001,931260.0,13
2026-06-18,4113.340000000026,935373.3400000001,931260.0,13
2026-06-22,4113.340000000026,935373.3400000001,931260.0,13
2026-06-23,4113.340000000026,935373.3400000001,931260.0,13
2026-06-24,4113.340000000026,935373.3400000001,931260.0,13
