trade_date,code,price,amount,commission,side,trade_id
2026-05-06,301098.XSHE,9.63,2000,5.0,buy,t_1
2026-05-06,600455.XSHG,28.5,700,5.0,buy,t_2
2026-05-06,300665.XSHE,8.6,2300,5.0,buy,t_3
2026-05-06,300929.XSHE,14.29,1300,5.0,buy,t_4
2026-05-06,300417.XSHE,14.26,1400,5.0,buy,t_5
2026-05-06,300405.XSHE,7.06,2800,5.0,buy,t_6
2026-05-06,600561.XSHG,7.07,2800,5.0,buy,t_7
2026-05-06,301167.XSHE,17.8,1100,5.0,buy,t_8
2026-05-06,600697.XSHG,12.64,1500,5.0,buy,t_9
2026-05-06,300500.XSHE,11.91,1600,5.0,buy,t_10
2026-05-11,301098.XSHE,9.79,2100,5.0,buy,t_11
2026-05-11,600455.XSHG,29.39,600,5.0,buy,t_12
2026-05-11,300665.XSHE,9.09,2100,5.0,buy,t_13
2026-05-11,300929.XSHE,14.72,1400,5.0,buy,t_14
2026-05-11,300417.XSHE,15.47,1200,5.0,buy,t_15
2026-05-11,300405.XSHE,7.17,2800,5.0,buy,t_16
2026-05-11,600561.XSHG,7.13,2800,5.0,buy,t_17
2026-05-11,301167.XSHE,18.02,1100,5.0,buy,t_18
2026-05-11,600697.XSHG,12.84,1600,5.0,buy,t_19
2026-05-11,600493.XSHG,7.67,2600,5.0,buy,t_20
2026-05-14,301098.XSHE,10.8,1400,5.0,buy,t_21
2026-05-14,600455.XSHG,29.04,700,5.0,buy,t_22
2026-05-14,300665.XSHE,9.25,2100,5.0,buy,t_23
2026-05-14,300929.XSHE,14.14,1500,5.0,buy,t_24
2026-05-14,300417.XSHE,15.24,1300,5.0,buy,t_25
2026-05-14,300405.XSHE,7.23,-100,5.0,buy,t_26
2026-05-14,600561.XSHG,7.03,2900,5.0,buy,t_27
2026-05-14,301167.XSHE,17.73,1200,5.0,buy,t_28
2026-05-14,600697.XSHG,12.44,1700,5.0,buy,t_29
2026-05-14,600493.XSHG,7.37,2800,5.0,buy,t_30
2026-05-14,300535.XSHE,18.53,1000,5.0,buy,t_31
2026-05-19,301098.XSHE,10.66,2000,5.0,buy,t_32
2026-05-19,600455.XSHG,29.71,700,5.0,buy,t_33
2026-05-19,300665.XSHE,9.85,-400,5.0,buy,t_34
2026-05-19,300929.XSHE,14.0,1500,5.0,buy,t_35
2026-05-19,300417.XSHE,15.23,1300,5.0,buy,t_36
2026-05-19,300405.XSHE,7.28,2800,5.0,buy,t_37
2026-05-19,600561.XSHG,6.94,3100,5.0,buy,t_38
2026-05-19,301167.XSHE,17.52,1200,5.0,buy,t_39
2026-05-19,600697.XSHG,12.48,1600,5.0,buy,t_40
2026-05-19,600493.XSHG,7.4,2700,5.0,buy,t_41
2026-05-19,300535.XSHE,18.56,1100,5.0,buy,t_42
2026-05-22,301098.XSHE,10.3,1900,5.0,buy,t_43
2026-05-22,600455.XSHG,28.62,600,5.0,buy,t_44
2026-05-22,300665.XSHE,9.32,100,5.0,buy,t_45
2026-05-22,300929.XSHE,13.25,1600,5.0,buy,t_46
2026-05-22,300417.XSHE,14.48,1400,5.0,buy,t_47
2026-05-22,300405.XSHE,6.87,100,5.0,buy,t_48
2026-05-22,600561.XSHG,6.61,3000,5.0,buy,t_49
2026-05-22,301167.XSHE,16.48,1200,5.0,buy,t_50
2026-05-22,600697.XSHG,11.87,1700,5.0,buy,t_51
2026-05-22,600493.XSHG,7.01,2900,5.0,buy,t_52
2026-05-22,300535.XSHE,17.65,1100,5.0,buy,t_53
2026-05-22,603879.XSHG,5.34,3600,5.0,buy,t_54
2026-05-26,300417.XSHE,14.13,100,5.0,buy,t_55
2026-05-26,301167.XSHE,15.95,100,5.0,buy,t_56
2026-05-26,600493.XSHG,6.81,200,5.0,buy,t_57
2026-05-26,300535.XSHE,17.32,100,5.0,buy,t_58
