date,security,side,jq_quantity,jq_price,local_filled_quantity,local_filled_price,order_intent_buy_target,order_intent_sell_target,rejection_reason,alignment
2026-05-06,301098.XSHE,buy,2000,9.63,2000,9.63,,,,MATCH
2026-05-06,600455.XSHG,buy,700,28.5,700,28.5,,,,MATCH
2026-05-06,300665.XSHE,buy,2300,8.6,2300,8.6,,,,MATCH
2026-05-06,300929.XSHE,buy,1300,14.29,1300,14.29,,,,MATCH
2026-05-06,300417.XSHE,buy,1400,14.26,1400,14.26,,,,MATCH
2026-05-06,300405.XSHE,buy,2800,7.06,2800,7.06,,,,MATCH
2026-05-06,600561.XSHG,buy,2800,7.07,2800,7.07,,,,MATCH
2026-05-06,301167.XSHE,buy,1100,17.8,1100,17.8,,,,MATCH
2026-05-06,600697.XSHG,buy,1500,12.64,1500,12.64,,,,MATCH
2026-05-06,300500.XSHE,buy,1600,11.91,1600,11.91,,,,MATCH
2026-05-11,301098.XSHE,buy,2100,9.79,2100,9.79,,,,MATCH
2026-05-11,600455.XSHG,buy,600,29.39,600,29.39,,,,MATCH
2026-05-11,300665.XSHE,buy,2100,9.09,2100,9.09,,,,MATCH
2026-05-11,300929.XSHE,buy,1400,14.72,1400,14.72,,,,MATCH
2026-05-11,300417.XSHE,buy,1200,15.47,1200,15.47,,,,MATCH
2026-05-11,300405.XSHE,buy,2800,7.17,2800,7.17,,,,MATCH
2026-05-11,600561.XSHG,buy,2800,7.13,2800,7.13,,,,MATCH
2026-05-11,301167.XSHE,buy,1100,18.02,1100,18.02,,,,MATCH
2026-05-11,600697.XSHG,buy,1600,12.84,1600,12.84,,,,MATCH
2026-05-11,600493.XSHG,buy,2600,7.67,2600,7.67,,,,MATCH
2026-05-14,301098.XSHE,buy,1400,10.8,1400,10.8,,,,MATCH
2026-05-14,600455.XSHG,buy,700,29.04,700,29.04,,,,MATCH
2026-05-14,300665.XSHE,buy,2100,9.25,2100,9.25,,,,MATCH
2026-05-14,300929.XSHE,buy,1500,14.14,1500,14.14,,,,MATCH
2026-05-14,300417.XSHE,buy,1300,15.24,1300,15.24,,,,MATCH
