date,event_time,security,rejection_reason,relation_to_first_divergence,dividend_note
2026-05-26,14:00,300665.XSHE,limit down,CASCADE_AFTER_FIRST_DIVERGENCE,
2026-05-26,14:00,300405.XSHE,limit down,CASCADE_AFTER_FIRST_DIVERGENCE,
2026-05-27,14:00,301098.XSHE,limit down,CASCADE_AFTER_FIRST_DIVERGENCE,
2026-05-27,14:00,600455.XSHG,limit down,CASCADE_AFTER_FIRST_DIVERGENCE,
2026-05-27,14:00,300665.XSHE,limit down,CASCADE_AFTER_FIRST_DIVERGENCE,
2026-05-27,14:00,300929.XSHE,limit down,CASCADE_AFTER_FIRST_DIVERGENCE,
2026-05-27,14:00,300417.XSHE,limit down,CASCADE_AFTER_FIRST_DIVERGENCE,
2026-05-27,14:00,300405.XSHE,limit down,CASCADE_AFTER_FIRST_DIVERGENCE,
2026-05-27,14:00,600561.XSHG,limit down,CASCADE_AFTER_FIRST_DIVERGENCE,
2026-05-27,14:00,301167.XSHE,limit down,CASCADE_AFTER_FIRST_DIVERGENCE,
2026-05-27,14:00,600697.XSHG,limit down,CASCADE_AFTER_FIRST_DIVERGENCE,
2026-05-27,14:00,300500.XSHE,limit down,CASCADE_AFTER_FIRST_DIVERGENCE,
2026-05-27,14:00,603879.XSHG,limit down,CASCADE_AFTER_FIRST_DIVERGENCE,
2026-05-29,14:00,301098.XSHE,limit down,CASCADE_AFTER_FIRST_DIVERGENCE,
2026-05-29,14:00,600455.XSHG,limit down,CASCADE_AFTER_FIRST_DIVERGENCE,
2026-05-29,14:00,300929.XSHE,limit down,CASCADE_AFTER_FIRST_DIVERGENCE,
2026-05-29,14:00,300417.XSHE,limit down,CASCADE_AFTER_FIRST_DIVERGENCE,
2026-05-29,14:00,300405.XSHE,limit down,CASCADE_AFTER_FIRST_DIVERGENCE,
2026-05-29,14:00,600561.XSHG,limit down,CASCADE_AFTER_FIRST_DIVERGENCE,
2026-05-29,14:00,301167.XSHE,limit down,CASCADE_AFTER_FIRST_DIVERGENCE,
2026-05-29,14:00,300500.XSHE,limit down,CASCADE_AFTER_FIRST_DIVERGENCE,
2026-05-29,14:00,600493.XSHG,limit down,CASCADE_AFTER_FIRST_DIVERGENCE,
2026-06-01,14:00,301098.XSHE,limit down,CASCADE_AFTER_FIRST_DIVERGENCE,
