date,sequence,security,side,jq_quantity,local_requested_quantity,local_filled_quantity,jq_price,local_price,local_order_status,local_rejection_reason,alignment_status
2026-05-06,0,301098.XSHE,buy,2000,2000,2000,9.63,9.63,FILLED_MATCH,,MATCH
2026-05-06,1,600455.XSHG,buy,700,700,700,28.5,28.5,FILLED_MATCH,,MATCH
2026-05-06,2,300665.XSHE,buy,2300,2300,2300,8.6,8.6,FILLED_MATCH,,MATCH
2026-05-06,3,300929.XSHE,buy,1300,1300,1300,14.29,14.29,FILLED_MATCH,,MATCH
2026-05-06,4,300417.XSHE,buy,1400,1400,1400,14.26,14.26,FILLED_MATCH,,MATCH
2026-05-06,5,300405.XSHE,buy,2800,2800,2800,7.06,7.06,FILLED_MATCH,,MATCH
2026-05-06,6,600561.XSHG,buy,2800,2800,2800,7.07,7.07,FILLED_MATCH,,MATCH
2026-05-06,7,301167.XSHE,buy,1100,1100,1100,17.8,17.8,FILLED_MATCH,,MATCH
2026-05-06,8,600697.XSHG,buy,1500,1500,1500,12.64,12.64,FILLED_MATCH,,MATCH
2026-05-06,9,300500.XSHE,buy,1600,1600,1600,11.91,11.91,FILLED_MATCH,,MATCH
2026-05-11,0,301098.XSHE,buy,2100,2100,2100,9.79,9.79,FILLED_MATCH,,MATCH
2026-05-11,1,600455.XSHG,buy,600,600,600,29.39,29.39,FILLED_MATCH,,MATCH
2026-05-11,2,300665.XSHE,buy,2100,2100,2100,9.09,9.09,FILLED_MATCH,,MATCH
2026-05-11,3,300929.XSHE,buy,1400,1400,1400,14.72,14.72,FILLED_MATCH,,MATCH
2026-05-11,4,300417.XSHE,buy,1200,1200,1200,15.47,15.47,FILLED_MATCH,,MATCH
2026-05-11,5,300405.XSHE,buy,2800,2800,2800,7.17,7.17,FILLED_MATCH,,MATCH
2026-05-11,6,600561.XSHG,buy,2800,2800,2800,7.13,7.13,FILLED_MATCH,,MATCH
2026-05-11,7,301167.XSHE,buy,1100,1100,1100,18.02,18.02,FILLED_MATCH,,MATCH
2026-05-11,8,600697.XSHG,buy,1600,1600,1600,12.84,12.84,FILLED_MATCH,,MATCH
2026-05-11,9,600493.XSHG,buy,2600,2600,2600,7.67,7.67,FILLED_MATCH,,MATCH
2026-05-14,0,301098.XSHE,buy,1400,1400,1400,10.8,10.8,FILLED_MATCH,,MATCH
2026-05-14,1,600455.XSHG,buy,700,700,700,29.04,29.04,FILLED_MATCH,,MATCH
2026-05-14,2,300665.XSHE,buy,2100,2100,2100,9.25,9.25,FILLED_MATCH,,MATCH
2026-05-14,3,300929.XSHE,buy,1500,1500,1500,14.14,14.14,FILLED_MATCH,,MATCH
2026-05-14,4,300417.XSHE,buy,1300,1300,1300,15.24,15.24,FILLED_MATCH,,MATCH
2026-05-14,5,600561.XSHG,buy,2900,2900,2900,7.03,7.03,FILLED_MATCH,,MATCH
2026-05-14,6,301167.XSHE,buy,1200,1200,1200,17.73,17.73,FILLED_MATCH,,MATCH
2026-05-14,7,600697.XSHG,buy,1700,1700,1700,12.44,12.44,FILLED_MATCH,,MATCH
2026-05-14,8,600493.XSHG,buy,2800,2800,2800,7.37,7.37,FILLED_MATCH,,MATCH
2026-05-14,9,300535.XSHE,buy,1000,1000,1000,18.53,18.53,FILLED_MATCH,,MATCH
2026-05-19,0,301098.XSHE,buy,2000,2000,2000,10.66,10.66,FILLED_MATCH,,MATCH
2026-05-19,1,600455.XSHG,buy,700,700,700,29.71,29.71,FILLED_MATCH,,MATCH
2026-05-19,2,300665.XSHE,sell,300,400,400,9.85,9.85,FILLED_QUANTITY_PRICE_MISMATCH,,MISMATCH
2026-05-19,3,300929.XSHE,buy,1500,1500,1500,14.0,14.0,FILLED_MATCH,,MATCH
2026-05-19,4,300417.XSHE,buy,1300,1300,1300,15.23,15.23,FILLED_MATCH,,MATCH
2026-05-19,5,300405.XSHE,buy,2700,2800,2800,7.28,7.28,FILLED_QUANTITY_PRICE_MISMATCH,,MISMATCH
2026-05-19,6,600561.XSHG,buy,3100,3100,3100,6.94,6.94,FILLED_MATCH,,MATCH
2026-05-19,7,301167.XSHE,buy,1200,1200,1200,17.52,17.52,FILLED_MATCH,,MATCH
2026-05-19,8,600697.XSHG,buy,1600,1600,1600,12.48,12.48,FILLED_MATCH,,MATCH
2026-05-19,9,600493.XSHG,buy,2700,2700,2700,7.4,7.4,FILLED_MATCH,,MATCH
2026-05-19,10,300535.XSHE,buy,1100,1100,1100,18.56,18.56,FILLED_MATCH,,MATCH
2026-05-22,0,301098.XSHE,buy,1900,1900,1900,10.3,10.3,FILLED_MATCH,,MATCH
2026-05-22,1,600455.XSHG,buy,600,600,600,28.62,28.62,FILLED_MATCH,,MATCH
2026-05-22,2,300929.XSHE,buy,1600,1600,1600,13.25,13.25,FILLED_MATCH,,MATCH
2026-05-22,3,300417.XSHE,buy,1400,1400,1400,14.48,14.48,FILLED_MATCH,,MATCH
2026-05-22,4,300405.XSHE,buy,100,100,100,6.87,6.87,FILLED_MATCH,,MATCH
2026-05-22,5,600561.XSHG,buy,3000,3000,3000,6.61,6.61,FILLED_MATCH,,MATCH
2026-05-22,6,301167.XSHE,buy,1200,1200,1200,16.48,16.48,FILLED_MATCH,,MATCH
2026-05-22,7,600697.XSHG,buy,1700,1700,1700,11.87,11.87,FILLED_MATCH,,MATCH
2026-05-22,8,600493.XSHG,buy,2900,2900,2900,7.01,7.01,FILLED_MATCH,,MATCH
2026-05-22,9,300535.XSHE,buy,1100,1100,1100,17.65,17.65,FILLED_MATCH,,MATCH
2026-05-22,10,603879.XSHG,buy,3600,3600,3600,5.34,5.34,FILLED_MATCH,,MATCH
2026-05-27,0,300665.XSHE,sell,2300,0,0,9.84,,REJECTED,limit down,DIVERGENCE
2026-05-27,1,300417.XSHE,sell,1100,0,0,14.17,,REJECTED,limit down,DIVERGENCE
2026-05-27,2,300405.XSHE,sell,2800,0,0,6.92,,REJECTED,limit down,DIVERGENCE
2026-05-27,3,600561.XSHG,buy,100,0,0,6.48,,REJECTED,limit down,DIVERGENCE
2026-05-27,4,301167.XSHE,buy,100,0,0,16.01,,REJECTED,limit down,DIVERGENCE
2026-05-27,5,600697.XSHG,buy,100,0,0,11.63,,REJECTED,limit down,DIVERGENCE
2026-05-27,6,300500.XSHE,sell,1600,0,0,11.36,,REJECTED,limit down,DIVERGENCE
2026-05-27,7,600493.XSHG,buy,3000,0,0,6.81,,NOT_FOUND,,MISSING
2026-05-27,8,300535.XSHE,buy,1100,0,0,17.42,,NOT_FOUND,,MISSING
2026-05-27,9,603879.XSHG,buy,3600,0,0,5.3,,REJECTED,limit down,DIVERGENCE
2026-05-27,10,300605.XSHE,buy,1600,0,0,11.52,,NOT_FOUND,,MISSING
2026-06-01,0,301098.XSHE,sell,2100,0,0,9.94,,REJECTED,limit down,DIVERGENCE
2026-06-01,1,300665.XSHE,sell,2000,0,0,9.54,,NOT_FOUND,,MISSING
2026-06-01,2,300929.XSHE,buy,200,0,0,12.02,,REJECTED,limit down,DIVERGENCE
2026-06-01,3,300405.XSHE,sell,2700,0,0,6.4,,REJECTED,limit down,DIVERGENCE
2026-06-01,4,600561.XSHG,buy,300,0,0,5.99,,NOT_FOUND,,MISSING
2026-06-01,5,301167.XSHE,buy,100,0,0,15.0,,REJECTED,limit down,DIVERGENCE
2026-06-01,6,600697.XSHG,sell,1800,0,0,11.35,,NOT_FOUND,,MISSING
2026-06-01,7,300535.XSHE,buy,1200,0,0,16.33,,NOT_FOUND,,MISSING
2026-06-01,8,603879.XSHG,buy,3700,0,0,4.94,,REJECTED,limit down,DIVERGENCE
2026-06-01,9,300605.XSHE,buy,1600,0,0,10.96,,NOT_FOUND,,MISSING
2026-06-01,10,300886.XSHE,buy,700,0,0,24.11,,NOT_FOUND,,MISSING
2026-06-04,0,301098.XSHE,sell,1400,0,0,9.09,,REJECTED,limit down,DIVERGENCE
2026-06-04,1,600455.XSHG,buy,100,0,0,25.7,,REJECTED,limit down,DIVERGENCE
2026-06-04,2,300665.XSHE,sell,1900,0,0,9.81,,NOT_FOUND,,MISSING
2026-06-04,3,300405.XSHE,buy,2700,0,0,6.24,,REJECTED,limit down,DIVERGENCE
2026-06-04,4,600697.XSHG,sell,100,0,0,11.25,,REJECTED,limit down,DIVERGENCE
2026-06-04,5,300535.XSHE,buy,100,0,0,15.66,,REJECTED,limit down,DIVERGENCE
2026-06-04,6,603879.XSHG,sell,300,0,0,5.0,,REJECTED,limit down,DIVERGENCE
