time,code,amount,price,commission,tax,trade_id,order_id
2026-05-06 09:30,301098.XSHE,2000,9.63,5,0.0,t_1,1
2026-05-06 09:30,600455.XSHG,700,28.5,5,0.0,t_2,2
2026-05-06 09:30,300665.XSHE,2300,8.6,5,0.0,t_3,3
2026-05-06 09:30,300929.XSHE,1300,14.29,5,0.0,t_4,4
2026-05-06 09:30,300417.XSHE,1400,14.26,5,0.0,t_5,5
2026-05-06 09:30,300405.XSHE,2800,7.06,5,0.0,t_6,6
2026-05-06 09:30,600561.XSHG,2800,7.07,5,0.0,t_7,7
2026-05-06 09:30,301167.XSHE,1100,17.8,5,0.0,t_8,8
2026-05-06 09:30,600697.XSHG,1500,12.64,5,0.0,t_9,9
2026-05-06 09:30,300500.XSHE,1600,11.91,5,0.0,t_10,10
