date,jq_end_cash,local_end_cash,jq_end_asset,local_end_asset,cash_difference,asset_difference,jq_trade_count,local_fill_count,alignment_status
2026-05-06,805259.0,805259.0,1001161.0,1001161.0,0.0,0.0,10,10,EXACT_MATCH
2026-05-07,805259.0,805259.0,1001845.0,1001845.0,0.0,0.0,0,0,EXACT_MATCH
2026-05-08,805259.0,805259.0,1004250.0,1004250.0,0.0,0.0,0,0,EXACT_MATCH
2026-05-11,608407.0,608407.0,1006704.0,1006704.0,0.0,0.0,10,10,EXACT_MATCH
2026-05-12,608407.0,608407.0,1002712.0,1002712.0,0.0,0.0,0,0,EXACT_MATCH
2026-05-13,608407.0,608407.0,1002141.0,1002141.0,0.0,0.0,0,0,EXACT_MATCH
2026-05-14,410485.0,410485.0,1009405.0,1009405.0,0.0,0.0,10,10,EXACT_MATCH
2026-05-15,410485.0,410485.0,1000895.0,1000895.0,0.0,0.0,0,0,EXACT_MATCH
2026-05-18,410485.0,410485.0,1007618.0,1007618.0,0.0,0.0,0,0,EXACT_MATCH
2026-05-19,207908.04,207908.04,1006694.04,1006694.04,0.0,0.0,11,11,EXACT_MATCH
2026-05-20,207908.04,207908.04,994873.04,994873.04,0.0,0.0,0,0,EXACT_MATCH
2026-05-21,207908.04,207908.04,964765.04,964765.04,0.0,0.0,0,0,EXACT_MATCH
2026-05-22,10199.04,10199.040000000008,995178.04,995178.04,0.0,0.0,11,11,EXACT_MATCH
2026-05-25,10199.04,10199.040000000008,977240.04,977240.04,0.0,0.0,0,0,EXACT_MATCH
2026-05-26,10199.04,4077.040000000008,958263.04,958265.04,-6122.0,2.0,0,4,MISMATCH
2026-05-27,5323.27,4077.040000000008,935438.27,935337.04,-1246.23,-101.23,11,0,MISMATCH
2026-05-28,5323.27,4077.040000000008,933795.27,935337.04,-1246.23,1541.77,0,0,MISMATCH
2026-05-29,5323.27,4077.040000000008,907128.27,935337.04,-1246.23,28208.77,0,0,MISMATCH
2026-06-01,5291.41,4077.040000000008,930927.41,935337.04,-1214.37,4409.63,11,0,MISMATCH
2026-06-02,5599.41,4077.040000000008,898242.41,935337.04,-1522.37,37094.63,0,0,MISMATCH
2026-06-03,5599.41,4077.040000000008,884565.41,935337.04,-1522.37,50771.63,0,0,MISMATCH
2026-06-04,1203.42,4077.040000000008,862527.42,935337.04,2873.62,72809.62,8,0,MISMATCH
2026-06-05,1203.42,4077.040000000008,879159.42,935337.04,2873.62,56177.62,0,0,MISMATCH
2026-06-08,1203.42,4077.040000000008,849374.42,935337.04,2873.62,85962.62,0,0,MISMATCH
2026-06-09,1225.42,4077.040000000008,857494.42,935337.04,2851.62,77842.62,5,0,MISMATCH
2026-06-10,1225.42,4077.040000000008,844124.42,935337.04,2851.62,91212.62,0,0,MISMATCH
2026-06-11,1225.42,4077.040000000008,833510.42,935337.04,2851.62,101826.62,0,0,MISMATCH
2026-06-12,139.57,4077.040000000008,837698.57,935337.04,3937.47,97638.47,7,0,MISMATCH
2026-06-15,139.57,4077.040000000008,825656.57,935337.04,3937.47,109680.47,0,0,MISMATCH
2026-06-16,139.57,4077.040000000008,829190.57,935337.04,3937.47,106146.47,0,0,MISMATCH
2026-06-17,1494.34,4077.040000000008,806079.34,935337.04,2582.7,129257.7,7,0,MISMATCH
2026-06-18,1494.34,4077.040000000008,801540.34,935337.04,2582.7,133796.7,0,0,MISMATCH
2026-06-22,1494.34,4077.040000000008,815795.34,935337.04,2582.7,119541.7,0,0,MISMATCH
2026-06-23,1429.06,4077.040000000008,834499.06,935337.04,2647.98,100837.98,11,0,MISMATCH
2026-06-24,1429.06,4077.040000000008,788859.06,935337.04,2647.98,146477.98,0,0,MISMATCH
