date,cash,total_value,positions_value,position_count
2026-05-06,805259.0,1001161.0,195902.0,13
2026-05-07,805259.0,1001845.0,196586.0,13
2026-05-08,805259.0,1004250.0,198991.0,13
2026-05-11,608407.0,1006704.0,398297.0,13
2026-05-12,608407.0,1002712.0,394305.0,13
2026-05-13,608407.0,1002141.0,393734.0,13
2026-05-14,410485.0,1009405.0,598920.0,13
2026-05-15,410485.0,1000895.0,590410.0,13
2026-05-18,410485.0,1007618.0,597133.0,13
2026-05-19,207908.04,1006694.04,798786.0,13
2026-05-20,207908.04,994873.04,786965.0,13
2026-05-21,207908.04,964765.04,756857.0,13
2026-05-22,10199.040000000008,995178.04,984979.0,13
2026-05-25,10199.040000000008,977240.04,967041.0,13
2026-05-26,4077.040000000008,958265.04,954188.0,13
2026-05-27,4077.040000000008,935337.04,931260.0,13
2026-05-28,4077.040000000008,935337.04,931260.0,13
2026-05-29,4077.040000000008,935337.04,931260.0,13
2026-06-01,4077.040000000008,935337.04,931260.0,13
2026-06-02,4077.040000000008,935337.04,931260.0,13
2026-06-03,4077.040000000008,935337.04,931260.0,13
2026-06-04,4077.040000000008,935337.04,931260.0,13
2026-06-05,4077.040000000008,935337.04,931260.0,13
2026-06-08,4077.040000000008,935337.04,931260.0,13
2026-06-09,4077.040000000008,935337.04,931260.0,13
2026-06-10,4077.040000000008,935337.04,931260.0,13
2026-06-11,4077.040000000008,935337.04,931260.0,13
2026-06-12,4077.040000000008,935337.04,931260.0,13
2026-06-15,4077.040000000008,935337.04,931260.0,13
2026-06-16,4077.040000000008,935337.04,931260.0,13
2026-06-17,4077.040000000008,935337.04,931260.0,13
2026-06-18,4077.040000000008,935337.04,931260.0,13
2026-06-22,4077.040000000008,935337.04,931260.0,13
2026-06-23,4077.040000000008,935337.04,931260.0,13
2026-06-24,4077.040000000008,935337.04,931260.0,13
