date,snapshot_type,security,jq_quantity,alignment_status
2026-05-06,END_OF_DAY,300405.XSHE,2800,JQ_POSITION
2026-05-06,END_OF_DAY,300417.XSHE,1400,JQ_POSITION
2026-05-06,END_OF_DAY,300500.XSHE,1600,JQ_POSITION
2026-05-06,END_OF_DAY,300665.XSHE,2300,JQ_POSITION
2026-05-06,END_OF_DAY,300929.XSHE,1300,JQ_POSITION
2026-05-06,END_OF_DAY,301098.XSHE,2000,JQ_POSITION
2026-05-06,END_OF_DAY,301167.XSHE,1100,JQ_POSITION
2026-05-06,END_OF_DAY,600455.XSHG,700,JQ_POSITION
2026-05-06,END_OF_DAY,600561.XSHG,2800,JQ_POSITION
2026-05-06,END_OF_DAY,600697.XSHG,1500,JQ_POSITION
2026-05-07,END_OF_DAY,300405.XSHE,2800,JQ_POSITION
2026-05-07,END_OF_DAY,300417.XSHE,1400,JQ_POSITION
2026-05-07,END_OF_DAY,300500.XSHE,1600,JQ_POSITION
2026-05-07,END_OF_DAY,300665.XSHE,2300,JQ_POSITION
2026-05-07,END_OF_DAY,300929.XSHE,1300,JQ_POSITION
2026-05-07,END_OF_DAY,301098.XSHE,2000,JQ_POSITION
2026-05-07,END_OF_DAY,301167.XSHE,1100,JQ_POSITION
2026-05-07,END_OF_DAY,600455.XSHG,700,JQ_POSITION
2026-05-07,END_OF_DAY,600561.XSHG,2800,JQ_POSITION
2026-05-07,END_OF_DAY,600697.XSHG,1500,JQ_POSITION
2026-05-08,END_OF_DAY,300405.XSHE,2800,JQ_POSITION
2026-05-08,END_OF_DAY,300417.XSHE,1400,JQ_POSITION
2026-05-08,END_OF_DAY,300500.XSHE,1600,JQ_POSITION
2026-05-08,END_OF_DAY,300665.XSHE,2300,JQ_POSITION
2026-05-08,END_OF_DAY,300929.XSHE,1300,JQ_POSITION
2026-05-08,END_OF_DAY,301098.XSHE,2000,JQ_POSITION
2026-05-08,END_OF_DAY,301167.XSHE,1100,JQ_POSITION
2026-05-08,END_OF_DAY,600455.XSHG,700,JQ_POSITION
2026-05-08,END_OF_DAY,600561.XSHG,2800,JQ_POSITION
2026-05-08,END_OF_DAY,600697.XSHG,1500,JQ_POSITION
2026-05-11,END_OF_DAY,300405.XSHE,5600,JQ_POSITION
2026-05-11,END_OF_DAY,300417.XSHE,2600,JQ_POSITION
2026-05-11,END_OF_DAY,300500.XSHE,1600,JQ_POSITION
2026-05-11,END_OF_DAY,300665.XSHE,4400,JQ_POSITION
2026-05-11,END_OF_DAY,300929.XSHE,2700,JQ_POSITION
2026-05-11,END_OF_DAY,301098.XSHE,4100,JQ_POSITION
2026-05-11,END_OF_DAY,301167.XSHE,2200,JQ_POSITION
2026-05-11,END_OF_DAY,600455.XSHG,1300,JQ_POSITION
2026-05-11,END_OF_DAY,600493.XSHG,2600,JQ_POSITION
2026-05-11,END_OF_DAY,600561.XSHG,5600,JQ_POSITION
2026-05-11,END_OF_DAY,600697.XSHG,3100,JQ_POSITION
2026-05-12,END_OF_DAY,300405.XSHE,5600,JQ_POSITION
2026-05-12,END_OF_DAY,300417.XSHE,2600,JQ_POSITION
2026-05-12,END_OF_DAY,300500.XSHE,1600,JQ_POSITION
2026-05-12,END_OF_DAY,300665.XSHE,4400,JQ_POSITION
2026-05-12,END_OF_DAY,300929.XSHE,2700,JQ_POSITION
2026-05-12,END_OF_DAY,301098.XSHE,4100,JQ_POSITION
2026-05-12,END_OF_DAY,301167.XSHE,2200,JQ_POSITION
