date,security,side,jq_quantity,local_quantity,jq_price,local_price,alignment
2026-05-06,301098.XSHE,buy,2000,2000,9.63,9.63,MATCH
2026-05-06,600455.XSHG,buy,700,700,28.5,28.5,MATCH
2026-05-06,300665.XSHE,buy,2300,2300,8.6,8.6,MATCH
2026-05-06,300929.XSHE,buy,1300,1300,14.29,14.29,MATCH
2026-05-06,300417.XSHE,buy,1400,1400,14.26,14.26,MATCH
2026-05-06,300405.XSHE,buy,2800,2800,7.06,7.06,MATCH
2026-05-06,600561.XSHG,buy,2800,2800,7.07,7.07,MATCH
2026-05-06,301167.XSHE,buy,1100,1100,17.8,17.8,MATCH
2026-05-06,600697.XSHG,buy,1500,1500,12.64,12.64,MATCH
2026-05-06,300500.XSHE,buy,1600,1600,11.91,11.91,MATCH
2026-05-11,301098.XSHE,buy,2100,2100,9.79,9.79,MATCH
2026-05-11,600455.XSHG,buy,600,600,29.39,29.39,MATCH
2026-05-11,300665.XSHE,buy,2100,2100,9.09,9.09,MATCH
2026-05-11,300929.XSHE,buy,1400,1400,14.72,14.72,MATCH
2026-05-11,300417.XSHE,buy,1200,1200,15.47,15.47,MATCH
2026-05-11,300405.XSHE,buy,2800,2800,7.17,7.17,MATCH
2026-05-11,600561.XSHG,buy,2800,2800,7.13,7.13,MATCH
2026-05-11,301167.XSHE,buy,1100,1100,18.02,18.02,MATCH
2026-05-11,600697.XSHG,buy,1600,1600,12.84,12.84,MATCH
2026-05-11,600493.XSHG,buy,2600,2600,7.67,7.67,MATCH
2026-05-14,301098.XSHE,buy,1400,1400,10.8,10.8,MATCH
2026-05-14,600455.XSHG,buy,700,700,29.04,29.04,MATCH
2026-05-14,300665.XSHE,buy,2100,2100,9.25,9.25,MATCH
2026-05-14,300929.XSHE,buy,1500,1500,14.14,14.14,MATCH
2026-05-14,300417.XSHE,buy,1300,1300,15.24,15.24,MATCH
2026-05-14,600561.XSHG,buy,2900,2900,7.03,7.03,MATCH
2026-05-14,301167.XSHE,buy,1200,1200,17.73,17.73,MATCH
2026-05-14,600697.XSHG,buy,1700,1700,12.44,12.44,MATCH
2026-05-14,600493.XSHG,buy,2800,2800,7.37,7.37,MATCH
2026-05-14,300535.XSHE,buy,1000,1000,18.53,18.53,MATCH
2026-05-19,301098.XSHE,buy,2000,2000,10.66,10.66,MATCH
2026-05-19,600455.XSHG,buy,700,700,29.71,29.71,MATCH
2026-05-19,300665.XSHE,sell,300,-300,9.85,9.85,MATCH
2026-05-19,300929.XSHE,buy,1500,1500,14.0,14.0,MATCH
2026-05-19,300417.XSHE,buy,1300,1300,15.23,15.23,MATCH
2026-05-19,300405.XSHE,buy,2700,2700,7.28,7.28,MATCH
2026-05-19,600561.XSHG,buy,3100,3100,6.94,6.94,MATCH
2026-05-19,301167.XSHE,buy,1200,1200,17.52,17.52,MATCH
2026-05-19,600697.XSHG,buy,1600,1600,12.48,12.48,MATCH
2026-05-19,600493.XSHG,buy,2700,2700,7.4,7.4,MATCH
2026-05-19,300535.XSHE,buy,1100,1100,18.56,18.56,MATCH
2026-05-22,301098.XSHE,buy,1900,1900,10.3,10.3,MATCH
2026-05-22,600455.XSHG,buy,600,600,28.62,28.62,MATCH
2026-05-22,300929.XSHE,buy,1600,1600,13.25,13.25,MATCH
2026-05-22,300417.XSHE,buy,1400,1400,14.48,14.48,MATCH
2026-05-22,300405.XSHE,buy,100,100,6.87,6.87,MATCH
2026-05-22,600561.XSHG,buy,3000,3000,6.61,6.61,MATCH
2026-05-22,301167.XSHE,buy,1200,1200,16.48,16.48,MATCH
2026-05-22,600697.XSHG,buy,1700,1700,11.87,11.87,MATCH
2026-05-22,600493.XSHG,buy,2900,2900,7.01,7.01,MATCH
2026-05-22,300535.XSHE,buy,1100,1100,17.65,17.65,MATCH
2026-05-22,603879.XSHG,buy,3600,3600,5.34,5.34,MATCH
2026-05-27,300665.XSHE,sell,2300,0,9.84,,MISSING
2026-05-27,300417.XSHE,sell,1100,0,14.17,,MISSING
2026-05-27,300405.XSHE,sell,2800,0,6.92,,MISSING
2026-05-27,600561.XSHG,buy,100,0,6.48,,MISSING
2026-05-27,301167.XSHE,buy,100,0,16.01,,MISSING
2026-05-27,600697.XSHG,buy,100,0,11.63,,MISSING
2026-05-27,300500.XSHE,sell,1600,0,11.36,,MISSING
2026-05-27,600493.XSHG,buy,3000,0,6.81,,MISSING
2026-05-27,300535.XSHE,buy,1100,0,17.42,,MISSING
2026-05-27,603879.XSHG,buy,3600,0,5.3,,MISSING
2026-05-27,300605.XSHE,buy,1600,0,11.52,,MISSING
2026-06-01,301098.XSHE,sell,2100,0,9.94,,MISSING
2026-06-01,300665.XSHE,sell,2000,0,9.54,,MISSING
2026-06-01,300929.XSHE,buy,200,0,12.02,,MISSING
2026-06-01,300405.XSHE,sell,2700,0,6.4,,MISSING
2026-06-01,600561.XSHG,buy,300,0,5.99,,MISSING
2026-06-01,301167.XSHE,buy,100,0,15.0,,MISSING
2026-06-01,600697.XSHG,sell,1800,0,11.35,,MISSING
2026-06-01,300535.XSHE,buy,1200,0,16.33,,MISSING
2026-06-01,603879.XSHG,buy,3700,0,4.94,,MISSING
2026-06-01,300605.XSHE,buy,1600,0,10.96,,MISSING
2026-06-01,300886.XSHE,buy,700,0,24.11,,MISSING
2026-06-04,301098.XSHE,sell,1400,0,9.09,,MISSING
2026-06-04,600455.XSHG,buy,100,0,25.7,,MISSING
2026-06-04,300665.XSHE,sell,1900,0,9.81,,MISSING
2026-06-04,300405.XSHE,buy,2700,0,6.24,,MISSING
2026-06-04,600697.XSHG,sell,100,0,11.25,,MISSING
2026-06-04,300535.XSHE,buy,100,0,15.66,,MISSING
2026-06-04,603879.XSHG,sell,300,0,5.0,,MISSING
2026-06-04,300605.XSHE,buy,1600,0,10.83,,MISSING
2026-06-09,301098.XSHE,buy,100,0,8.26,,MISSING
2026-06-09,600697.XSHG,sell,1600,0,11.1,,MISSING
2026-06-09,600493.XSHG,sell,200,0,6.19,,MISSING
2026-06-09,603879.XSHG,buy,3600,0,4.8,,MISSING
2026-06-09,301098.XSHE,buy,100,0,8.26,,MISSING
2026-06-12,301098.XSHE,sell,2200,0,8.74,,MISSING
2026-06-12,300417.XSHE,buy,300,0,11.52,,MISSING
2026-06-12,300405.XSHE,buy,2700,0,6.01,,MISSING
2026-06-12,600697.XSHG,sell,1500,0,10.76,,MISSING
2026-06-12,600493.XSHG,buy,100,0,6.04,,MISSING
2026-06-12,603879.XSHG,sell,100,0,4.8,,MISSING
2026-06-12,300605.XSHE,buy,1600,0,10.36,,MISSING
2026-06-17,301098.XSHE,sell,1800,0,8.21,,MISSING
2026-06-17,300417.XSHE,buy,1300,0,11.44,,MISSING
2026-06-17,603879.XSHG,sell,3700,0,4.79,,MISSING
2026-06-17,300605.XSHE,sell,1600,0,10.46,,MISSING
2026-06-17,300886.XSHE,buy,700,0,22.26,,MISSING
2026-06-17,300417.XSHE,buy,100,0,11.44,,MISSING
2026-06-17,300405.XSHE,buy,2700,0,6.0,,MISSING
2026-06-23,301098.XSHE,sell,200,0,8.82,,MISSING
2026-06-23,300929.XSHE,sell,200,0,11.3,,MISSING
2026-06-23,300417.XSHE,buy,100,0,11.11,,MISSING
2026-06-23,300405.XSHE,buy,700,0,5.78,,MISSING
2026-06-23,300535.XSHE,sell,100,0,14.82,,MISSING
2026-06-23,603879.XSHG,sell,3300,0,4.61,,MISSING
2026-06-23,300605.XSHE,sell,1600,0,10.35,,MISSING
2026-06-23,300886.XSHE,buy,100,0,21.69,,MISSING
2026-06-23,600493.XSHG,buy,200,0,5.76,,MISSING
2026-06-23,300405.XSHE,buy,2300,0,5.78,,MISSING
2026-06-23,600697.XSHG,buy,1500,0,10.32,,MISSING
