layer,security,date,file,file_sha256,open,high,low,close,pre_close,pct_chg,adj_factor,high_limit,low_limit,close_ge_high_limit,low_le_low_limit,vol,amount,return_index,param_end_date,param_fq,param_count,in_yesterday_HL_list
L0_raw_hdata,300417.XSHE,2026-05-25,D:\Work Space\HData\data\processed\1d_stock\2026.parquet,C5AA98159BC66AEE,14.949999809265137,15.0600004196167,14.239999771118164,14.5,14.90999984741211,-0.027498314157128334,3.696000099182129,17.89,11.93,False,False,3735850.0,54198032.0,,,,,
L0_raw_hdata,300417.XSHE,2026-05-26,D:\Work Space\HData\data\processed\1d_stock\2026.parquet,C5AA98159BC66AEE,14.579999923706055,14.600000381469727,14.069999694824219,14.199999809265137,14.5,-0.020689668133854866,3.696000099182129,17.400000000000002,11.6,False,False,3850570.0,54973132.0,,,,,
L0_raw_hdata,301167.XSHE,2026-05-25,D:\Work Space\HData\data\processed\1d_stock\2026.parquet,C5AA98159BC66AEE,17.020000457763672,17.239999771118164,16.459999084472656,16.59000015258789,16.979999542236328,-0.02296816185116768,1.4550000429153442,20.38,13.58,False,False,2789300.0,46475180.0,,,,,
L0_raw_hdata,301167.XSHE,2026-05-26,D:\Work Space\HData\data\processed\1d_stock\2026.parquet,C5AA98159BC66AEE,16.469999313354492,16.520000457763672,15.800000190734863,16.049999237060547,16.59000015258789,-0.03254978358745575,1.4550000429153442,19.91,13.27,False,False,3143720.0,50658840.0,,,,,
L0_raw_hdata,600493.XSHG,2026-05-25,D:\Work Space\HData\data\processed\1d_stock\2026.parquet,C5AA98159BC66AEE,7.159999847412109,7.239999771118164,6.920000076293945,6.940000057220459,7.179999828338623,-0.033426154404878616,2.753700017929077,7.9,6.46,False,False,5388524.0,37840028.0,,,,,
L0_raw_hdata,600493.XSHG,2026-05-26,D:\Work Space\HData\data\processed\1d_stock\2026.parquet,C5AA98159BC66AEE,6.940000057220459,6.989999771118164,6.78000020980835,6.829999923706055,6.940000057220459,-0.015850163996219635,2.753700017929077,7.63,6.25,False,False,5974001.0,40812960.0,,,,,
L0_raw_hdata,300535.XSHE,2026-05-25,D:\Work Space\HData\data\processed\1d_stock\2026.parquet,C5AA98159BC66AEE,18.149999618530273,18.389999389648438,17.170000076293945,17.360000610351562,18.1200008392334,-0.04194261506199837,1.742799997329712,21.740000000000002,14.5,False,False,2755334.0,48436164.0,,,,,
L0_raw_hdata,300535.XSHE,2026-05-26,D:\Work Space\HData\data\processed\1d_stock\2026.parquet,C5AA98159BC66AEE,17.170000076293945,17.68000030517578,17.030000686645508,17.329999923706055,17.360000610351562,-0.001728150062263012,1.742799997329712,20.830000000000002,13.89,False,False,2879753.0,50018876.0,,,,,
L1_dataapi_raw,300417.XSHE,2026-05-25,,,,,,14.5,,,,14.5,,,,,,2026-05-25,2026-05-25,,1.0,
L1_dataapi_raw,300417.XSHE,2026-05-26,,,,,,14.2,,,,14.2,,,,,,2026-05-26,2026-05-26,,1.0,
L1_dataapi_raw,301167.XSHE,2026-05-25,,,,,,16.59,,,,16.59,,,,,,2026-05-25,2026-05-25,,1.0,
L1_dataapi_raw,301167.XSHE,2026-05-26,,,,,,16.05,,,,16.05,,,,,,2026-05-26,2026-05-26,,1.0,
L1_dataapi_raw,600493.XSHG,2026-05-25,,,,,,6.94,,,,6.94,,,,,,2026-05-25,2026-05-25,,1.0,
L1_dataapi_raw,600493.XSHG,2026-05-26,,,,,,6.83,,,,6.83,,,,,,2026-05-26,2026-05-26,,1.0,
L1_dataapi_raw,300535.XSHE,2026-05-25,,,,,,17.36,,,,17.36,,,,,,2026-05-25,2026-05-25,,1.0,
L1_dataapi_raw,300535.XSHE,2026-05-26,,,,,,17.33,,,,17.33,,,,,,2026-05-26,2026-05-26,,1.0,
L2_wrapped_gp,300417.XSHE,2026-05-25,,,,,,14.5,,,,14.5,,True,,,,2026-05-25,,,,
L2_wrapped_gp,300417.XSHE,2026-05-26,,,,,,14.2,,,,14.2,,True,,,,2026-05-26,,,,
L2_wrapped_gp,301167.XSHE,2026-05-25,,,,,,16.59,,,,16.59,,True,,,,2026-05-25,,,,
L2_wrapped_gp,301167.XSHE,2026-05-26,,,,,,16.05,,,,16.05,,True,,,,2026-05-26,,,,
L2_wrapped_gp,600493.XSHG,2026-05-25,,,,,,6.94,,,,6.94,,True,,,,2026-05-25,,,,
L2_wrapped_gp,600493.XSHG,2026-05-26,,,,,,6.83,,,,6.83,,True,,,,2026-05-26,,,,
L2_wrapped_gp,300535.XSHE,2026-05-25,,,,,,17.36,,,,17.36,,True,,,,2026-05-25,,,,
L2_wrapped_gp,300535.XSHE,2026-05-26,,,,,,17.33,,,,17.33,,True,,,,2026-05-26,,,,
L3_strategy_gp,300417.XSHE,2026-05-25,,,,,,14.5,,,,14.5,,True,,,,,,,,True
L3_strategy_gp,300417.XSHE,2026-05-26,,,,,,14.2,,,,14.2,,True,,,,,,,,True
L3_strategy_gp,301167.XSHE,2026-05-25,,,,,,16.59,,,,16.59,,True,,,,,,,,True
L3_strategy_gp,301167.XSHE,2026-05-26,,,,,,16.05,,,,16.05,,True,,,,,,,,True
L3_strategy_gp,600493.XSHG,2026-05-25,,,,,,6.94,,,,6.94,,True,,,,,,,,True
L3_strategy_gp,600493.XSHG,2026-05-26,,,,,,6.83,,,,6.83,,True,,,,,,,,True
L3_strategy_gp,300535.XSHE,2026-05-25,,,,,,17.36,,,,17.36,,True,,,,,,,,True
L3_strategy_gp,300535.XSHE,2026-05-26,,,,,,17.33,,,,17.33,,True,,,,,,,,True
