date,jq_cash,local_cash,jq_total,local_total,cash_diff,asset_diff,jq_trades,local_trades,status
2026-05-06,805259.0,805259.0,1001161.0,1001161.0,0.0,0.0,10,10,EXACT_MATCH
2026-05-07,805259.0,805259.0,1001845.0,1001845.0,0.0,0.0,0,0,EXACT_MATCH
2026-05-08,805259.0,805259.0,1004250.0,1004250.0,0.0,0.0,0,0,EXACT_MATCH
2026-05-11,608407.0,608407.0,1006704.0,1006704.0,0.0,0.0,10,10,EXACT_MATCH
2026-05-12,608407.0,608407.0,1002712.0,1002712.0,0.0,0.0,0,0,EXACT_MATCH
2026-05-13,608407.0,608407.0,1002141.0,1002141.0,0.0,0.0,0,0,EXACT_MATCH
2026-05-14,410485.0,410485.0,1009405.0,1009405.0,0.0,0.0,10,10,EXACT_MATCH
2026-05-15,410485.0,410485.0,1000895.0,1000895.0,0.0,0.0,0,0,EXACT_MATCH
2026-05-18,410485.0,410485.0,1007618.0,1007618.0,0.0,0.0,0,0,EXACT_MATCH
2026-05-19,207908.04,207908.04,1006694.04,1006694.04,0.0,0.0,11,11,EXACT_MATCH
2026-05-20,207908.04,207908.04,994873.04,994873.04,0.0,0.0,0,0,EXACT_MATCH
2026-05-21,207908.04,207908.04,964765.04,964765.04,0.0,0.0,0,0,EXACT_MATCH
2026-05-22,10199.04,10199.040000000008,995178.04,995178.04,0.0,0.0,11,11,EXACT_MATCH
2026-05-25,10199.04,10199.040000000008,977240.04,977240.04,0.0,0.0,0,0,EXACT_MATCH
2026-05-26,10199.04,10199.040000000008,958263.04,958263.04,0.0,0.0,0,0,EXACT_MATCH
2026-05-27,5323.27,182565.09000000003,935438.27,935260.0900000001,177241.82,-178.18,11,12,MISMATCH
2026-05-28,5323.27,182565.09000000003,933795.27,935260.0900000001,177241.82,1464.82,0,0,MISMATCH
2026-05-29,5323.27,182565.09000000003,907128.27,935260.0900000001,177241.82,28131.82,0,0,MISMATCH
2026-06-01,5291.41,368968.44000000006,930927.41,935023.4400000001,363677.03,4096.03,11,10,MISMATCH
2026-06-02,5599.41,368968.44000000006,898242.41,935023.4400000001,363369.03,36781.03,0,0,MISMATCH
2026-06-03,5599.41,368968.44000000006,884565.41,935023.4400000001,363369.03,50458.03,0,0,MISMATCH
2026-06-04,1203.42,554951.21,862527.42,934787.21,553747.79,72259.79,8,10,MISMATCH
2026-06-05,1203.42,554951.21,879159.42,934787.21,553747.79,55627.79,0,0,MISMATCH
2026-06-08,1203.42,554951.21,849374.42,934787.21,553747.79,85412.79,0,0,MISMATCH
2026-06-09,1225.42,738740.1799999998,857494.42,932537.1799999998,737514.76,75042.76,5,10,MISMATCH
2026-06-10,1225.42,737609.1799999998,844124.42,932660.1799999998,736383.76,88535.76,0,1,MISMATCH
2026-06-11,1225.42,737609.1799999998,833510.42,932660.1799999998,736383.76,99149.76,0,0,MISMATCH
2026-06-12,139.57,921941.6099999999,837698.57,921941.6099999999,921802.04,84243.04,7,10,MISMATCH
2026-06-15,139.57,921941.6099999999,825656.57,921941.6099999999,921802.04,96285.04,0,0,MISMATCH
2026-06-16,139.57,921941.6099999999,829190.57,921941.6099999999,921802.04,92751.04,0,0,MISMATCH
2026-06-17,1494.34,921941.6099999999,806079.34,921941.6099999999,920447.27,115862.27,7,0,MISMATCH
2026-06-18,1494.34,921941.6099999999,801540.34,921941.6099999999,920447.27,120401.27,0,0,MISMATCH
2026-06-22,1494.34,921941.6099999999,815795.34,921941.6099999999,920447.27,106146.27,0,0,MISMATCH
2026-06-23,1429.06,921941.6099999999,834499.06,921941.6099999999,920512.55,87442.55,11,0,MISMATCH
2026-06-24,1429.06,921941.6099999999,788859.06,921941.6099999999,920512.55,133082.55,0,0,MISMATCH
