date,security,type
2026-05-06,301098.XSHE,EXACT_MATCH_JQ
2026-05-06,600455.XSHG,EXACT_MATCH_JQ
2026-05-06,300665.XSHE,EXACT_MATCH_JQ
2026-05-06,300929.XSHE,EXACT_MATCH_JQ
2026-05-06,300417.XSHE,EXACT_MATCH_JQ
2026-05-06,300405.XSHE,EXACT_MATCH_JQ
2026-05-06,600561.XSHG,EXACT_MATCH_JQ
2026-05-06,301167.XSHE,EXACT_MATCH_JQ
2026-05-06,600697.XSHG,EXACT_MATCH_JQ
2026-05-06,300500.XSHE,EXACT_MATCH_JQ
2026-05-11,301098.XSHE,EXACT_MATCH_JQ
2026-05-11,600455.XSHG,EXACT_MATCH_JQ
2026-05-11,300665.XSHE,EXACT_MATCH_JQ
2026-05-11,300929.XSHE,EXACT_MATCH_JQ
2026-05-11,300417.XSHE,EXACT_MATCH_JQ
2026-05-11,300405.XSHE,EXACT_MATCH_JQ
2026-05-11,600561.XSHG,EXACT_MATCH_JQ
2026-05-11,301167.XSHE,EXACT_MATCH_JQ
2026-05-11,600697.XSHG,EXACT_MATCH_JQ
2026-05-11,600493.XSHG,EXACT_MATCH_JQ
2026-05-14,301098.XSHE,EXACT_MATCH_JQ
2026-05-14,600455.XSHG,EXACT_MATCH_JQ
2026-05-14,300665.XSHE,EXACT_MATCH_JQ
2026-05-14,300929.XSHE,EXACT_MATCH_JQ
2026-05-14,300417.XSHE,EXACT_MATCH_JQ
2026-05-14,600561.XSHG,EXACT_MATCH_JQ
2026-05-14,301167.XSHE,EXACT_MATCH_JQ
2026-05-14,600697.XSHG,EXACT_MATCH_JQ
2026-05-14,600493.XSHG,EXACT_MATCH_JQ
2026-05-14,300535.XSHE,EXACT_MATCH_JQ
2026-05-19,301098.XSHE,EXACT_MATCH_JQ
2026-05-19,600455.XSHG,EXACT_MATCH_JQ
2026-05-19,300665.XSHE,EXACT_MATCH_JQ
2026-05-19,300929.XSHE,EXACT_MATCH_JQ
2026-05-19,300417.XSHE,EXACT_MATCH_JQ
2026-05-19,300405.XSHE,EXACT_MATCH_JQ
2026-05-19,600561.XSHG,EXACT_MATCH_JQ
2026-05-19,301167.XSHE,EXACT_MATCH_JQ
2026-05-19,600697.XSHG,EXACT_MATCH_JQ
2026-05-19,600493.XSHG,EXACT_MATCH_JQ
2026-05-19,300535.XSHE,EXACT_MATCH_JQ
2026-05-22,301098.XSHE,EXACT_MATCH_JQ
2026-05-22,600455.XSHG,EXACT_MATCH_JQ
2026-05-22,300929.XSHE,EXACT_MATCH_JQ
2026-05-22,300417.XSHE,EXACT_MATCH_JQ
2026-05-22,300405.XSHE,EXACT_MATCH_JQ
2026-05-22,600561.XSHG,EXACT_MATCH_JQ
2026-05-22,301167.XSHE,EXACT_MATCH_JQ
2026-05-22,600697.XSHG,EXACT_MATCH_JQ
2026-05-22,600493.XSHG,EXACT_MATCH_JQ
2026-05-22,300535.XSHE,EXACT_MATCH_JQ
2026-05-22,603879.XSHG,EXACT_MATCH_JQ
2026-05-27,300665.XSHE,AMOUNT_ONLY_DIFFERENCE
2026-05-27,300417.XSHE,PRICE_ONLY_DIFFERENCE
2026-05-27,300405.XSHE,PRICE_ONLY_DIFFERENCE
2026-05-27,600561.XSHG,AMOUNT_ONLY_DIFFERENCE
2026-05-27,301167.XSHE,AMOUNT_ONLY_DIFFERENCE
2026-05-27,600697.XSHG,AMOUNT_ONLY_DIFFERENCE
2026-05-27,300500.XSHE,PRICE_ONLY_DIFFERENCE
2026-05-27,600493.XSHG,AMOUNT_ONLY_DIFFERENCE
2026-05-27,300535.XSHE,AMOUNT_ONLY_DIFFERENCE
2026-05-27,603879.XSHG,JQ_MISSING_LOCALLY
2026-05-27,300605.XSHE,JQ_MISSING_LOCALLY
2026-05-27,300500.XSHE,LOCAL_EXTRA_TRADE
2026-05-27,600493.XSHG,LOCAL_EXTRA_TRADE
2026-05-27,300535.XSHE,LOCAL_EXTRA_TRADE
2026-06-01,301098.XSHE,AMOUNT_ONLY_DIFFERENCE
2026-06-01,300665.XSHE,PRICE_ONLY_DIFFERENCE
2026-06-01,300929.XSHE,AMOUNT_ONLY_DIFFERENCE
2026-06-01,300405.XSHE,AMOUNT_ONLY_DIFFERENCE
2026-06-01,600561.XSHG,AMOUNT_ONLY_DIFFERENCE
2026-06-01,301167.XSHE,AMOUNT_ONLY_DIFFERENCE
2026-06-01,600697.XSHG,AMOUNT_ONLY_DIFFERENCE
2026-06-01,300535.XSHE,JQ_MISSING_LOCALLY
2026-06-01,603879.XSHG,JQ_MISSING_LOCALLY
2026-06-01,300605.XSHE,JQ_MISSING_LOCALLY
2026-06-01,300886.XSHE,JQ_MISSING_LOCALLY
2026-06-01,301167.XSHE,LOCAL_EXTRA_TRADE
2026-06-01,600697.XSHG,LOCAL_EXTRA_TRADE
2026-06-01,600493.XSHG,LOCAL_EXTRA_TRADE
2026-06-04,301098.XSHE,AMOUNT_ONLY_DIFFERENCE
