security,jq_quantity,local_quantity,quantity_diff,jq_market_value,local_market_value
300405.XSHE,8400,0,8400,57876.0,0.0
300417.XSHE,6600,4200,2400,93720.0,45528.0
300500.XSHE,1600,0,1600,18256.0,0.0
300535.XSHE,3200,3300,-100,55456.0,47586.0
300605.XSHE,0,3200,-3200,0.0,31488.0
300665.XSHE,6200,0,6200,61008.0,0.0
300886.XSHE,0,700,-700,0.0,14637.0
300929.XSHE,7300,7300,0,95557.0,80081.0
301098.XSHE,9400,1900,7500,95880.0,17157.0
301167.XSHE,5800,4700,1100,93090.0,61663.99999999999
600193.XSHG,0,204900,-204900,0.0,30735.0
600421.XSHG,0,184900,-184900,0.0,44376.0
600455.XSHG,3300,3400,-100,93588.0,77010.0
600493.XSHG,11000,5500,5500,75130.0,30415.0
600561.XSHG,14600,11800,2800,94608.0,61360.0
600599.XSHG,0,119900,-119900,0.0,51557.0
600608.XSHG,0,182200,-182200,0.0,29152.0
600636.XSHG,0,30700,-30700,0.0,52497.0
600696.XSHG,0,83300,-83300,0.0,61642.0
600697.XSHG,8100,1600,6500,94851.0,16208.000000000002
603879.XSHG,3600,6900,-3300,19044.0,31257.0
605081.XSHG,0,28200,-28200,0.0,10152.0
