trade_date,trade_time,source_timestamp,source_sequence,source_line_no,raw_security_code,normalized_security_code,security_name,side,quantity,price,gross_amount,commission,stamp_tax,transfer_fee,other_fee,total_fee,order_id,trade_id,raw_text,parse_status,is_exact_duplicate,is_business_key_duplicate,duplicate_group_id
2026-06-23,09:30:00,2026-06-23 09:30:00,112,132,301098.XSHE,301098.XSHE,金埔园林,sell,200,8.82,-1764.0,6.76,,,,,,,"2026-06-23	09:30:00	金埔园林(301098.XSHE)	卖	市价单	-200股	8.82	-1,764.00	-262.23	6.76",parsed,False,False,
2026-06-23,09:30:00,2026-06-23 09:30:00,113,133,300929.XSHE,300929.XSHE,华骐环保,sell,200,11.3,-2260.0,7.26,,,,,,,"2026-06-23	09:30:00	华骐环保(300929.XSHE)	卖	市价单	-200股	11.3	-2,260.00	-539.97	7.26",parsed,False,False,
2026-06-23,09:30:00,2026-06-23 09:30:00,114,134,300417.XSHE,300417.XSHE,南华仪器,buy,100,11.11,1111.0,5.0,,,,,,,"2026-06-23	09:30:00	南华仪器(300417.XSHE)	买	市价单	100股	11.11	1,111.00	0.00	5.00",parsed,False,False,
2026-06-23,09:30:00,2026-06-23 09:30:00,115,135,300405.XSHE,300405.XSHE,科隆股份,buy,700,5.78,4046.0,5.0,,,,,,,"2026-06-23	09:30:00	科隆股份(300405.XSHE)	买	市价单	700股	5.78	4,046.00	0.00	5.00",parsed,False,False,
2026-06-23,09:30:00,2026-06-23 09:30:00,116,136,300535.XSHE,300535.XSHE,达威股份,sell,100,14.82,-1482.0,6.48,,,,,,,"2026-06-23	09:30:00	达威股份(300535.XSHE)	卖	市价单	-100股	14.82	-1,482.00	-280.23	6.48",parsed,False,False,
2026-06-23,09:30:00,2026-06-23 09:30:00,117,137,603879.XSHG,603879.XSHG,永悦科技,sell,3300,4.61,-15213.0,20.21,,,,,,,"2026-06-23	09:30:00	永悦科技(603879.XSHG)	卖	市价单	-3300股	4.61	-15,213.00	-1,590.20	20.21",parsed,False,False,
2026-06-23,09:30:00,2026-06-23 09:30:00,118,138,300605.XSHE,300605.XSHE,恒锋信息,sell,1600,10.35,-16560.0,21.56,,,,,,,"2026-06-23	09:30:00	恒锋信息(300605.XSHE)	卖	市价单	-1600股	10.35	-16,560.00	-908.00	21.56",parsed,False,False,
2026-06-23,09:30:00,2026-06-23 09:30:00,119,139,300886.XSHE,300886.XSHE,华业香料,buy,100,21.69,2169.0,5.0,,,,,,,"2026-06-23	09:30:00	华业香料(300886.XSHE)	买	市价单	100股	21.69	2,169.00	0.00	5.00",parsed,False,False,
2026-06-23,09:30:00,2026-06-23 09:30:00,120,140,600493.XSHG,600493.XSHG,凤竹纺织,buy,200,5.76,1152.0,5.0,,,,,,,"2026-06-23	09:30:00	凤竹纺织(600493.XSHG)	买	市价单	200股	5.76	1,152.00	0.00	5.00",parsed,False,False,
2026-06-23,09:30:00,2026-06-23 09:30:00,121,141,300405.XSHE,300405.XSHE,科隆股份,buy,2300,5.78,13294.0,5.0,,,,,,,"2026-06-23	09:30:00	科隆股份(300405.XSHE)	买	市价单	2300股	5.78	13,294.00	0.00	5.00",parsed,False,False,
2026-06-23,09:30:00,2026-06-23 09:30:00,122,142,600697.XSHG,600697.XSHG,欧亚集团,buy,1500,10.32,15480.0,,,,,,,,"2026-06-23	09:30:00	欧亚集团(600697.XSHG)	买	市价单	1500股	10.32	15,480.00	0.00",parsed,False,False,
