date,value
2025-01-02,997921.0
2025-01-03,998000.2
2025-01-06,998020.0
2025-01-07,998099.2
2025-01-08,998425.9
2025-01-09,998307.1
2025-01-10,998396.2
2025-01-13,998237.7999999999
2025-01-14,998158.6
2025-01-15,998346.7000000001
2025-01-16,998257.6
2025-01-17,998336.7999999999
2025-01-20,998277.4
2025-01-21,998406.1
2025-01-22,998495.2000000001
2025-01-23,998435.8
2025-01-24,998455.6
2025-01-27,999099.1
2025-02-05,1005067.9
2025-02-06,1008894.9
2025-02-07,1013793.9
2025-02-10,1029985.29
2025-02-11,1030413.29
2025-02-12,1026745.14
2025-02-13,1018656.51
2025-02-14,1018448.51
2025-02-17,1057771.51
2025-02-18,1055396.71
2025-02-19,1071149.71
2025-02-20,1069178.71
2025-02-21,1058937.46
2025-02-24,1067113.46
2025-02-25,1067413.46
2025-02-26,1078449.37
2025-02-27,1075565.37
2025-02-28,1058471.37
2025-03-03,1057858.4
2025-03-04,1064068.4
2025-03-05,1052705.4
2025-03-06,1068173.1099999999
2025-03-07,1052892.1099999999
2025-03-10,1094424.1099999999
2025-03-11,1097374.68
2025-03-12,1103616.68
2025-03-13,1088232.68
2025-03-14,1109192.3900000001
2025-03-17,1118778.39
2025-03-18,1118289.3900000001
2025-03-19,1115197.2999999998
2025-03-20,1123222.3
2025-03-21,1104022.3
2025-03-24,1055116.01
2025-03-25,1049965.01
2025-03-26,1079582.01
2025-03-27,1056145.26
2025-03-28,1018398.26
2025-03-31,988322.26
2025-04-01,988206.8299999998
2025-04-02,988277.2299999997
2025-04-03,988321.2299999997
2025-04-07,988242.0299999998
2025-04-08,997916.4299999998
2025-04-09,1008446.4299999998
2025-04-10,1012392.8299999998
2025-04-11,1001478.4299999998
2025-04-14,1001442.0299999998
2025-04-15,1005931.2299999997
2025-04-16,1001369.2299999997
2025-04-17,997904.0299999998
2025-04-18,999043.6299999998
2025-04-21,998037.2299999997
2025-04-22,998473.2299999999
2025-04-23,996121.2299999999
2025-04-24,996476.8299999997
2025-04-25,996921.6299999998
2025-04-28,996904.0299999998
2025-04-29,999469.6299999998
2025-04-30,1003707.6299999998
2025-05-06,1007973.4399999998
2025-05-07,1009125.4399999998
2025-05-08,1012034.4399999998
2025-05-09,1007764.5799999998
2025-05-12,1012104.5799999998
2025-05-13,1007927.5799999998
2025-05-14,1003072.5799999998
2025-05-15,1006569.5799999998
2025-05-16,1009218.5799999998
2025-05-19,1021932.5799999998
2025-05-20,1041561.5799999998
2025-05-21,1027567.5799999998
2025-05-22,1010300.1899999998
2025-05-23,997593.1899999998
2025-05-26,1010214.1899999998
2025-05-27,1019321.2399999999
2025-05-28,1012607.2399999998
2025-05-29,1033024.2399999999
2025-05-30,1027105.0199999998
2025-06-03,1034706.0199999998
2025-06-04,1044050.0199999998
2025-06-05,1043072.1999999998
2025-06-06,1054387.1999999997
2025-06-09,1071173.1999999997
2025-06-10,1062593.15
2025-06-11,1064350.15
2025-06-12,1069629.15
2025-06-13,1044561.7199999999
2025-06-16,1058131.7199999997
2025-06-17,1053966.7199999997
2025-06-18,1043302.0399999999
2025-06-19,1015790.0399999998
2025-06-20,1011527.0399999998
2025-06-23,1037485.0199999998
2025-06-24,1073874.02
2025-06-25,1076141.0199999998
2025-06-26,1097001.9
2025-06-27,1103809.9
2025-06-30,1118114.9
2025-07-01,1159107.5399999998
2025-07-02,1156522.5399999998
2025-07-03,1142604.5399999998
2025-07-04,1122814.8299999998
2025-07-07,1142872.8299999998
2025-07-08,1146290.8299999998
2025-07-09,1144675.0299999998
2025-07-10,1153149.0299999998
2025-07-11,1142457.0299999998
2025-07-14,1155781.6099999999
2025-07-15,1130930.6099999999
2025-07-16,1142678.6099999999
2025-07-17,1145468.4899999998
2025-07-18,1147720.4899999998
2025-07-21,1187084.4899999998
2025-07-22,1191088.8199999998
2025-07-23,1180776.8199999998
2025-07-24,1193141.8199999998
2025-07-25,1207037.7899999998
2025-07-28,1213077.7899999998
2025-07-29,1222970.7899999998
2025-07-30,1229146.3299999998
2025-07-31,1211994.3299999998
2025-08-01,1219955.3299999998
2025-08-04,1234674.7699999998
2025-08-05,1250063.7699999998
2025-08-06,1256333.7699999998
2025-08-07,1250543.19
2025-08-08,1259596.19
2025-08-11,1278181.1899999997
2025-08-12,1274341.8199999998
2025-08-13,1261610.8199999998
2025-08-14,1226912.8199999998
2025-08-15,1223829.8499999999
2025-08-18,1241172.8499999999
2025-08-19,1278691.8499999999
2025-08-20,1283730.1199999999
2025-08-21,1296904.1199999999
2025-08-22,1282191.1199999999
2025-08-25,1279638.0099999998
2025-08-26,1301131.0099999998
2025-08-27,1251115.0099999998
2025-08-28,1236383.5099999998
2025-08-29,1223828.5099999998
2025-09-01,1244102.5099999998
2025-09-02,1239509.14
2025-09-03,1199769.14
2025-09-04,1218621.14
2025-09-05,1238055.0199999998
2025-09-08,1261586.0199999998
2025-09-09,1257895.0199999998
2025-09-10,1266424.3099999998
2025-09-11,1269636.3099999998
2025-09-12,1255093.3099999998
2025-09-15,1267028.0899999999
2025-09-16,1304969.0899999999
2025-09-17,1293064.0899999999
2025-09-18,1255399.6099999999
2025-09-19,1240059.6099999999
2025-09-22,1226615.6099999999
2025-09-23,1205878.2699999998
2025-09-24,1237894.2699999998
2025-09-25,1221699.2699999998
2025-09-26,1228178.7099999997
2025-09-29,1270578.7099999997
2025-09-30,1307847.71
2025-10-09,1332698.3399999999
2025-10-10,1384576.3399999999
2025-10-13,1339864.3399999999
2025-10-14,1333888.2699999998
2025-10-15,1334103.2699999998
2025-10-16,1317498.2699999998
2025-10-17,1304013.9799999997
2025-10-20,1332275.9799999997
2025-10-21,1366344.9799999997
2025-10-22,1377793.5799999998
2025-10-23,1375884.5799999998
2025-10-24,1390003.5799999998
2025-10-27,1403032.9
2025-10-28,1441401.9
2025-10-29,1402446.4299999997
2025-10-30,1400113.3299999998
2025-10-31,1425350.3299999998
2025-11-03,1441414.3299999998
2025-11-04,1445787.7699999998
2025-11-05,1472203.7699999998
2025-11-06,1477514.7699999998
2025-11-07,1484362.7199999997
2025-11-10,1500828.7199999997
2025-11-11,1515582.7199999997
2025-11-12,1513779.38
2025-11-13,1525635.38
2025-11-14,1537362.38
2025-11-17,1552047.8399999999
2025-11-18,1535714.8399999999
2025-11-19,1493500.8399999999
2025-11-20,1474272.0399999998
2025-11-21,1390587.0399999998
2025-11-24,1430927.0399999998
2025-11-25,1463738.3299999998
2025-11-26,1441564.3299999998
2025-11-27,1456802.3299999998
2025-11-28,1489120.9
2025-12-01,1496743.9
2025-12-02,1493358.9
2025-12-03,1468494.7699999998
2025-12-04,1433657.7699999998
2025-12-05,1464550.7699999998
2025-12-08,1482465.0199999998
2025-12-09,1465086.0199999998
2025-12-10,1429547.0199999998
2025-12-11,1378446.88
2025-12-12,1342602.88
2025-12-15,1365619.88
2025-12-16,1337860.6799999997
2025-12-17,1344833.6799999997
2025-12-18,1373954.6799999997
2025-12-19,1416084.4
2025-12-22,1407616.4
2025-12-23,1399508.4
2025-12-24,1415095.3899999997
2025-12-25,1419981.3899999997
2025-12-26,1407154.3899999997
2025-12-29,1422115.4499999997
2025-12-30,1407969.4499999997
2025-12-31,1407487.4499999997
