date,value
2025-01-02,999901.0
2025-01-03,999980.2
2025-01-06,1000000.0
2025-01-07,1000079.2
2025-01-08,1000405.9
2025-01-09,1000287.1
2025-01-10,1000376.2
2025-01-13,1000217.7999999999
2025-01-14,1000138.6
2025-01-15,1000326.7000000001
2025-01-16,1000237.6
2025-01-17,1000316.7999999999
2025-01-20,1000257.4
2025-01-21,1000386.1
2025-01-22,1000475.2000000001
2025-01-23,1000415.8
2025-01-24,1000435.6
2025-01-27,1001079.1
2025-02-05,1009580.9
2025-02-06,1013365.88
2025-02-07,1018218.88
2025-02-10,1034789.22
2025-02-11,1035201.22
2025-02-12,1031578.27
2025-02-13,1023957.27
2025-02-14,1023512.27
2025-02-17,1062697.27
2025-02-18,1060365.71
2025-02-19,1075751.17
2025-02-20,1075919.71
2025-02-21,1066258.49
2025-02-24,1074512.49
2025-02-25,1074768.49
2025-02-26,1086205.69
2025-02-27,1083235.69
2025-02-28,1066066.15
2025-03-03,1065340.73
2025-03-04,1071051.73
2025-03-05,1060809.73
2025-03-06,1076257.83
2025-03-07,1060847.83
2025-03-10,1102740.83
2025-03-11,1106276.53
2025-03-12,1112311.53
2025-03-13,1097249.53
2025-03-14,1118868.32
2025-03-17,1128531.32
2025-03-18,1128042.32
2025-03-19,1125138.85
2025-03-20,1133249.85
2025-03-21,1113869.85
2025-03-24,1064788.94
2025-03-25,1059575.46
2025-03-26,1089803.46
2025-03-27,1067040.9
2025-03-28,1030344.23
2025-03-31,1002588.8
2025-04-01,1006145.93
2025-04-02,1006217.93
2025-04-03,1006262.93
2025-04-07,1006181.93
2025-04-08,1015857.93
2025-04-09,1026388.93
2025-04-10,1030335.93
2025-04-11,1019422.93
2025-04-14,1019387.93
2025-04-15,1023878.93
2025-04-16,1019317.9299999999
2025-04-17,1015851.93
2025-04-18,1016992.9299999999
2025-04-21,1015985.9299999999
2025-04-22,1016422.93
2025-04-23,1014070.93
2025-04-24,1014427.9299999999
2025-04-25,1014873.93
2025-04-28,1014855.93
2025-04-29,1017421.93
2025-04-30,1021664.93
2025-05-06,1028411.12
2025-05-07,1029597.12
2025-05-08,1032542.12
2025-05-09,1028598.26
2025-05-12,1033033.26
2025-05-13,1028749.26
2025-05-14,1024198.26
2025-05-15,1027779.26
2025-05-16,1030481.26
2025-05-19,1043810.26
2025-05-20,1063731.26
2025-05-21,1049541.26
2025-05-22,1032353.26
2025-05-23,1019374.26
2025-05-26,1032256.26
2025-05-27,1041640.87
2025-05-28,1034780.87
2025-05-29,1055665.87
2025-05-30,1049706.19
2025-06-03,1057509.1900000002
2025-06-04,1067062.19
2025-06-05,1066079.77
2025-06-06,1077648.77
2025-06-09,1094832.77
2025-06-10,1086074.69
2025-06-11,1087877.6900000002
2025-06-12,1093279.69
2025-06-13,1067734.53
2025-06-16,1081595.53
2025-06-17,1077339.53
2025-06-18,1066622.63
2025-06-19,1038502.63
2025-06-20,1034133.63
2025-06-23,1060722.6
2025-06-24,1097975.6
2025-06-25,1100279.6
2025-06-26,1118205.33
2025-06-27,1128330.06
2025-06-30,1141666.06
2025-07-01,1184223.47
2025-07-02,1180740.6400000001
2025-07-03,1168312.6400000001
2025-07-04,1149914.04
2025-07-07,1171401.04
2025-07-08,1175436.04
2025-07-09,1174142.83
2025-07-10,1182834.83
2025-07-11,1171835.83
2025-07-14,1185728.61
2025-07-15,1160235.6099999999
2025-07-16,1172303.6099999999
2025-07-17,1175293.67
2025-07-18,1177649.67
2025-07-21,1217954.67
2025-07-22,1222269.21
2025-07-23,1211684.21
2025-07-24,1224365.21
2025-07-25,1238784.47
2025-07-28,1244929.47
2025-07-29,1254919.47
2025-07-30,1261942.16
2025-07-31,1243119.16
2025-08-01,1256268.1600000001
2025-08-04,1272397.8599999999
2025-08-05,1289137.8599999999
2025-08-06,1296189.8599999999
2025-08-07,1290355.47
2025-08-08,1299646.47
2025-08-11,1318782.47
2025-08-12,1315119.1199999999
2025-08-13,1301960.12
2025-08-14,1266190.12
2025-08-15,1263317.69
2025-08-18,1281075.69
2025-08-19,1319783.69
2025-08-20,1325198.91
2025-08-21,1338727.91
2025-08-22,1323502.91
2025-08-25,1321066.76
2025-08-26,1343180.76
2025-08-27,1291640.76
2025-08-28,1276628.85
2025-08-29,1263665.85
2025-09-01,1284592.85
2025-09-02,1280292.54
2025-09-03,1239095.54
2025-09-04,1258608.54
2025-09-05,1278911.66
2025-09-08,1303267.66
2025-09-09,1299442.66
2025-09-10,1308499.63
2025-09-11,1311828.63
2025-09-12,1296799.63
2025-09-15,1309302.71
2025-09-16,1348510.71
2025-09-17,1336193.71
2025-09-18,1297806.95
2025-09-19,1281970.95
2025-09-22,1268109.95
2025-09-23,1247044.0899999999
2025-09-24,1280149.0899999999
2025-09-25,1263438.09
2025-09-26,1270148.0599999998
2025-09-29,1314038.0599999998
2025-09-30,1352638.06
2025-10-09,1378451.31
2025-10-10,1438870.68
2025-10-13,1423559.68
2025-10-14,1417712.8699999999
2025-10-15,1417845.8699999999
2025-10-16,1400244.8699999999
2025-10-17,1386066.51
2025-10-20,1416123.51
2025-10-21,1452325.51
2025-10-22,1464624.2799999998
2025-10-23,1462579.2799999998
2025-10-24,1477587.2799999998
2025-10-27,1491416.26
2025-10-28,1532168.26
2025-10-29,1491372.0699999998
2025-10-30,1488683.5899999999
2025-10-31,1515511.5899999999
2025-11-03,1532581.5899999999
2025-11-04,1537373.02
2025-11-05,1565451.02
2025-11-06,1571095.02
2025-11-07,1578656.21
2025-11-10,1596113.21
2025-11-11,1611808.21
2025-11-12,1610285.8399999999
2025-11-13,1622879.8399999999
2025-11-14,1635386.8399999999
2025-11-17,1651292.0899999999
2025-11-18,1633852.0899999999
2025-11-19,1589024.0899999999
2025-11-20,1568835.13
2025-11-21,1479502.13
2025-11-24,1522544.13
2025-11-25,1557843.24
2025-11-26,1534211.24
2025-11-27,1550490.24
2025-11-28,1585191.2699999998
2025-12-01,1593326.27
2025-12-02,1589676.27
2025-12-03,1563357.72
2025-12-04,1526251.72
2025-12-05,1559172.72
2025-12-08,1578396.06
2025-12-09,1559926.06
2025-12-10,1522100.06
2025-12-11,1467865.31
2025-12-12,1429725.31
2025-12-15,1454224.31
2025-12-16,1424797.35
2025-12-17,1432221.35
2025-12-18,1463231.35
2025-12-19,1508262.22
2025-12-22,1499239.22
2025-12-23,1490544.22
2025-12-24,1507513.48
2025-12-25,1512687.48
2025-12-26,1499025.48
2025-12-29,1515191.2799999998
2025-12-30,1500128.2799999998
2025-12-31,1499663.2799999998
