date,value
2024-01-02,1000168.3
2024-01-03,1000188.1
2024-01-04,1000257.4
2024-01-05,1000435.6000000001
2024-01-08,1000435.6000000001
2024-01-09,1000475.2
2024-01-10,1000554.4
2024-01-11,1000534.6
2024-01-12,1000752.4
2024-01-15,1000841.5
2024-01-16,1000831.6
2024-01-17,1000871.2000000001
2024-01-18,1000960.3
2024-01-19,1001128.6
2024-01-22,1001287.0000000001
2024-01-23,1001207.7999999999
2024-01-24,1001207.7999999999
2024-01-25,1001098.9
2024-01-26,1001376.1000000001
2024-01-29,1001455.3
2024-01-30,1001584.0000000001
2024-01-31,1001643.4
2024-02-01,996510.2000000001
2024-02-02,983471.2000000001
2024-02-05,962773.92
2024-02-06,956077.8299999998
2024-02-07,916847.8099999998
2024-02-08,941807.8699999998
2024-02-19,982876.7799999998
2024-02-20,1008463.7799999998
2024-02-21,1048571.2599999998
2024-02-22,1089312.4499999997
2024-02-23,1139953.4499999997
2024-02-26,1163762.4499999997
2024-02-27,1206530.7399999998
2024-02-28,1074835.7399999998
2024-02-29,1112627.7399999998
2024-03-01,1122490.4399999997
2024-03-04,1113011.4399999997
2024-03-05,1070292.4399999997
2024-03-06,1116009.5199999998
2024-03-07,1106268.0499999998
2024-03-08,1111316.0499999998
2024-03-11,1147796.0599999998
2024-03-12,1178079.0599999998
2024-03-13,1181235.0599999998
2024-03-14,1188156.3099999998
2024-03-15,1234639.3099999998
2024-03-18,1269486.1099999999
2024-03-19,1263126.6799999997
2024-03-20,1297565.7699999998
2024-03-21,1298709.7699999998
2024-03-22,1273920.5399999998
2024-03-25,1250737.54
2024-03-26,1259887.5399999998
2024-03-27,1232734.5099999998
2024-03-28,1276549.65
2024-03-29,1287570.65
2024-04-01,1291235.6999999997
2024-04-02,1286306.7999999998
2024-04-03,1280651.7999999998
2024-04-08,1276423.0999999999
2024-04-09,1276697.9999999998
2024-04-10,1274351.9999999998
2024-04-11,1273905.9999999998
2024-04-12,1275017.5999999999
2024-04-15,1269917.5999999999
2024-04-16,1265424.4
2024-04-17,1266828.1999999997
2024-04-18,1267128.9999999998
2024-04-19,1265744.2
2024-04-22,1263752.5999999999
2024-04-23,1267803.1999999997
2024-04-24,1267191.1999999997
2024-04-25,1267696.0
2024-04-26,1272082.0
2024-04-29,1272406.9999999998
2024-04-30,1271072.2999999998
2024-05-06,1280515.3599999999
2024-05-07,1285571.13
2024-05-08,1277875.13
2024-05-09,1290212.13
2024-05-10,1280231.3599999999
2024-05-13,1258246.3599999999
2024-05-14,1290099.3599999999
2024-05-15,1301440.3599999999
2024-05-16,1306363.7199999997
2024-05-17,1316179.7199999997
2024-05-20,1295472.7199999997
2024-05-21,1282578.7199999997
2024-05-22,1293648.7199999997
2024-05-23,1246376.7199999997
2024-05-24,1238052.7199999997
2024-05-27,1254924.4
2024-05-28,1228032.4
2024-05-29,1261623.4
2024-05-30,1214232.0999999999
2024-05-31,1214513.0999999999
2024-06-03,1166861.0999999999
2024-06-04,1116647.0199999998
2024-06-05,1113493.5299999998
2024-06-06,1054484.0599999998
2024-06-07,1124292.2799999998
2024-06-11,1113827.1699999997
2024-06-12,1169619.1699999997
2024-06-13,1146247.0099999998
2024-06-14,1134508.0099999998
2024-06-17,1108721.0099999998
2024-06-18,1152099.8099999996
2024-06-19,1147100.8099999998
2024-06-20,1104843.8099999998
2024-06-21,1084950.5999999996
2024-06-24,1024619.5999999997
2024-06-25,1031214.2799999997
2024-06-26,1052002.3199999998
2024-06-27,1047225.3199999997
2024-06-28,1043490.3199999997
2024-07-01,1046488.9499999998
2024-07-02,1060621.9499999997
2024-07-03,1066189.0499999998
2024-07-04,1045623.8599999998
2024-07-05,1053199.88
2024-07-08,1028062.7899999998
2024-07-09,1011296.7899999998
2024-07-10,992293.0699999998
2024-07-11,1031940.0999999999
2024-07-12,1021893.0999999999
2024-07-15,1022801.5899999999
2024-07-16,1018451.8899999998
2024-07-17,1020947.7599999998
2024-07-18,1034144.5599999998
2024-07-19,1031779.1699999998
2024-07-22,1039674.1699999998
2024-07-23,1043879.5599999998
2024-07-24,1028043.5599999998
2024-07-25,1036106.5599999998
2024-07-26,1034627.5599999998
2024-07-29,1041786.5599999998
2024-07-30,1063213.5599999998
2024-07-31,1089795.5599999998
2024-08-01,1103411.5599999998
2024-08-02,1093140.4199999997
2024-08-05,1078118.4199999997
2024-08-06,1118665.4199999997
2024-08-07,1119809.38
2024-08-08,1125013.38
2024-08-09,1110121.1699999997
2024-08-12,1089975.5599999998
2024-08-13,1123484.5599999998
2024-08-14,1137367.3599999999
2024-08-15,1138461.2699999998
2024-08-16,1113172.2699999998
2024-08-19,1125046.2699999998
2024-08-20,1116482.3899999997
2024-08-21,1106122.3899999997
2024-08-22,1092603.3899999997
2024-08-23,1062364.5099999998
2024-08-26,1090914.5099999998
2024-08-27,1083107.5099999998
2024-08-28,1092896.6699999997
2024-08-29,1102880.6699999997
2024-08-30,1127825.6699999997
2024-09-02,1116769.7699999998
2024-09-03,1121212.7699999998
2024-09-04,1104181.7699999998
2024-09-05,1129657.88
2024-09-06,1108465.88
2024-09-09,1122079.88
2024-09-10,1147687.2899999998
2024-09-11,1145608.2899999998
2024-09-12,1144092.63
2024-09-13,1135507.6399999997
2024-09-18,1109168.6399999997
2024-09-19,1157036.6399999997
2024-09-20,1143121.3599999999
2024-09-23,1152362.3599999999
2024-09-24,1186260.3599999999
2024-09-25,1203721.4999999998
2024-09-26,1239314.4999999998
2024-09-27,1295491.4999999998
2024-09-30,1415852.13
2024-10-08,1510456.1299999997
2024-10-09,1349750.13
2024-10-10,1382249.1599999997
2024-10-11,1329546.4
2024-10-14,1393906.4
2024-10-15,1385231.5899999999
2024-10-16,1393958.5899999999
2024-10-17,1366678.5899999999
2024-10-18,1401456.7899999998
2024-10-21,1440363.6399999997
2024-10-22,1490678.6399999997
2024-10-23,1532502.7699999998
2024-10-24,1567242.7199999997
2024-10-25,1645244.7199999997
2024-10-28,1746114.5199999998
2024-10-29,1722037.5199999998
2024-10-30,1722698.8399999999
2024-10-31,1748358.67
2024-11-01,1704996.5499999998
2024-11-04,1740596.2299999997
2024-11-05,1808113.8899999997
2024-11-06,1857646.8099999998
2024-11-07,1902403.8099999998
2024-11-08,1894087.19
2024-11-11,1952728.19
2024-11-12,1962008.0299999998
2024-11-13,1967098.2
