date,value
2025-01-02,999901.0
2025-01-03,999980.2
2025-01-06,1000000.0
2025-01-07,1000079.2
2025-01-08,1000405.9
2025-01-09,1000287.1
2025-01-10,1000376.2
2025-01-13,1000217.7999999999
2025-01-14,1000138.6
2025-01-15,1000326.7000000001
2025-01-16,1000237.6
2025-01-17,1000316.7999999999
2025-01-20,1000257.4
2025-01-21,1000386.1
2025-01-22,1000475.2000000001
2025-01-23,1000415.8
2025-01-24,1000435.6
2025-01-27,1001079.1
2025-02-05,1009580.9
2025-02-06,1013362.5599999999
2025-02-07,1018213.5599999999
2025-02-10,1034641.8999999999
2025-02-11,1035079.8999999999
2025-02-12,1031486.95
2025-02-13,1023931.95
2025-02-14,1023555.95
2025-02-17,1062304.95
2025-02-18,1060442.47
2025-02-19,1075218.02
2025-02-20,1075413.56
2025-02-21,1066079.74
2025-02-24,1074154.74
2025-02-25,1074491.74
2025-02-26,1085670.23
2025-02-27,1082782.23
2025-02-28,1065765.69
2025-03-03,1064965.14
2025-03-04,1070754.14
2025-03-05,1060569.14
2025-03-06,1076017.8699999999
2025-03-07,1060727.8699999999
2025-03-10,1103009.8699999999
2025-03-11,1106575.47
2025-03-12,1112628.47
2025-03-13,1097639.47
2025-03-14,1119016.8399999999
2025-03-17,1128580.8399999999
2025-03-18,1128093.8399999999
2025-03-19,1125262.7399999998
2025-03-20,1133221.74
2025-03-21,1114468.74
2025-03-24,1066053.8599999999
2025-03-25,1061045.51
2025-03-26,1090929.51
2025-03-27,1068121.23
2025-03-28,1031195.7799999999
2025-03-31,1001872.7799999999
2025-04-01,1005539.1300000001
2025-04-02,1005611.1300000001
2025-04-03,1005656.1300000001
2025-04-07,1005575.1300000001
2025-04-08,1015447.1300000001
2025-04-09,1026192.1300000001
2025-04-10,1030219.1300000001
2025-04-11,1019082.1300000001
2025-04-14,1019045.1300000001
2025-04-15,1023626.1300000001
2025-04-16,1018971.13
2025-04-17,1015435.1300000001
2025-04-18,1016598.13
2025-04-21,1015571.13
2025-04-22,1016016.1300000001
2025-04-23,1013616.1300000001
2025-04-24,1013979.13
2025-04-25,1014433.1300000001
2025-04-28,1014415.1300000001
2025-04-29,1017033.1300000001
2025-04-30,1021358.1300000001
2025-05-06,1028111.8300000001
2025-05-07,1029297.8300000001
2025-05-08,1032242.8300000001
2025-05-09,1028326.9700000001
2025-05-12,1032728.9700000001
2025-05-13,1028491.9700000001
2025-05-14,1023919.9700000001
2025-05-15,1027500.9700000001
2025-05-16,1030202.9700000001
2025-05-19,1043517.9700000001
2025-05-20,1063373.9700000002
2025-05-21,1049237.9700000002
2025-05-22,1032199.5800000001
2025-05-23,1019394.5800000001
2025-05-26,1032122.5800000001
2025-05-27,1041464.5800000001
2025-05-28,1034591.5800000001
2025-05-29,1055515.58
2025-05-30,1049733.8
2025-06-03,1057408.8000000003
2025-06-04,1066846.8
2025-06-05,1065887.3800000001
2025-06-06,1077280.3800000001
2025-06-09,1094170.3800000001
2025-06-10,1085674.11
2025-06-11,1087426.11
2025-06-12,1092688.11
2025-06-13,1067675.06
2025-06-16,1081245.06
2025-06-17,1077080.06
2025-06-18,1066399.2200000002
2025-06-19,1038310.2200000001
2025-06-20,1033954.2200000001
2025-06-23,1060574.2200000002
2025-06-24,1097889.2200000002
2025-06-25,1100224.2200000002
2025-06-26,1118431.46
2025-06-27,1128456.19
2025-06-30,1141768.19
2025-07-01,1182717.79
2025-07-02,1179229.9900000002
2025-07-03,1167706.9900000002
2025-07-04,1149721.53
2025-07-07,1170751.53
2025-07-08,1174712.53
2025-07-09,1173556.48
2025-07-10,1181665.48
2025-07-11,1171237.48
2025-07-14,1184814.05
2025-07-15,1159832.05
2025-07-16,1171786.05
2025-07-17,1174671.4900000002
2025-07-18,1177007.4900000002
2025-07-21,1217032.4900000002
2025-07-22,1221452.05
2025-07-23,1211258.05
2025-07-24,1223571.05
2025-07-25,1237662.8800000001
2025-07-28,1243726.8800000001
2025-07-29,1253603.8800000001
2025-07-30,1260430.82
2025-07-31,1241475.82
2025-08-01,1254939.82
2025-08-04,1270850.1800000002
2025-08-05,1288070.1800000002
2025-08-06,1296030.1800000002
2025-08-07,1290291.71
2025-08-08,1299209.7100000002
2025-08-11,1317797.71
2025-08-12,1314244.23
2025-08-13,1301530.23
2025-08-14,1266940.23
2025-08-15,1264126.79
2025-08-18,1282163.79
2025-08-19,1320934.79
2025-08-20,1326334.48
2025-08-21,1339653.48
2025-08-22,1324668.48
2025-08-25,1322256.09
2025-08-26,1344015.09
2025-08-27,1293314.09
2025-08-28,1278243.3800000001
2025-08-29,1265219.3800000001
2025-09-01,1286147.3800000001
2025-09-02,1281906.2800000003
2025-09-03,1240594.28
2025-09-04,1260187.2800000003
2025-09-05,1280688.53
2025-09-08,1305074.53
2025-09-09,1301312.53
2025-09-10,1310388.46
2025-09-11,1313651.46
2025-09-12,1298616.46
2025-09-15,1311137.8800000001
2025-09-16,1350236.8800000001
2025-09-17,1337972.8800000001
2025-09-18,1300805.37
2025-09-19,1285436.37
2025-09-22,1271968.37
2025-09-23,1250925.86
2025-09-24,1284404.86
2025-09-25,1267487.86
2025-09-26,1274282.98
2025-09-29,1317740.98
2025-09-30,1355710.98
2025-10-09,1380486.96
2025-10-10,1439858.84
2025-10-13,1425205.84
2025-10-14,1420195.7800000003
2025-10-15,1420439.7800000003
2025-10-16,1403900.7800000003
2025-10-17,1390152.83
2025-10-20,1419172.83
2025-10-21,1454145.83
2025-10-22,1465986.31
2025-10-23,1464061.31
2025-10-24,1478453.31
2025-10-27,1491699.6700000002
2025-10-28,1531093.6700000002
2025-10-29,1491650.4200000002
2025-10-30,1488945.98
2025-10-31,1514895.98
2025-11-03,1531501.98
2025-11-04,1536182.2600000002
2025-11-05,1563101.2600000002
2025-11-06,1568658.2600000002
2025-11-07,1575944.4700000002
2025-11-10,1592688.4700000002
2025-11-11,1607932.4700000002
2025-11-12,1606329.23
2025-11-13,1618339.23
2025-11-14,1630291.23
2025-11-17,1645329.9500000002
2025-11-18,1628961.9500000002
2025-11-19,1586075.9500000002
2025-11-20,1565724.96
2025-11-21,1477099.96
2025-11-24,1519735.96
2025-11-25,1554822.1600000001
2025-11-26,1531805.1600000001
2025-11-27,1547728.1600000001
2025-11-28,1582272.46
2025-12-01,1591034.46
2025-12-02,1587696.46
2025-12-03,1561533.61
2025-12-04,1524510.61
2025-12-05,1557323.61
2025-12-08,1576548.8900000001
2025-12-09,1558049.8900000001
2025-12-10,1520239.8900000001
2025-12-11,1466089.25
2025-12-12,1427974.25
2025-12-15,1452394.25
2025-12-16,1422441.27
2025-12-17,1429629.27
2025-12-18,1460513.27
2025-12-19,1506590.08
2025-12-22,1497901.08
2025-12-23,1489030.08
2025-12-24,1505873.8900000001
2025-12-25,1511107.8900000001
2025-12-26,1497512.8900000001
2025-12-29,1513573.54
2025-12-30,1498603.54
2025-12-31,1498194.54
