date,value
2025-01-02,999901.0
2025-01-03,999980.2
2025-01-06,1000000.0
2025-01-07,1000079.2
2025-01-08,1000405.9
2025-01-09,1000287.1
2025-01-10,1000376.2
2025-01-13,1000217.7999999999
2025-01-14,1000138.6
2025-01-15,1000326.7000000001
2025-01-16,1000237.6
2025-01-17,1000316.7999999999
2025-01-20,1000257.4
2025-01-21,1000386.1
2025-01-22,1000475.2000000001
2025-01-23,1000415.8
2025-01-24,1000435.6
2025-01-27,1001079.1
2025-02-05,1006462.9
2025-02-06,1010694.9
2025-02-07,1012510.9
2025-02-10,1022474.9
2025-02-11,1019102.9
2025-02-12,1020013.9
2025-02-13,1013663.39
2025-02-14,1011218.39
2025-02-17,1029118.39
2025-02-18,1019547.48
2025-02-19,1029405.48
2025-02-20,1032621.9199999999
2025-02-21,1029399.1599999999
2025-02-24,1035326.1599999999
2025-02-25,1036028.1599999999
2025-02-26,1038792.7599999999
2025-02-27,1033372.7599999999
2025-02-28,1028041.7599999999
2025-03-03,1033265.1399999999
2025-03-04,1044530.1399999999
2025-03-05,1037930.0499999999
2025-03-06,1043761.2499999999
2025-03-07,1041275.2499999999
2025-03-10,1052941.25
2025-03-11,1061703.15
2025-03-12,1070040.15
2025-03-13,1061150.95
2025-03-14,1068240.68
2025-03-17,1069977.1199999999
2025-03-18,1073817.1199999999
2025-03-19,1072635.44
2025-03-20,1077969.44
2025-03-21,1070694.44
2025-03-24,1038411.44
2025-03-25,1036715.44
2025-03-26,1042676.6299999999
2025-03-27,1029060.88
2025-03-28,1019115.88
2025-03-31,1007514.88
2025-04-01,1008429.8200000002
2025-04-02,1008508.2200000001
2025-04-03,1008557.2200000001
2025-04-07,1008469.0200000001
2025-04-08,1008547.4200000002
2025-04-09,1008596.4200000002
2025-04-10,1008625.8200000002
2025-04-11,1008694.4200000002
2025-04-14,1008763.0200000001
2025-04-15,1008851.2200000001
2025-04-16,1008900.2200000001
2025-04-17,1008861.0200000001
2025-04-18,1008929.6200000001
2025-04-21,1008900.2200000001
2025-04-22,1008949.2200000002
2025-04-23,1008949.2200000002
2025-04-24,1009017.8200000001
2025-04-25,1009076.6200000001
2025-04-28,1009057.0200000001
2025-04-29,1009076.6200000001
2025-04-30,1009321.6200000001
2025-05-06,1016134.8200000002
2025-05-07,1018573.1900000002
2025-05-08,1023467.1900000002
2025-05-09,1022999.4900000002
2025-05-12,1024871.4900000002
2025-05-13,1022135.4900000002
2025-05-14,1019557.1100000002
2025-05-15,1027276.1100000002
2025-05-16,1026818.5200000003
2025-05-19,1033902.5200000003
2025-05-20,1049864.5200000003
2025-05-21,1048531.5200000003
2025-05-22,1044223.5200000003
2025-05-23,1039660.2200000002
2025-05-26,1039676.4100000003
2025-05-27,1043095.5900000003
2025-05-28,1040781.5900000003
2025-05-29,1046105.5900000003
2025-05-30,1044138.8600000003
2025-06-03,1048812.8600000003
2025-06-04,1055343.8600000003
2025-06-05,1052300.7000000002
2025-06-06,1058950.7000000002
2025-06-09,1065376.7000000002
2025-06-10,1059454.8200000003
2025-06-11,1062225.8200000003
2025-06-12,1063274.8200000003
2025-06-13,1049006.8200000003
2025-06-16,1050931.8200000003
2025-06-17,1048512.8200000003
2025-06-18,1041896.8200000003
2025-06-19,1027842.8200000003
2025-06-20,1028017.8200000003
2025-06-23,1042076.6400000002
2025-06-24,1056898.6400000001
2025-06-25,1056615.6400000001
2025-06-26,1056835.3400000003
2025-06-27,1064263.3400000003
2025-06-30,1068743.3400000003
2025-07-01,1073465.0300000003
2025-07-02,1074938.0300000003
2025-07-03,1076613.0300000003
2025-07-04,1069317.0100000002
2025-07-07,1079720.0100000002
2025-07-08,1079212.0100000002
2025-07-09,1076518.0800000005
2025-07-10,1078541.0800000005
2025-07-11,1073313.0800000005
2025-07-14,1078024.4900000005
2025-07-15,1067893.4900000005
2025-07-16,1072700.4900000005
2025-07-17,1074160.8900000006
2025-07-18,1075859.8900000004
2025-07-21,1085721.8900000006
2025-07-22,1081461.6200000006
2025-07-23,1079566.6200000006
2025-07-24,1083799.6200000006
2025-07-25,1089965.4100000006
2025-07-28,1092828.4100000006
2025-07-29,1097353.4100000006
2025-07-30,1097942.4000000006
2025-07-31,1088081.4000000006
2025-08-01,1093166.4000000006
2025-08-04,1098237.4300000006
2025-08-05,1107709.4300000006
2025-08-06,1109832.4300000006
2025-08-07,1106352.0500000007
2025-08-08,1110667.0500000007
2025-08-11,1122166.0500000007
2025-08-12,1120141.6600000006
2025-08-13,1113578.6600000006
2025-08-14,1098696.6600000006
2025-08-15,1095671.2000000004
2025-08-18,1103330.2000000004
2025-08-19,1114451.2000000004
2025-08-20,1116854.1200000006
2025-08-21,1124785.1200000006
2025-08-22,1119202.1200000006
2025-08-25,1117876.2100000004
2025-08-26,1124180.2100000004
2025-08-27,1098466.2100000004
2025-08-28,1096572.1000000006
2025-08-29,1088899.1000000006
2025-09-01,1100052.1000000006
2025-09-02,1098291.9400000004
2025-09-03,1082831.9400000004
2025-09-04,1089642.9400000004
2025-09-05,1099846.1100000006
2025-09-08,1114505.1100000006
2025-09-09,1108616.1100000006
2025-09-10,1111164.1800000006
2025-09-11,1113587.1800000006
2025-09-12,1105875.1800000006
2025-09-15,1105890.7500000005
2025-09-16,1116603.7500000007
2025-09-17,1115633.7500000005
2025-09-18,1107253.6400000006
2025-09-19,1100323.6400000006
2025-09-22,1096130.6400000006
2025-09-23,1088661.3400000005
2025-09-24,1099661.3400000005
2025-09-25,1096089.3400000005
2025-09-26,1099195.7300000004
2025-09-29,1116355.7300000004
2025-09-30,1127779.7300000004
2025-10-09,1138066.9300000006
2025-10-10,1155861.0000000005
2025-10-13,1149560.0000000005
2025-10-14,1149150.2000000004
2025-10-15,1152972.2000000004
2025-10-16,1148335.2000000004
2025-10-17,1142432.3300000005
2025-10-20,1155029.3300000005
2025-10-21,1170511.3300000005
2025-10-22,1176249.9500000007
2025-10-23,1177407.9500000007
2025-10-24,1181568.9500000007
2025-10-27,1184640.7500000005
2025-10-28,1199949.7500000005
2025-10-29,1185699.0000000005
2025-10-30,1186448.2200000007
2025-10-31,1198413.2200000007
2025-11-03,1205833.2200000007
2025-11-04,1205902.8300000005
2025-11-05,1216654.8300000005
2025-11-06,1215759.8300000005
2025-11-07,1220361.8600000006
2025-11-10,1218934.8600000006
2025-11-11,1220990.8600000006
2025-11-12,1221351.1600000006
2025-11-13,1227448.1600000006
2025-11-14,1228251.1600000006
2025-11-17,1238908.2400000007
2025-11-18,1229825.2400000007
2025-11-19,1216721.2400000007
2025-11-20,1207489.9600000004
2025-11-21,1177641.9600000004
2025-11-24,1191012.9600000004
2025-11-25,1201081.9600000004
2025-11-26,1193505.9600000004
2025-11-27,1202345.9600000004
2025-11-28,1214258.8200000005
2025-12-01,1214055.8200000005
2025-12-02,1210776.8200000005
2025-12-03,1204864.4600000004
2025-12-04,1197379.4600000004
2025-12-05,1205222.4600000004
2025-12-08,1209667.7900000005
2025-12-09,1202263.7900000005
2025-12-10,1193586.7900000005
2025-12-11,1178381.3800000004
2025-12-12,1169853.3800000004
2025-12-15,1174117.3800000004
2025-12-16,1162992.3800000004
2025-12-17,1164821.3800000004
2025-12-18,1182302.3800000004
2025-12-19,1194790.3800000004
2025-12-22,1192622.3800000004
2025-12-23,1190905.3800000004
2025-12-24,1196931.6500000004
2025-12-25,1200399.6500000004
2025-12-26,1195142.6500000004
2025-12-29,1199608.7100000004
2025-12-30,1195169.7100000002
2025-12-31,1198190.7100000004
