date,value
2025-01-02,998728.0
2025-01-03,987485.0
2025-01-06,985604.0
2025-01-07,1008232.0
2025-01-08,1009805.0
2025-01-09,1015030.0
2025-01-10,990718.23
2025-01-13,994372.23
2025-01-14,1031006.23
2025-01-15,1029924.2000000001
2025-01-16,1030848.2000000001
2025-01-17,1019715.2000000001
2025-01-20,1026172.48
2025-01-21,1007459.48
2025-01-22,1000243.48
2025-01-23,996059.23
2025-01-24,998900.23
2025-01-27,999448.23
2025-02-05,1030530.66
2025-02-06,1041826.66
2025-02-07,1053662.6600000001
2025-02-10,1086292.27
2025-02-11,1092344.27
2025-02-12,1088752.12
2025-02-13,1075694.1700000002
2025-02-14,1082356.1700000002
2025-02-17,1137783.1700000002
2025-02-18,1137470.82
2025-02-19,1163395.82
2025-02-20,1156072.82
2025-02-21,1148600.36
2025-02-24,1153566.36
2025-02-25,1155398.36
2025-02-26,1163828.03
2025-02-27,1161665.03
2025-02-28,1150100.03
2025-03-03,1148281.67
2025-03-04,1153076.67
2025-03-05,1141930.67
2025-03-06,1151373.27
2025-03-07,1141609.27
2025-03-10,1169390.27
2025-03-11,1171829.11
2025-03-12,1177096.11
2025-03-13,1165550.11
2025-03-14,1182111.7000000002
2025-03-17,1195615.7000000002
2025-03-18,1202432.7000000002
2025-03-19,1210748.6400000001
2025-03-20,1213795.62
2025-03-21,1215691.62
2025-03-24,1172522.26
2025-03-25,1156603.26
2025-03-26,1137862.98
2025-03-27,1132769.18
2025-03-28,1130859.98
2025-03-31,1127630.18
2025-04-01,1129032.78
2025-04-02,1129353.5799999998
2025-04-03,1128934.5799999998
2025-04-07,1122703.18
2025-04-08,1122315.98
2025-04-09,1123312.98
2025-04-10,1126176.78
2025-04-11,1127194.98
2025-04-14,1130573.18
2025-04-15,1132792.5799999998
2025-04-16,1132609.5799999998
2025-04-17,1128319.18
2025-04-18,1126269.38
2025-04-21,1125057.5799999998
2025-04-22,1125110.58
2025-04-23,1120190.38
