date,value
2025-01-02,999901.0
2025-01-03,999980.2
2025-01-06,1000000.0
2025-01-07,1000079.2
2025-01-08,1000405.9
2025-01-09,1000287.1
2025-01-10,1000376.2
2025-01-13,1000217.7999999999
2025-01-14,1000138.6
2025-01-15,1000326.7000000001
2025-01-16,1000237.6
2025-01-17,1000316.7999999999
2025-01-20,1000257.4
2025-01-21,1000386.1
2025-01-22,1000475.2000000001
2025-01-23,1000415.8
2025-01-24,1000435.6
2025-01-27,1001079.1
2025-02-05,1009292.9
2025-02-06,1014096.88
2025-02-07,1018756.88
2025-02-10,1035422.22
2025-02-11,1035661.22
2025-02-12,1032817.27
2025-02-13,1025016.27
2025-02-14,1024232.27
2025-02-17,1062271.27
2025-02-18,1060467.26
2025-02-19,1077072.72
2025-02-20,1077017.26
2025-02-21,1071211.54
2025-02-24,1075370.54
2025-02-25,1076800.54
2025-02-26,1085086.83
2025-02-27,1082864.83
2025-02-28,1072233.29
2025-03-03,1070362.29
2025-03-04,1074521.29
2025-03-05,1065206.29
2025-03-06,1073770.04
2025-03-07,1064639.04
2025-03-10,1090495.04
2025-03-11,1092997.56
2025-03-12,1097779.56
2025-03-13,1087150.56
2025-03-14,1102757.0100000002
2025-03-17,1115406.0100000002
2025-03-18,1121624.4400000002
2025-03-19,1128627.1600000001
2025-03-20,1132764.94
2025-03-21,1132721.9400000002
2025-03-24,1094619.9100000001
2025-03-25,1081203.7800000003
2025-03-26,1092771.7800000003
2025-03-27,1080522.2300000002
2025-03-28,1053466.3000000003
2025-03-31,1032223.3000000002
2025-04-01,1034163.4200000004
2025-04-02,1034241.0200000004
2025-04-03,1034289.5200000003
2025-04-07,1034202.2200000003
2025-04-08,1040061.8200000004
2025-04-09,1046423.3200000003
2025-04-10,1048812.4200000004
2025-04-11,1042272.3200000004
2025-04-14,1042281.2200000003
2025-04-15,1045023.5200000003
2025-04-16,1042299.0200000003
2025-04-17,1040195.2200000003
2025-04-18,1040912.1200000002
2025-04-21,1040293.0200000003
2025-04-22,1040577.5200000004
2025-04-23,1039161.5200000004
2025-04-24,1039406.4200000003
2025-04-25,1039700.6200000002
2025-04-28,1039681.2200000003
2025-04-29,1041234.6200000002
2025-04-30,1043896.1200000003
2025-05-06,1050661.5800000005
2025-05-07,1052363.5800000005
2025-05-08,1056298.5800000005
2025-05-09,1052378.7200000004
2025-05-12,1056623.7200000004
2025-05-13,1053966.7200000004
2025-05-14,1051775.7200000004
2025-05-15,1054154.7200000004
2025-05-16,1055510.7200000004
2025-05-19,1067641.1500000004
2025-05-20,1081134.1500000004
2025-05-21,1072224.1500000004
2025-05-22,1061846.2600000005
2025-05-23,1051813.2600000005
2025-05-26,1061672.2600000005
2025-05-27,1069983.7500000005
2025-05-28,1066564.7500000005
2025-05-29,1085446.7500000005
2025-05-30,1076555.8300000005
2025-06-03,1084314.8300000005
2025-06-04,1094134.8300000005
2025-06-05,1092293.9700000004
2025-06-06,1101230.9700000004
2025-06-09,1112386.9700000004
2025-06-10,1106179.4100000004
2025-06-11,1105927.4100000004
2025-06-12,1107764.4100000004
2025-06-13,1087399.4600000004
2025-06-16,1097103.4600000004
2025-06-17,1093465.4600000004
2025-06-18,1089902.6800000006
2025-06-19,1066542.6800000004
2025-06-20,1062512.6800000004
2025-06-23,1080410.7300000004
2025-06-24,1107135.7300000004
2025-06-25,1113345.7300000004
2025-06-26,1118872.8400000005
2025-06-27,1126933.8400000005
2025-06-30,1133839.8400000005
2025-07-01,1147577.0300000005
2025-07-02,1143469.0300000005
2025-07-03,1149881.0300000005
2025-07-04,1138263.5600000005
2025-07-07,1148096.5600000005
2025-07-08,1150765.5600000005
2025-07-09,1150049.4500000004
2025-07-10,1151314.4500000004
2025-07-11,1146017.4500000004
2025-07-14,1154498.7400000005
2025-07-15,1139471.7400000005
2025-07-16,1149026.7400000005
2025-07-17,1150460.2400000005
2025-07-18,1151808.2400000005
2025-07-21,1176808.2400000005
2025-07-22,1180142.1800000004
2025-07-23,1172433.1800000004
2025-07-24,1179723.1800000004
2025-07-25,1189416.8600000003
2025-07-28,1192816.8600000003
2025-07-29,1197594.8600000003
2025-07-30,1201410.4300000004
2025-07-31,1188490.4300000004
2025-08-01,1197885.4300000004
2025-08-04,1208845.9500000004
2025-08-05,1221324.9500000004
2025-08-06,1227594.9500000004
2025-08-07,1222775.9400000004
2025-08-08,1228856.9400000004
2025-08-11,1243327.9400000004
2025-08-12,1240595.3900000004
2025-08-13,1231690.3900000004
2025-08-14,1209006.3900000004
2025-08-15,1206424.7800000003
2025-08-18,1218526.7800000003
2025-08-19,1242013.7800000003
2025-08-20,1245193.1200000003
2025-08-21,1253835.1200000003
2025-08-22,1244915.1200000003
2025-08-25,1242632.9100000004
2025-08-26,1256512.9100000004
2025-08-27,1223495.9100000004
2025-08-28,1214484.8500000003
2025-08-29,1205925.8500000003
2025-09-01,1220603.8500000003
2025-09-02,1218373.4500000004
2025-09-03,1190823.4500000004
2025-09-04,1203908.4500000004
2025-09-05,1218333.4700000002
2025-09-08,1234691.4700000002
2025-09-09,1232259.4700000002
2025-09-10,1239969.0000000002
2025-09-11,1241576.0000000002
2025-09-12,1230861.0000000002
2025-09-15,1237585.3600000003
2025-09-16,1261689.3600000003
2025-09-17,1254915.3600000003
2025-09-18,1233041.8200000003
2025-09-19,1224906.8200000003
2025-09-22,1216104.8200000003
2025-09-23,1201907.7200000002
2025-09-24,1221407.7200000002
2025-09-25,1210830.7200000002
2025-09-26,1214422.2200000002
2025-09-29,1239672.2200000002
2025-09-30,1264575.2200000002
2025-10-09,1277801.1400000004
2025-10-10,1309825.5900000003
2025-10-13,1302039.5900000003
2025-10-14,1297188.3100000003
2025-10-15,1307402.3100000003
2025-10-16,1296472.3100000003
2025-10-17,1287692.4900000005
2025-10-20,1305148.4900000005
2025-10-21,1323881.4900000005
2025-10-22,1330324.6400000004
2025-10-23,1331004.6400000004
2025-10-24,1340429.6400000004
2025-10-27,1349955.6100000003
2025-10-28,1373642.6100000003
2025-10-29,1351773.3400000003
2025-10-30,1353731.2000000002
2025-10-31,1367412.2000000002
2025-11-03,1375284.2000000002
2025-11-04,1375909.8600000003
2025-11-05,1394669.8600000003
2025-11-06,1398158.8600000003
2025-11-07,1405247.5700000003
2025-11-10,1417325.5700000003
2025-11-11,1424792.5700000003
2025-11-12,1427393.0600000003
2025-11-13,1439301.0600000003
2025-11-14,1444211.0600000003
2025-11-17,1461129.3600000003
2025-11-18,1446982.3600000003
2025-11-19,1421172.3600000003
2025-11-20,1408124.9800000002
2025-11-21,1354989.9800000002
2025-11-24,1380345.9800000002
2025-11-25,1397117.6400000001
2025-11-26,1382097.6400000001
2025-11-27,1393436.6400000001
2025-11-28,1413442.9800000002
2025-12-01,1418092.9800000002
2025-12-02,1414016.9800000002
2025-12-03,1398464.5100000002
2025-12-04,1377942.5100000002
2025-12-05,1397298.5100000002
2025-12-08,1408651.1800000002
2025-12-09,1395147.1800000002
2025-12-10,1380185.1800000002
2025-12-11,1356041.9800000002
2025-12-12,1343088.9800000002
2025-12-15,1354448.9800000002
2025-12-16,1339761.35
2025-12-17,1342830.9000000001
2025-12-18,1362766.9000000001
2025-12-19,1384353.0100000002
2025-12-22,1378569.0100000002
2025-12-23,1377763.0100000002
2025-12-24,1390468.3900000001
2025-12-25,1393742.3900000001
2025-12-26,1385536.3900000001
2025-12-29,1396938.5700000003
2025-12-30,1388624.5700000003
2025-12-31,1390152.5700000003
