date,value
2024-01-02,998188.3
2024-01-03,998208.1
2024-01-04,998277.4
2024-01-05,998455.6000000001
2024-01-08,998455.6000000001
2024-01-09,998495.2
2024-01-10,998574.4
2024-01-11,998554.6
2024-01-12,998772.4
2024-01-15,998861.5
2024-01-16,998851.6
2024-01-17,998891.2000000001
2024-01-18,998980.3
2024-01-19,999148.6
2024-01-22,999307.0000000001
2024-01-23,999227.7999999999
2024-01-24,999227.7999999999
2024-01-25,999118.9
2024-01-26,999396.1000000001
2024-01-29,999475.3
2024-01-30,999604.0000000001
2024-01-31,999663.4
2024-02-01,995851.3
2024-02-02,984587.3
2024-02-05,959260.3
2024-02-06,950433.3
2024-02-07,936446.3
2024-02-08,947132.3
2024-02-19,956752.3
2024-02-20,963822.3
2024-02-21,976678.3
2024-02-22,984419.13
2024-02-23,993187.13
2024-02-26,997562.13
2024-02-27,1005617.13
2024-02-28,985279.13
2024-02-29,991699.13
2024-03-01,991604.13
2024-03-04,995493.13
2024-03-05,988369.13
2024-03-06,1003233.9600000001
2024-03-07,1001567.9600000001
2024-03-08,1003408.9600000001
2024-03-11,1019640.9400000002
2024-03-12,1035976.9400000002
2024-03-13,1037519.9400000002
2024-03-14,1042482.8900000001
2024-03-15,1071579.8900000001
2024-03-18,1092384.8900000001
2024-03-19,1091770.2400000002
2024-03-20,1109544.2400000002
2024-03-21,1110832.2400000002
2024-03-22,1097254.2500000002
2024-03-25,1086334.2500000002
2024-03-26,1093463.25
2024-03-27,1081393.2500000002
2024-03-28,1109521.25
2024-03-29,1111198.2500000002
2024-04-01,1105889.0099999998
2024-04-02,1102155.4099999997
2024-04-03,1097865.4099999997
2024-04-08,1094646.6099999999
2024-04-09,1094844.21
2024-04-10,1093050.21
2024-04-11,1092686.21
2024-04-12,1093554.6099999999
2024-04-15,1089654.6099999999
2024-04-16,1086227.8099999998
2024-04-17,1087299.0099999998
2024-04-18,1087538.21
2024-04-19,1086493.0099999998
2024-04-22,1084974.6099999999
2024-04-23,1088079.0099999998
2024-04-24,1087611.0099999998
2024-04-25,1088006.21
2024-04-26,1091360.21
2024-04-29,1091620.2099999997
2024-04-30,1090637.4099999997
2024-05-06,1089072.2099999997
2024-05-07,1089852.2099999997
2024-05-08,1088370.2099999997
2024-05-09,1088604.2099999997
2024-05-10,1087746.2099999997
2024-05-13,1086420.2099999997
2024-05-14,1089774.2099999997
2024-05-15,1093440.2099999997
2024-05-16,1097496.2099999997
2024-05-17,1101942.2099999997
2024-05-20,1106856.2099999997
2024-05-21,1101474.2099999997
2024-05-22,1097873.6899999997
2024-05-23,1089920.6899999997
2024-05-24,1088444.6899999997
2024-05-27,1092731.6899999997
2024-05-28,1082981.6899999997
2024-05-29,1093886.6899999997
2024-05-30,1074577.6899999997
2024-05-31,1077632.6899999997
2024-06-03,1047218.6899999997
2024-06-04,1021745.1899999997
2024-06-05,1018839.1899999997
2024-06-06,968333.1899999997
2024-06-07,1015254.7299999997
2024-06-11,1006858.7299999997
2024-06-12,1040080.7299999997
2024-06-13,1029633.7299999997
2024-06-14,1027236.7299999997
2024-06-17,1014202.7299999997
2024-06-18,1035151.7299999997
2024-06-19,1036014.7299999997
2024-06-20,1007232.7299999997
2024-06-21,995398.7299999997
2024-06-24,963059.7299999997
2024-06-25,979626.7299999997
2024-06-26,1008312.7299999997
2024-06-27,1000049.7299999997
2024-06-28,1004298.7299999997
2024-07-01,1014731.7299999997
2024-07-02,1041530.7299999997
2024-07-03,1048262.4199999997
2024-07-04,1015051.2199999997
2024-07-05,1032043.2199999997
2024-07-08,1004669.2199999997
2024-07-09,1003186.2599999998
2024-07-10,978103.2599999998
2024-07-11,1010120.2599999998
2024-07-12,1006379.0299999998
2024-07-15,997057.0299999998
2024-07-16,994111.0299999998
2024-07-17,982391.0499999996
2024-07-18,977202.0499999997
2024-07-19,986984.0499999996
2024-07-22,1003047.2999999996
2024-07-23,1005565.2999999996
2024-07-24,1002744.2999999996
2024-07-25,1012040.2999999996
2024-07-26,1019644.2999999996
2024-07-29,1025390.2999999996
2024-07-30,1031824.2999999996
2024-07-31,1049603.2999999996
2024-08-01,1053421.2999999996
2024-08-02,1050380.2999999996
2024-08-05,1030398.2999999996
2024-08-06,1058005.2999999996
2024-08-07,1056939.2999999996
2024-08-08,1061182.2999999996
2024-08-09,1055665.2999999996
2024-08-12,1041997.2999999996
2024-08-13,1061154.2999999996
2024-08-14,1064602.2999999996
2024-08-15,1064238.3099999996
2024-08-16,1053432.3099999996
2024-08-19,1058482.3099999996
2024-08-20,1049916.9199999997
2024-08-21,1051165.9199999997
2024-08-22,1049978.9199999997
2024-08-23,1024846.0099999998
2024-08-26,1043671.0099999998
2024-08-27,1035729.0099999998
2024-08-28,1042655.9699999997
2024-08-29,1049588.9699999997
2024-08-30,1066027.9699999997
2024-09-02,1057637.1199999996
2024-09-03,1060565.1199999996
2024-09-04,1051689.1199999996
2024-09-05,1066599.1199999996
2024-09-06,1052157.1199999996
2024-09-09,1057819.1199999996
2024-09-10,1075431.1199999996
2024-09-11,1072696.1199999996
2024-09-12,1072721.1199999996
2024-09-13,1072063.1199999996
2024-09-18,1058583.1199999996
2024-09-19,1088743.1199999996
2024-09-20,1082493.1199999996
2024-09-23,1087759.1199999996
2024-09-24,1108800.1199999996
2024-09-25,1119552.1199999996
2024-09-26,1140248.1199999996
2024-09-27,1170283.1199999996
2024-09-30,1236781.4199999997
2024-10-08,1286470.4199999997
2024-10-09,1201011.42
2024-10-10,1220717.3499999996
2024-10-11,1190571.3499999996
2024-10-14,1229135.3499999996
2024-10-15,1225521.1799999997
2024-10-16,1230048.7199999997
2024-10-17,1214138.7199999997
2024-10-18,1232220.1399999997
2024-10-21,1252911.7599999998
2024-10-22,1287415.7599999998
2024-10-23,1304957.0399999998
2024-10-24,1325249.0399999998
2024-10-25,1378005.0399999998
2024-10-28,1434895.4599999997
2024-10-29,1426396.4599999997
2024-10-30,1440636.4599999997
2024-10-31,1447007.4599999997
2024-11-01,1402856.4599999997
2024-11-04,1398635.4099999997
2024-11-05,1447271.4099999997
2024-11-06,1490627.4099999997
2024-11-07,1526653.4099999997
2024-11-08,1528629.9799999997
2024-11-11,1569187.9799999997
2024-11-12,1576280.9799999997
2024-11-13,1607082.9799999997
2024-11-14,1605697.9799999997
2024-11-15,1606080.9799999997
2024-11-18,1578016.0399999998
2024-11-19,1610745.3099999996
2024-11-20,1667609.3099999996
2024-11-21,1695155.5799999996
2024-11-22,1636849.5799999996
2024-11-25,1665810.5799999996
2024-11-26,1642606.2799999996
2024-11-27,1645062.8599999996
2024-11-28,1672022.8599999996
2024-11-29,1699829.6699999997
2024-12-02,1737484.7099999995
2024-12-03,1747530.7099999995
2024-12-04,1741456.0899999996
2024-12-05,1761174.3799999997
2024-12-06,1782404.3799999997
2024-12-09,1796902.3799999997
2024-12-10,1791792.5899999996
2024-12-11,1795526.5899999996
2024-12-12,1847839.5899999996
2024-12-13,1823052.5899999996
2024-12-16,1824522.5899999996
2024-12-17,1727055.5899999996
2024-12-18,1717028.5899999996
2024-12-19,1706290.5899999996
2024-12-20,1732474.5899999996
2024-12-23,1631084.5899999996
2024-12-24,1617316.5899999996
2024-12-25,1584791.5899999996
2024-12-26,1607228.5899999996
2024-12-27,1632494.5899999996
