date,value
2025-01-02,997921.0
2025-01-03,998000.2
2025-01-06,998020.0
2025-01-07,998099.2
2025-01-08,998425.9
2025-01-09,998307.1
2025-01-10,998396.2
2025-01-13,998237.7999999999
2025-01-14,998158.6
2025-01-15,998346.7000000001
2025-01-16,998257.6
2025-01-17,998336.7999999999
2025-01-20,998277.4
2025-01-21,998406.1
2025-01-22,998495.2000000001
2025-01-23,998435.8
2025-01-24,998455.6
2025-01-27,999099.1
2025-02-05,1004819.9
2025-02-06,1009665.9
2025-02-07,1014371.9
2025-02-10,1030514.9600000001
2025-02-11,1030786.9600000001
2025-02-12,1027921.81
2025-02-13,1019794.79
2025-02-14,1019329.79
2025-02-17,1056892.79
2025-02-18,1055076.6300000001
2025-02-19,1071921.6300000001
2025-02-20,1069723.6300000001
2025-02-21,1063617.61
2025-02-24,1067975.61
2025-02-25,1069629.61
2025-02-26,1077540.06
2025-02-27,1075482.06
2025-02-28,1064748.06
2025-03-03,1063018.75
2025-03-04,1067496.75
2025-03-05,1057123.75
2025-03-06,1065879.9900000002
2025-03-07,1056834.99
2025-03-10,1082501.99
2025-03-11,1084708.6300000001
2025-03-12,1089576.6300000001
2025-03-13,1078939.6300000001
2025-03-14,1094214.04
2025-03-17,1106729.04
2025-03-18,1113024.04
2025-03-19,1120739.12
2025-03-20,1123571.1
2025-03-21,1125307.1
2025-03-24,1085259.12
2025-03-25,1070540.12
2025-03-26,1081877.12
2025-03-27,1068978.8900000001
2025-03-28,1041906.8900000001
2025-03-31,1020065.8900000001
2025-04-01,1018771.84
2025-04-02,1018847.84
2025-04-03,1018895.34
2025-04-07,1018809.84
2025-04-08,1024667.84
2025-04-09,1031028.34
2025-04-10,1033416.84
2025-04-11,1026875.3400000001
2025-04-14,1026882.84
2025-04-15,1029623.34
2025-04-16,1026897.8399999999
2025-04-17,1024794.84
2025-04-18,1025510.3399999999
2025-04-21,1024891.8399999999
2025-04-22,1025175.34
2025-04-23,1023759.34
2025-04-24,1024002.8399999999
2025-04-25,1024295.8399999999
2025-04-28,1024276.84
2025-04-29,1025829.8399999999
2025-04-30,1028486.34
2025-05-06,1032650.63
2025-05-07,1034341.63
2025-05-08,1038204.63
2025-05-09,1033953.77
2025-05-12,1038103.77
2025-05-13,1035496.77
2025-05-14,1032929.77
2025-05-15,1035241.77
2025-05-16,1036566.77
2025-05-19,1048336.77
2025-05-20,1061525.77
2025-05-21,1052818.77
2025-05-22,1042638.25
2025-05-23,1032818.25
2025-05-26,1042447.25
2025-05-27,1050500.38
2025-05-28,1047147.38
2025-05-29,1065610.38
2025-05-30,1056681.53
2025-06-03,1064270.53
2025-06-04,1074229.53
2025-06-05,1072571.4300000002
2025-06-06,1081274.4300000002
2025-06-09,1092179.4300000002
2025-06-10,1085923.73
2025-06-11,1085696.73
2025-06-12,1087513.73
2025-06-13,1067427.4
2025-06-16,1076935.4
2025-06-17,1073338.4
2025-06-18,1069650.22
2025-06-19,1046688.22
2025-06-20,1042739.22
2025-06-23,1060301.02
2025-06-24,1086600.02
2025-06-25,1092781.02
2025-06-26,1097219.89
2025-06-27,1106201.89
2025-06-30,1118680.89
2025-07-01,1130776.3299999998
2025-07-02,1123230.3299999998
2025-07-03,1131306.3299999998
2025-07-04,1120092.5799999998
2025-07-07,1129408.5799999998
2025-07-08,1131884.5799999998
2025-07-09,1131085.74
2025-07-10,1132343.74
2025-07-11,1127132.74
2025-07-14,1135349.96
2025-07-15,1120549.96
2025-07-16,1129961.96
2025-07-17,1131220.16
2025-07-18,1132505.16
2025-07-21,1157042.16
2025-07-22,1160220.66
2025-07-23,1152780.66
2025-07-24,1159940.66
2025-07-25,1169322.66
2025-07-28,1172668.66
2025-07-29,1177144.66
2025-07-30,1180537.28
2025-07-31,1168318.28
2025-08-01,1175789.28
2025-08-04,1186272.94
2025-08-05,1197619.94
2025-08-06,1203222.94
2025-08-07,1198452.37
2025-08-08,1204410.37
2025-08-11,1218456.37
2025-08-12,1215641.26
2025-08-13,1206966.26
2025-08-14,1184698.26
2025-08-15,1182011.31
2025-08-18,1193902.31
2025-08-19,1216837.31
2025-08-20,1219706.04
2025-08-21,1228172.04
2025-08-22,1219420.04
2025-08-25,1217086.19
2025-08-26,1230731.19
2025-08-27,1198286.19
2025-08-28,1189266.2
2025-08-29,1180866.2
2025-09-01,1195327.2
2025-09-02,1192848.9
2025-09-03,1165838.9
2025-09-04,1178632.9
2025-09-05,1192552.38
2025-09-08,1208573.38
2025-09-09,1206179.38
2025-09-10,1213527.1099999999
2025-09-11,1215101.1099999999
2025-09-12,1204643.1099999999
2025-09-15,1210983.5799999998
2025-09-16,1234499.5799999998
2025-09-17,1227876.5799999998
2025-09-18,1206287.3399999999
2025-09-19,1198336.3399999999
2025-09-22,1189758.3399999999
2025-09-23,1175752.5999999999
2025-09-24,1194780.5999999999
2025-09-25,1184441.5999999999
2025-09-26,1187932.5999999999
2025-09-29,1212519.5999999999
2025-09-30,1236706.5999999999
2025-10-09,1249422.02
2025-10-10,1277591.02
2025-10-13,1256179.02
2025-10-14,1251399.8099999998
2025-10-15,1261215.8099999998
2025-10-16,1250687.8099999998
2025-10-17,1242111.43
2025-10-20,1258801.43
2025-10-21,1276750.43
2025-10-22,1282811.4899999998
2025-10-23,1283448.4899999998
2025-10-24,1292534.4899999998
2025-10-27,1301634.48
2025-10-28,1324514.48
2025-10-29,1303031.0099999998
2025-10-30,1304893.5999999999
2025-10-31,1318113.5999999999
2025-11-03,1325643.5999999999
2025-11-04,1326053.38
2025-11-05,1343709.38
2025-11-06,1347266.38
2025-11-07,1353700.3299999998
2025-11-10,1364961.3299999998
2025-11-11,1372165.3299999998
2025-11-12,1374330.3199999998
2025-11-13,1385720.3199999998
2025-11-14,1390310.3199999998
2025-11-17,1405611.2699999998
2025-11-18,1392321.2699999998
2025-11-19,1367790.2699999998
2025-11-20,1355051.4999999998
2025-11-21,1304446.4999999998
2025-11-24,1328638.4999999998
2025-11-25,1344514.5699999998
2025-11-26,1330002.5699999998
2025-11-27,1340985.5699999998
2025-11-28,1360095.3599999999
2025-12-01,1364579.3599999999
2025-12-02,1360619.3599999999
2025-12-03,1345426.42
2025-12-04,1325695.42
2025-12-05,1344335.42
2025-12-08,1355110.14
2025-12-09,1342150.14
2025-12-10,1327765.14
2025-12-11,1304424.4999999998
2025-12-12,1292026.4999999998
2025-12-15,1302943.4999999998
2025-12-16,1288689.2699999998
2025-12-17,1291886.2699999998
2025-12-18,1309779.2699999998
2025-12-19,1329850.7599999998
2025-12-22,1324280.7599999998
2025-12-23,1323473.7599999998
2025-12-24,1335480.4599999997
2025-12-25,1338639.4599999997
2025-12-26,1330750.4599999997
2025-12-29,1341665.4499999997
2025-12-30,1333652.4499999997
2025-12-31,1335129.4499999997
