date,value
2024-01-02,998188.3
2024-01-03,998208.1
2024-01-04,998277.4
2024-01-05,998455.6000000001
2024-01-08,998455.6000000001
2024-01-09,998495.2
2024-01-10,998574.4
2024-01-11,998554.6
2024-01-12,998772.4
2024-01-15,998861.5
2024-01-16,998851.6
2024-01-17,998891.2000000001
2024-01-18,998980.3
2024-01-19,999148.6
2024-01-22,999307.0000000001
2024-01-23,999227.7999999999
2024-01-24,999227.7999999999
2024-01-25,999118.9
2024-01-26,999396.1000000001
2024-01-29,999475.3
2024-01-30,999604.0000000001
2024-01-31,999663.4
2024-02-01,995851.3
2024-02-02,984587.3
2024-02-05,959260.3
2024-02-06,954551.54
2024-02-07,925640.54
2024-02-08,949665.54
2024-02-19,978544.88
2024-02-20,999422.88
2024-02-21,1033449.88
2024-02-22,1059865.12
2024-02-23,1092358.12
2024-02-26,1107317.12
2024-02-27,1129736.3900000001
2024-02-28,1059603.3900000001
2024-02-29,1082007.3900000001
2024-03-01,1085511.4
2024-03-04,1084398.4
2024-03-05,1060948.4
2024-03-06,1082966.11
2024-03-07,1078610.11
2024-03-08,1082066.11
2024-03-11,1099014.3400000003
2024-03-12,1111501.3400000003
2024-03-13,1115297.3400000003
2024-03-14,1120507.6000000003
2024-03-15,1143467.6000000003
2024-03-18,1157771.6000000003
2024-03-19,1156131.5100000002
2024-03-20,1168636.5100000002
2024-03-21,1169790.5100000002
2024-03-22,1160220.9900000002
2024-03-25,1152109.9900000005
2024-03-26,1157390.9900000002
2024-03-27,1146911.9700000002
2024-03-28,1168394.9700000002
2024-03-29,1170752.9700000002
2024-04-01,1166796.1300000001
2024-04-02,1164075.33
2024-04-03,1160930.33
2024-04-08,1158538.93
2024-04-09,1158651.73
2024-04-10,1157294.73
2024-04-11,1156952.7300000002
2024-04-12,1157662.93
2024-04-15,1154712.93
2024-04-16,1152147.53
2024-04-17,1152951.1300000001
2024-04-18,1153158.7300000002
2024-04-19,1152408.1300000001
2024-04-22,1151272.93
2024-04-23,1153641.1300000001
2024-04-24,1153287.1300000001
2024-04-25,1153612.7300000002
2024-04-26,1156149.7300000002
2024-04-29,1156379.73
2024-04-30,1155746.33
2024-05-06,1159446.18
2024-05-07,1162146.18
2024-05-08,1157410.18
2024-05-09,1164814.18
2024-05-10,1158615.18
2024-05-13,1145517.18
2024-05-14,1165206.18
2024-05-15,1173264.18
2024-05-16,1179204.18
2024-05-17,1186173.43
2024-05-20,1178879.43
2024-05-21,1171172.43
2024-05-22,1171244.93
2024-05-23,1147222.93
2024-05-24,1143772.93
2024-05-27,1152885.25
2024-05-28,1139607.25
2024-05-29,1152096.25
2024-05-30,1126680.02
2024-05-31,1130237.02
2024-06-03,1093882.02
2024-06-04,1072257.48
2024-06-05,1069715.48
2024-06-06,1030313.48
2024-06-07,1065450.77
2024-06-11,1059178.77
2024-06-12,1083861.77
2024-06-13,1076013.5899999999
2024-06-14,1072826.5899999999
2024-06-17,1062223.5899999999
2024-06-18,1079698.4699999997
2024-06-19,1081751.4699999997
2024-06-20,1063300.4699999997
2024-06-21,1057674.5099999998
2024-06-24,1033685.5099999998
2024-06-25,1044341.5099999998
2024-06-26,1061516.7499999998
2024-06-27,1057002.7499999998
2024-06-28,1059744.7499999998
2024-07-01,1063777.1999999997
2024-07-02,1087510.1999999997
2024-07-03,1091419.8899999997
2024-07-04,1070795.9299999997
2024-07-05,1074420.9299999997
2024-07-08,1058594.9299999997
2024-07-09,1057837.5399999998
2024-07-10,1037793.5399999998
2024-07-11,1062278.5399999998
2024-07-12,1060415.19
2024-07-15,1053434.19
2024-07-16,1051477.19
2024-07-17,1039208.3399999999
2024-07-18,1033704.3399999999
2024-07-19,1043974.3399999999
2024-07-22,1061093.8199999998
2024-07-23,1063782.8199999998
2024-07-24,1060809.8199999998
2024-07-25,1070215.3699999996
2024-07-26,1079115.3699999999
2024-07-29,1085650.3699999999
2024-07-30,1093374.5099999998
2024-07-31,1112943.5099999998
2024-08-01,1117381.5099999998
2024-08-02,1112021.67
2024-08-05,1101290.67
2024-08-06,1132445.0999999999
2024-08-07,1128480.3399999999
2024-08-08,1130852.3399999999
2024-08-09,1122207.3399999999
2024-08-12,1109085.19
2024-08-13,1128427.19
2024-08-14,1134635.19
2024-08-15,1133974.2999999998
2024-08-16,1122070.2999999998
2024-08-19,1127403.2999999998
2024-08-20,1113609.5599999998
2024-08-21,1114675.5599999998
2024-08-22,1107027.5599999998
2024-08-23,1084676.4299999997
2024-08-26,1105762.4299999997
2024-08-27,1097763.4299999997
2024-08-28,1104480.15
2024-08-29,1111597.15
2024-08-30,1129399.15
2024-09-02,1120903.44
2024-09-03,1123978.44
2024-09-04,1114595.44
2024-09-05,1130581.4699999997
2024-09-06,1114512.4699999997
2024-09-09,1122073.4699999997
2024-09-10,1141279.7399999998
2024-09-11,1138517.7399999998
2024-09-12,1138360.7399999998
2024-09-13,1131982.73
2024-09-18,1118972.73
2024-09-19,1151918.73
2024-09-20,1151450.5999999999
2024-09-23,1161747.5999999999
2024-09-24,1186260.5999999999
2024-09-25,1197675.74
2024-09-26,1222329.74
2024-09-27,1253269.74
2024-09-30,1322524.8299999998
2024-10-08,1376835.8299999998
2024-10-09,1287152.8299999998
2024-10-10,1297521.0299999998
2024-10-11,1276991.0299999998
2024-10-14,1307293.0299999998
2024-10-15,1299974.0299999998
2024-10-16,1306121.5699999998
2024-10-17,1289248.5699999998
2024-10-18,1309177.92
2024-10-21,1330309.54
2024-10-22,1365406.54
2024-10-23,1382264.53
2024-10-24,1403831.53
2024-10-25,1459808.53
2024-10-28,1524727.21
2024-10-29,1515058.21
2024-10-30,1532655.21
2024-10-31,1544183.02
2024-11-01,1493051.02
2024-11-04,1494152.97
2024-11-05,1534804.54
2024-11-06,1566658.54
2024-11-07,1608340.54
2024-11-08,1605737.64
2024-11-11,1643206.64
2024-11-12,1649970.64
2024-11-13,1663685.08
2024-11-14,1634111.08
2024-11-15,1622794.08
2024-11-18,1598855.0199999998
2024-11-19,1633054.29
2024-11-20,1684103.29
2024-11-21,1704653.7
2024-11-22,1648593.7
2024-11-25,1676032.7
2024-11-26,1660769.48
2024-11-27,1667345.48
2024-11-28,1682088.48
2024-11-29,1699254.22
2024-12-02,1724306.22
2024-12-03,1731269.22
2024-12-04,1726509.8900000001
2024-12-05,1740487.8900000001
2024-12-06,1755520.8900000001
2024-12-09,1764119.92
2024-12-10,1761652.13
2024-12-11,1770397.13
2024-12-12,1820461.28
2024-12-13,1798536.28
2024-12-16,1799172.28
2024-12-17,1717915.93
2024-12-18,1720734.93
2024-12-19,1712149.93
2024-12-20,1741457.0499999998
2024-12-23,1646896.0499999998
2024-12-24,1631633.0499999998
2024-12-25,1598690.58
2024-12-26,1626637.58
2024-12-27,1658468.58
2024-12-30,1625028.0499999998
2024-12-31,1599924.0499999998
