date,value
2026-01-05,997921.0000000001
2026-01-06,997851.7000000001
2026-01-07,998010.1
2026-01-08,998049.7
2026-01-09,998109.1
2026-01-12,998089.3
2026-01-13,998208.1
2026-01-14,998247.7
2026-01-15,998435.8
2026-01-16,998643.7
2026-01-19,998584.3
2026-01-20,998554.6
2026-01-21,998435.8
2026-01-22,998505.1000000001
2026-01-23,998564.5
2026-01-26,998633.7999999999
2026-01-27,998683.3
2026-01-28,998663.5
2026-01-29,998653.6000000001
2026-01-30,998732.8
2026-02-02,995580.0
2026-02-03,998767.0
2026-02-04,1000327.0
2026-02-05,998658.0
2026-02-06,1000746.0
2026-02-09,1007119.0
2026-02-10,1006030.0
2026-02-11,1005026.0
2026-02-12,995937.0
2026-02-13,998268.0
2026-02-24,1012348.0
2026-02-25,1011083.0
2026-02-26,1006530.77
2026-02-27,1004221.77
2026-03-02,978447.77
2026-03-03,960237.62
2026-03-04,955222.62
2026-03-05,964654.62
2026-03-06,986841.19
2026-03-09,982867.1900000001
2026-03-10,1000671.19
2026-03-11,995656.2
2026-03-12,985044.2
2026-03-13,984795.2
2026-03-16,982634.2000000001
2026-03-17,970788.2
2026-03-18,980539.2
2026-03-19,961614.2
2026-03-20,935650.2
2026-03-23,900608.2
2026-03-24,938252.2000000001
2026-03-25,953111.2
2026-03-26,940679.2
2026-03-27,954705.0900000001
2026-03-30,963833.0900000001
2026-03-31,953316.0900000001
2026-04-01,963707.42
2026-04-02,963851.42
2026-04-03,964235.4200000002
2026-04-07,964091.4200000002
2026-04-08,963832.2200000001
2026-04-09,963947.4200000002
2026-04-10,964014.62
2026-04-13,964072.2200000001
2026-04-14,964139.42
2026-04-15,964149.0200000001
2026-04-16,964081.8200000001
2026-04-17,964197.0200000001
2026-04-20,964206.6200000001
2026-04-21,964235.4200000002
2026-04-22,964254.6200000001
2026-04-23,964273.8200000001
2026-04-24,964379.4200000002
2026-04-27,964369.8200000001
2026-04-28,964465.8200000002
2026-04-29,964590.62
2026-04-30,964619.42
2026-05-06,963381.62
2026-05-07,963988.62
2026-05-08,966307.62
2026-05-11,968222.62
2026-05-12,964397.62
2026-05-13,963842.62
2026-05-14,970414.62
2026-05-15,962213.62
2026-05-18,968694.62
2026-05-19,968241.6699999999
2026-05-20,958839.6699999999
2026-05-21,934565.6699999999
2026-05-22,956289.6699999999
2026-05-25,944647.6699999999
2026-05-26,931978.6699999999
2026-05-27,916539.61
2026-05-28,915928.61
2026-05-29,897867.61
2026-06-01,914424.55
2026-06-02,891731.5499999999
2026-06-03,882957.55
2026-06-04,867110.87
2026-06-05,877778.87
2026-06-08,856311.87
2026-06-09,864417.26
2026-06-10,852662.26
2026-06-11,845821.26
2026-06-12,848713.99
2026-06-15,839896.99
2026-06-16,842891.99
2026-06-17,827624.99
2026-06-18,825213.99
2026-06-22,834134.99
2026-06-23,849783.99
2026-06-24,816932.99
2026-06-25,816932.99
2026-06-26,816932.99
