time,code,amount,price,commission,tax,trade_id,order_id
2026-01-05 09:30,511880.XSHG,9900,100.265,0.0,0.0,t_1,1
2026-02-02 09:30,511880.XSHG,-9900,99.935,0.0,0.0,t_2,2
2026-02-02 09:30,300929.XSHE,1600,11.91,5.0,0.0,t_3,3
2026-02-02 09:30,002883.XSHE,1900,10.34,5.0,0.0,t_4,4
2026-02-02 09:30,301098.XSHE,2000,9.61,5.0,0.0,t_5,5
2026-02-02 09:30,300417.XSHE,1400,13.36,5.0,0.0,t_6,6
2026-02-02 09:30,600455.XSHG,600,28.93,5.0,0.0,t_7,7
2026-02-02 09:30,300405.XSHE,2900,6.69,5.0,0.0,t_8,8
2026-02-02 09:30,300665.XSHE,2300,8.65,5.0,0.0,t_9,9
2026-02-02 09:30,301372.XSHE,700,27.71,5.0,0.0,t_10,10
2026-02-02 09:30,600561.XSHG,2800,6.91,5.0,0.0,t_11,11
2026-02-02 09:30,300635.XSHE,1300,14.37,5.0,0.0,t_12,12
2026-02-05 09:30,300929.XSHE,1600,12.13,5.0,0.0,t_13,13
2026-02-05 09:30,002883.XSHE,1800,10.74,5.0,0.0,t_14,14
2026-02-05 09:30,301098.XSHE,2100,9.54,5.0,0.0,t_15,15
2026-02-05 09:30,300417.XSHE,1400,13.9,5.0,0.0,t_16,16
2026-02-05 09:30,600455.XSHG,700,29.22,5.0,0.0,t_17,17
2026-02-05 09:30,300665.XSHE,2200,8.84,5.0,0.0,t_18,18
2026-02-05 09:30,301372.XSHE,700,28.46,5.0,0.0,t_19,19
2026-02-05 09:30,300635.XSHE,1500,14.11,5.0,0.0,t_20,20
2026-02-05 09:30,600543.XSHG,3700,5.37,5.0,0.0,t_21,21
2026-02-05 09:30,300649.XSHE,1300,15.15,5.0,0.0,t_22,22
2026-02-10 09:30,300929.XSHE,1600,12.53,5.0,0.0,t_23,23
2026-02-10 09:30,002883.XSHE,1600,11.19,5.0,0.0,t_24,24
2026-02-10 09:30,301098.XSHE,2000,9.83,5.0,0.0,t_25,25
2026-02-10 09:30,300417.XSHE,1300,14.4,5.0,0.0,t_26,26
2026-02-10 09:30,600455.XSHG,700,29.66,5.0,0.0,t_27,27
2026-02-10 09:30,300405.XSHE,2700,7.12,5.0,0.0,t_28,28
2026-02-10 09:30,300665.XSHE,2200,8.9,5.0,0.0,t_29,29
2026-02-10 09:30,301372.XSHE,700,28.57,5.0,0.0,t_30,30
2026-02-10 09:30,300635.XSHE,1400,14.25,5.0,0.0,t_31,31
2026-02-10 09:30,600543.XSHG,3500,5.56,5.0,0.0,t_32,32
2026-02-13 09:30,002883.XSHE,300,10.61,5.0,0.0,t_33,33
2026-02-13 09:30,300405.XSHE,100,6.99,5.0,0.0,t_34,34
2026-02-13 09:30,300665.XSHE,300,8.47,5.0,0.0,t_35,35
2026-02-13 09:30,600543.XSHG,4000,5.31,5.0,0.0,t_36,36
2026-02-13 09:30,603729.XSHG,900,20.04,5.0,0.0,t_37,37
2026-02-26 09:30,300405.XSHE,-300,7.44,5.0,2.23,t_38,38
2026-02-26 09:30,603729.XSHG,1200,18.89,5.0,0.0,t_39,39
2026-03-03 09:30,301098.XSHE,300,9.21,5.0,0.0,t_40,40
2026-03-03 09:30,300405.XSHE,-2600,7.22,5.0,18.77,t_41,41
2026-03-03 09:30,300665.XSHE,100,8.2,5.0,0.0,t_42,42
2026-03-03 09:30,600561.XSHG,-2800,6.92,5.0,19.38,t_43,43
2026-03-03 09:30,603729.XSHG,1100,17.96,5.0,0.0,t_44,44
2026-03-06 09:30,002883.XSHE,100,9.99,5.0,0.0,t_45,45
2026-03-06 09:30,300665.XSHE,100,7.93,5.0,0.0,t_46,46
2026-03-06 09:30,300635.XSHE,100,13.24,5.0,0.0,t_47,47
2026-03-06 09:30,600543.XSHG,100,5.11,5.0,0.0,t_48,48
2026-03-06 09:30,300649.XSHE,-1300,14.18,5.0,18.43,t_49,49
2026-03-06 09:30,603729.XSHG,100,17.47,5.0,0.0,t_50,50
2026-03-11 09:30,300929.XSHE,-100,12.9,5.0,1.29,t_51,51
2026-03-11 09:30,301098.XSHE,-100,9.58,5.0,0.96,t_52,52
2026-03-11 09:30,300405.XSHE,-2800,7.38,5.0,20.66,t_53,53
2026-03-11 09:30,600543.XSHG,-200,5.42,5.0,1.08,t_54,54
2026-03-16 09:30,600543.XSHG,100,5.26,5.0,0.0,t_55,55
2026-03-19 09:30,300417.XSHE,100,13.95,5.0,0.0,t_56,56
2026-03-19 09:30,300665.XSHE,200,7.93,5.0,0.0,t_57,57
2026-03-19 09:30,600543.XSHG,100,5.15,5.0,0.0,t_58,58
2026-03-24 09:30,300929.XSHE,100,11.47,5.0,0.0,t_59,59
2026-03-24 09:30,002883.XSHE,300,9.12,5.0,0.0,t_60,60
2026-03-24 09:30,301098.XSHE,400,8.21,5.0,0.0,t_61,61
2026-03-24 09:30,300417.XSHE,300,12.19,5.0,0.0,t_62,62
2026-03-24 09:30,600455.XSHG,100,25.48,5.0,0.0,t_63,63
2026-03-24 09:30,300665.XSHE,300,7.1,5.0,0.0,t_64,64
2026-03-24 09:30,300635.XSHE,100,12.46,5.0,0.0,t_65,65
2026-03-24 09:30,600543.XSHG,600,4.62,5.0,0.0,t_66,66
2026-03-24 09:30,300405.XSHE,3000,6.07,5.0,0.0,t_67,67
2026-03-27 09:30,300929.XSHE,-300,12.64,5.0,3.79,t_68,68
2026-03-27 09:30,301098.XSHE,100,8.22,5.0,0.0,t_69,69
2026-03-27 09:30,300417.XSHE,100,12.16,5.0,0.0,t_70,70
2026-03-27 09:30,300635.XSHE,-100,13.16,5.0,1.32,t_71,71
2026-03-27 09:30,300405.XSHE,2900,6.22,5.0,0.0,t_72,72
2026-04-01 09:30,300929.XSHE,-4500,13.26,5.97,59.67,t_73,73
2026-04-01 09:30,002883.XSHE,-6000,9.89,5.93,59.34,t_74,74
2026-04-01 09:30,301098.XSHE,-6800,8.73,5.94,59.36,t_75,75
2026-04-01 09:30,300417.XSHE,-4600,12.72,5.85,58.51,t_76,76
2026-04-01 09:30,600455.XSHG,-2100,27.3,5.73,57.33,t_77,77
2026-04-01 09:30,300665.XSHE,-7700,7.7,5.93,59.29,t_78,78
2026-04-01 09:30,301372.XSHE,-2100,26.62,5.59,55.9,t_79,79
2026-04-01 09:30,300635.XSHE,-4300,14.11,6.07,60.67,t_80,80
2026-04-01 09:30,600543.XSHG,-11900,4.98,5.93,59.26,t_81,81
2026-04-01 09:30,603729.XSHG,-3300,17.46,5.76,57.62,t_82,82
2026-04-01 09:30,300405.XSHE,-5900,6.58,5.0,38.82,t_83,83
2026-04-01 09:30,511880.XSHG,9600,100.509,0.0,0.0,t_84,84
2026-05-06 09:30,511880.XSHG,-9600,100.204,0.0,0.0,t_85,85
2026-05-06 09:30,301098.XSHE,1900,9.65,5.0,0.0,t_86,86
2026-05-06 09:30,600455.XSHG,600,28.56,5.0,0.0,t_87,87
2026-05-06 09:30,300665.XSHE,2200,8.62,5.0,0.0,t_88,88
2026-05-06 09:30,300929.XSHE,1300,14.32,5.0,0.0,t_89,89
2026-05-06 09:30,300417.XSHE,1300,14.29,5.0,0.0,t_90,90
2026-05-06 09:30,300405.XSHE,2700,7.07,5.0,0.0,t_91,91
2026-05-06 09:30,600561.XSHG,2700,7.08,5.0,0.0,t_92,92
2026-05-06 09:30,301167.XSHE,1000,17.84,5.0,0.0,t_93,93
2026-05-06 09:30,600697.XSHG,1500,12.67,5.0,0.0,t_94,94
2026-05-06 09:30,300500.XSHE,1600,11.93,5.0,0.0,t_95,95
2026-05-11 09:30,301098.XSHE,2000,9.81,5.0,0.0,t_96,96
2026-05-11 09:30,600455.XSHG,700,29.45,5.0,0.0,t_97,97
2026-05-11 09:30,300665.XSHE,2000,9.11,5.0,0.0,t_98,98
2026-05-11 09:30,300929.XSHE,1300,14.75,5.0,0.0,t_99,99
2026-05-11 09:30,300417.XSHE,1100,15.5,5.0,0.0,t_100,100
2026-05-11 09:30,300405.XSHE,2600,7.18,5.0,0.0,t_101,101
2026-05-11 09:30,600561.XSHG,2700,7.14,5.0,0.0,t_102,102
2026-05-11 09:30,301167.XSHE,1100,18.06,5.0,0.0,t_103,103
2026-05-11 09:30,600697.XSHG,1500,12.87,5.0,0.0,t_104,104
2026-05-11 09:30,600493.XSHG,2500,7.69,5.0,0.0,t_105,105
2026-05-14 09:30,301098.XSHE,1400,10.82,5.0,0.0,t_106,106
2026-05-14 09:30,600455.XSHG,600,29.1,5.0,0.0,t_107,107
2026-05-14 09:30,300665.XSHE,2000,9.27,5.0,0.0,t_108,108
2026-05-14 09:30,300929.XSHE,1400,14.17,5.0,0.0,t_109,109
2026-05-14 09:30,300417.XSHE,1400,15.27,5.0,0.0,t_110,110
2026-05-14 09:30,600561.XSHG,2800,7.04,5.0,0.0,t_111,111
2026-05-14 09:30,301167.XSHE,1100,17.77,5.0,0.0,t_112,112
2026-05-14 09:30,600697.XSHG,1600,12.46,5.0,0.0,t_113,113
2026-05-14 09:30,600493.XSHG,2700,7.38,5.0,0.0,t_114,114
2026-05-14 09:30,300535.XSHE,1000,18.57,5.0,0.0,t_115,115
2026-05-19 09:30,301098.XSHE,100,10.68,5.0,0.0,t_116,116
2026-05-19 09:30,300665.XSHE,-300,9.83,5.0,2.95,t_117,117
2026-05-19 09:30,300929.XSHE,100,14.03,5.0,0.0,t_118,118
2026-05-19 09:30,300405.XSHE,2600,7.29,5.0,0.0,t_119,119
2026-05-19 09:30,600561.XSHG,100,6.95,5.0,0.0,t_120,120
2026-05-19 09:30,301167.XSHE,100,17.56,5.0,0.0,t_121,121
2026-05-19 09:30,600493.XSHG,2600,7.41,5.0,0.0,t_122,122
2026-05-19 09:30,300535.XSHE,1000,18.6,5.0,0.0,t_123,123
2026-05-22 09:30,300665.XSHE,100,9.34,5.0,0.0,t_124,124
2026-05-22 09:30,300929.XSHE,100,13.28,5.0,0.0,t_125,125
2026-05-22 09:30,300405.XSHE,200,6.88,5.0,0.0,t_126,126
2026-05-22 09:30,600561.XSHG,200,6.62,5.0,0.0,t_127,127
2026-05-22 09:30,301167.XSHE,100,16.51,5.0,0.0,t_128,128
2026-05-22 09:30,600697.XSHG,100,11.89,5.0,0.0,t_129,129
2026-05-22 09:30,600493.XSHG,200,7.02,5.0,0.0,t_130,130
2026-05-22 09:30,300535.XSHE,1100,17.69,5.0,0.0,t_131,131
2026-05-22 09:30,603879.XSHG,3500,5.35,5.0,0.0,t_132,132
2026-05-27 09:30,300665.XSHE,-2000,9.82,5.0,19.64,t_133,133
