date,value
2024-01-02,998188.3
2024-01-03,998208.1
2024-01-04,998277.4
2024-01-05,998455.6000000001
2024-01-08,998455.6000000001
2024-01-09,998495.2
2024-01-10,998574.4
2024-01-11,998554.6
2024-01-12,998772.4
2024-01-15,998861.5
2024-01-16,998851.6
2024-01-17,998891.2000000001
2024-01-18,998980.3
2024-01-19,999148.6
2024-01-22,999307.0000000001
2024-01-23,999227.7999999999
2024-01-24,999227.7999999999
2024-01-25,999118.9
2024-01-26,999396.1000000001
2024-01-29,999475.3
2024-01-30,999604.0000000001
2024-01-31,999663.4
2024-02-01,995851.3
2024-02-02,984587.3
2024-02-05,959260.3
2024-02-06,957560.3
2024-02-07,917575.3
2024-02-08,951413.3
2024-02-19,992611.4000000001
2024-02-20,1022357.4000000001
2024-02-21,1070930.4000000001
2024-02-22,1108976.12
2024-02-23,1155905.12
2024-02-26,1177471.12
2024-02-27,1210420.9900000002
2024-02-28,1107610.9900000002
2024-02-29,1140345.9900000002
2024-03-01,1145534.17
2024-03-04,1143748.17
2024-03-05,1109063.17
2024-03-06,1142046.84
2024-03-07,1135547.84
2024-03-08,1140610.84
2024-03-11,1166076.79
2024-03-12,1184928.79
2024-03-13,1190558.79
2024-03-14,1198391.48
2024-03-15,1233080.48
2024-03-18,1254690.48
2024-03-19,1252128.31
2024-03-20,1271385.31
2024-03-21,1273152.31
2024-03-22,1258255.35
2024-03-25,1245633.35
2024-03-26,1253698.35
2024-03-27,1237117.37
2024-03-28,1270355.37
2024-03-29,1274319.37
2024-04-01,1269507.4100000004
2024-04-02,1265251.4100000004
2024-04-03,1260360.4100000004
2024-04-08,1256689.4100000004
2024-04-09,1256913.4100000004
2024-04-10,1254866.4100000004
2024-04-11,1254448.4100000004
2024-04-12,1255441.4100000004
2024-04-15,1250991.4100000004
2024-04-16,1247082.4100000004
2024-04-17,1248304.4100000004
2024-04-18,1248578.4100000004
2024-04-19,1247387.4100000004
2024-04-22,1245655.4100000004
2024-04-23,1249198.4100000004
2024-04-24,1248664.4100000004
2024-04-25,1249116.4100000004
2024-04-26,1252943.4100000004
2024-04-29,1253241.4100000004
2024-04-30,1252124.4100000004
2024-05-06,1258962.8500000003
2024-05-07,1263116.8500000003
2024-05-08,1255786.8500000003
2024-05-09,1267324.8500000003
2024-05-10,1257661.8500000003
2024-05-13,1237255.8500000003
2024-05-14,1267748.8500000003
2024-05-15,1280279.8500000003
2024-05-16,1289476.8500000003
2024-05-17,1300345.3900000004
2024-05-20,1288998.3900000004
2024-05-21,1277009.3900000004
2024-05-22,1277178.7800000003
2024-05-23,1239849.7800000003
2024-05-24,1234511.7800000003
2024-05-27,1248715.9900000002
2024-05-28,1228179.9900000002
2024-05-29,1247488.9900000002
2024-05-30,1217200.2600000002
2024-05-31,1221315.2600000002
2024-06-03,1181509.2600000002
2024-06-04,1151736.0100000002
2024-06-05,1147983.0100000002
2024-06-06,1087853.0100000002
2024-06-07,1141255.3200000003
2024-06-11,1131851.3200000003
2024-06-12,1169433.3200000003
2024-06-13,1157415.6800000002
2024-06-14,1152475.6800000002
2024-06-17,1136162.6800000002
2024-06-18,1162933.5100000002
2024-06-19,1166096.5100000002
2024-06-20,1137859.5100000002
2024-06-21,1129267.5000000002
2024-06-24,1092565.5000000002
2024-06-25,1108887.5000000002
2024-06-26,1134842.0700000003
2024-06-27,1128008.0700000003
2024-06-28,1132181.0700000003
2024-07-01,1138342.9800000004
2024-07-02,1174491.9800000004
2024-07-03,1180408.6700000004
2024-07-04,1148891.6100000003
2024-07-05,1154496.6100000003
2024-07-08,1130187.6100000003
2024-07-09,1129014.6100000003
2024-07-10,1098392.6100000003
2024-07-11,1135819.6100000003
2024-07-12,1132979.9800000004
2024-07-15,1122296.9800000004
2024-07-16,1119327.9800000004
2024-07-17,1106489.6600000004
2024-07-18,1100595.6600000004
2024-07-19,1111583.6600000004
2024-07-22,1129799.5200000005
2024-07-23,1132657.5200000005
2024-07-24,1129466.5200000005
2024-07-25,1139471.4100000004
2024-07-26,1148943.4100000004
2024-07-29,1155909.4100000004
2024-07-30,1164128.4600000004
2024-07-31,1184927.4600000004
2024-08-01,1189654.4600000004
2024-08-02,1183987.8100000005
2024-08-05,1172597.8100000005
2024-08-06,1205708.2400000005
2024-08-07,1201485.6000000003
2024-08-08,1203972.6000000003
2024-08-09,1194767.6000000003
2024-08-12,1180758.9700000004
2024-08-13,1201377.9700000004
2024-08-14,1208005.9700000004
2024-08-15,1207327.2800000003
2024-08-16,1194661.2800000003
2024-08-19,1200346.2800000003
2024-08-20,1185631.4400000004
2024-08-21,1186769.4400000004
2024-08-22,1178589.4400000004
2024-08-23,1154797.5200000005
2024-08-26,1177288.5200000005
2024-08-27,1168768.5200000005
2024-08-28,1175949.7600000002
2024-08-29,1183531.7600000002
2024-08-30,1202481.7600000002
2024-09-02,1193420.8800000004
2024-09-03,1196709.8800000004
2024-09-04,1186705.8800000004
2024-09-05,1203718.4100000001
2024-09-06,1186608.4100000001
2024-09-09,1194661.4100000001
2024-09-10,1215142.12
2024-09-11,1212183.12
2024-09-12,1212042.12
2024-09-13,1205254.7400000002
2024-09-18,1191424.7400000002
2024-09-19,1226460.7400000002
2024-09-20,1225950.2400000002
2024-09-23,1236940.2400000002
2024-09-24,1262992.2400000002
2024-09-25,1275139.7200000002
2024-09-26,1301390.7200000002
2024-09-27,1334363.7200000002
2024-09-30,1408053.3700000003
2024-10-08,1465787.3700000003
2024-10-09,1370435.3700000003
2024-10-10,1386871.6900000004
2024-10-11,1356002.6900000004
2024-10-14,1401774.6900000004
2024-10-15,1393348.7700000005
2024-10-16,1399754.3100000003
2024-10-17,1381330.3100000003
2024-10-18,1402582.7000000004
2024-10-21,1425256.3200000003
2024-10-22,1462865.3200000003
2024-10-23,1480930.9900000005
2024-10-24,1504010.9900000005
2024-10-25,1563970.9900000005
2024-10-28,1633518.6500000004
2024-10-29,1623211.6500000004
2024-10-30,1642029.6500000004
2024-10-31,1654457.9600000004
2024-11-01,1599752.9600000004
2024-11-04,1600978.9100000006
2024-11-05,1644620.2600000005
2024-11-06,1678843.2600000005
2024-11-07,1723611.2600000005
2024-11-08,1720923.4200000006
2024-11-11,1761047.4200000006
2024-11-12,1768410.4200000006
2024-11-13,1783074.2400000005
2024-11-14,1751420.2400000005
2024-11-15,1739365.2400000005
2024-11-18,1713676.2400000005
2024-11-19,1750445.5100000007
2024-11-20,1805292.5100000007
2024-11-21,1827408.6600000006
2024-11-22,1767186.6600000006
2024-11-25,1796545.6600000006
2024-11-26,1779841.2500000005
2024-11-27,1789933.2500000005
2024-11-28,1812448.2500000005
2024-11-29,1838632.7500000005
2024-12-02,1876970.7500000005
2024-12-03,1887614.7500000005
2024-12-04,1880330.4500000007
2024-12-05,1901714.7400000005
2024-12-06,1924650.7400000005
2024-12-09,1940948.0200000005
2024-12-10,1935380.2300000004
2024-12-11,1939937.2300000004
2024-12-12,1993696.1600000006
2024-12-13,1969676.1600000006
2024-12-16,1970305.1600000006
2024-12-17,1881644.9600000004
2024-12-18,1884725.9600000004
2024-12-19,1875251.9600000004
2024-12-20,1907822.9200000004
2024-12-23,1804256.9200000004
2024-12-24,1787427.9200000004
2024-12-25,1751426.9900000005
2024-12-26,1781571.9900000005
2024-12-27,1816197.9900000005
