date,value
2022-01-04,998039.8
2022-01-05,997990.3
2022-01-06,998138.8
2022-01-07,998336.8
2022-01-10,998406.1000000001
2022-01-11,998534.8
2022-01-12,998574.4
2022-01-13,998633.8
2022-01-14,998792.2
2022-01-17,998901.1000000001
2022-01-18,998970.3999999999
2022-01-19,998881.2999999999
2022-01-20,998831.8
2022-01-21,999099.1
2022-01-24,999109.0000000001
2022-01-25,999237.7
2022-01-26,999336.7000000001
2022-01-27,999534.7
2022-01-28,1000158.4
2022-02-07,997298.6
2022-02-08,1002951.6
2022-02-09,1002641.6
2022-02-10,1001096.6
2022-02-11,993558.6
2022-02-14,1005881.6
2022-02-15,1010691.6599999999
2022-02-16,1035367.6599999999
2022-02-17,1043114.6599999999
2022-02-18,1049990.54
2022-02-21,1064950.54
2022-02-22,1053716.54
2022-02-23,1061067.33
2022-02-24,1049342.33
2022-02-25,1067294.55
2022-02-28,1059807.9500000002
2022-03-01,1081213.4700000002
2022-03-02,1106406.4700000002
2022-03-03,1119562.23
2022-03-04,1097473.7200000002
2022-03-07,1079648.7200000002
2022-03-08,1053483.1600000001
2022-03-09,1039474.1600000001
2022-03-10,1053234.1600000001
2022-03-11,1060594.34
2022-03-14,1039914.3400000001
2022-03-15,1007259.3400000001
2022-03-16,1041939.1000000001
2022-03-17,1043911.1000000001
2022-03-18,1066019.1
2022-03-21,1078513.26
2022-03-22,1077553.26
2022-03-23,1073142.26
2022-03-24,1060046.1400000001
2022-03-25,1076188.1400000001
2022-03-28,1072558.1400000001
2022-03-29,1060531.91
2022-03-30,1059759.91
2022-03-31,1068891.91
2022-04-01,1061128.37
2022-04-06,1061285.87
2022-04-07,1061411.87
2022-04-08,1061558.87
2022-04-11,1061632.37
2022-04-12,1061579.87
2022-04-13,1061632.37
2022-04-14,1061705.87
2022-04-15,1061894.87
2022-04-18,1061884.37
2022-04-19,1061999.87
2022-04-20,1061989.37
2022-04-21,1062031.37
2022-04-22,1062094.37
2022-04-25,1062136.37
2022-04-26,1062241.37
2022-04-27,1062314.87
2022-04-28,1062566.87
2022-04-29,1062871.37
2022-05-05,1064887.87
2022-05-06,1061079.87
2022-05-09,1065524.87
2022-05-10,1074358.42
2022-05-11,1070655.42
2022-05-12,1075038.42
2022-05-13,1081329.69
2022-05-16,1088319.69
2022-05-17,1081911.69
2022-05-18,1102278.04
2022-05-19,1112700.04
2022-05-20,1114732.04
2022-05-23,1134424.51
2022-05-24,1106528.51
2022-05-25,1132949.51
2022-05-26,1133416.76
2022-05-27,1134743.76
2022-05-30,1135944.76
2022-05-31,1130436.46
2022-06-01,1143560.46
2022-06-02,1147224.46
2022-06-06,1167227.0
2022-06-07,1162661.0
2022-06-08,1153222.0
2022-06-09,1138554.3900000001
2022-06-10,1152588.3900000001
2022-06-13,1155729.3900000001
2022-06-14,1149780.5699999998
2022-06-15,1146349.5699999998
2022-06-16,1159467.5699999998
2022-06-17,1146560.8299999998
2022-06-20,1155085.8299999998
2022-06-21,1160633.8299999998
2022-06-22,1150695.67
2022-06-23,1160327.67
2022-06-24,1167032.67
2022-06-27,1170076.7399999998
2022-06-28,1191220.7399999998
2022-06-29,1175032.7399999998
2022-06-30,1176855.0599999998
2022-07-01,1172573.0599999998
2022-07-04,1174212.0599999998
2022-07-05,1168569.93
2022-07-06,1162652.93
2022-07-07,1163825.93
2022-07-08,1174749.68
2022-07-11,1169652.68
2022-07-12,1156675.68
2022-07-13,1174386.1199999999
2022-07-14,1172515.1199999999
2022-07-15,1144829.1199999999
2022-07-18,1180599.27
2022-07-19,1197636.27
2022-07-20,1204569.27
2022-07-21,1198097.98
2022-07-22,1216093.98
2022-07-25,1216350.98
2022-07-26,1226435.7
2022-07-27,1229808.7
2022-07-28,1228395.7
2022-07-29,1228957.68
2022-08-01,1234347.68
2022-08-02,1193624.68
2022-08-03,1202513.66
2022-08-04,1220787.66
2022-08-05,1221428.66
2022-08-08,1246359.69
2022-08-09,1258507.69
2022-08-10,1272517.69
2022-08-11,1283703.18
2022-08-12,1293976.18
2022-08-15,1293446.18
2022-08-16,1314619.3299999998
2022-08-17,1314458.3299999998
2022-08-18,1313240.3299999998
2022-08-19,1301905.6099999999
2022-08-22,1304577.6099999999
2022-08-23,1308169.6099999999
2022-08-24,1281335.79
2022-08-25,1280179.79
2022-08-26,1274244.7899999998
2022-08-29,1287581.79
2022-08-30,1298048.79
2022-08-31,1279965.79
2022-09-01,1286315.8199999998
2022-09-02,1298334.8199999998
2022-09-05,1309417.8199999998
2022-09-06,1307017.95
2022-09-07,1304913.95
2022-09-08,1296939.95
2022-09-09,1288554.0
2022-09-13,1305926.0
2022-09-14,1303751.0
2022-09-15,1289288.5699999998
2022-09-16,1252592.5699999998
2022-09-19,1240742.5699999998
2022-09-20,1255097.8399999999
2022-09-21,1267851.8399999999
2022-09-22,1263095.8399999999
2022-09-23,1240557.8
2022-09-26,1217988.8
2022-09-27,1247325.8
2022-09-28,1234607.54
2022-09-29,1229829.54
2022-09-30,1222425.54
2022-10-10,1206439.14
2022-10-11,1209169.14
2022-10-12,1228428.14
2022-10-13,1242194.1
2022-10-14,1254178.1
2022-10-17,1279264.1
2022-10-18,1281236.24
2022-10-19,1274849.24
2022-10-20,1273332.24
2022-10-21,1283287.51
2022-10-24,1262778.51
2022-10-25,1247304.51
2022-10-26,1270113.81
2022-10-27,1275943.81
2022-10-28,1237912.81
2022-10-31,1248075.43
2022-11-01,1269901.43
2022-11-02,1279104.43
2022-11-03,1279030.94
2022-11-04,1288192.94
2022-11-07,1301861.94
2022-11-08,1305638.71
2022-11-09,1305739.71
2022-11-10,1304854.71
2022-11-11,1318499.92
2022-11-14,1319626.92
2022-11-15,1321868.92
2022-11-16,1327223.42
2022-11-17,1332331.42
2022-11-18,1333866.42
2022-11-21,1328420.43
2022-11-22,1325407.43
2022-11-23,1309551.43
2022-11-24,1317580.5299999998
2022-11-25,1310723.5299999998
2022-11-28,1308986.5299999998
2022-11-29,1323534.89
2022-11-30,1320748.89
2022-12-01,1330206.5599999998
2022-12-02,1342009.13
2022-12-05,1348272.13
2022-12-06,1340959.13
2022-12-07,1340057.0499999998
2022-12-08,1338391.0499999998
2022-12-09,1357006.0499999998
2022-12-12,1341388.7199999997
2022-12-13,1339148.7199999997
2022-12-14,1341331.7199999997
2022-12-15,1341749.42
2022-12-16,1326780.42
2022-12-19,1306481.42
2022-12-20,1306398.4
2022-12-21,1307644.4
2022-12-22,1296460.4
2022-12-23,1314852.14
2022-12-26,1325532.14
2022-12-27,1332011.14
2022-12-28,1327363.2
2022-12-29,1334953.2
2022-12-30,1354338.2
