time,code,amount,price,commission,tax,trade_id,order_id
2024-01-02 09:30,511880.XSHG,9900,100.294,0.0,0.0,t_1,1
2024-02-01 09:30,511880.XSHG,-9900,100.061,0.0,0.0,t_2,2
2024-02-01 09:30,300117.XSHE,13100,1.52,5.0,0.0,t_3,3
2024-02-01 09:30,300013.XSHE,8700,2.27,5.0,0.0,t_4,4
2024-02-01 09:30,002633.XSHE,2400,8.04,5.0,0.0,t_5,5
2024-02-01 09:30,600768.XSHG,2100,9.13,5.0,0.0,t_6,6
2024-02-01 09:30,300417.XSHE,2100,9.11,5.0,0.0,t_7,7
2024-02-01 09:30,600455.XSHG,1000,19.54,5.0,0.0,t_8,8
2024-02-01 09:30,605081.XSHG,1800,11.07,5.0,0.0,t_9,9
2024-02-01 09:30,000668.XSHE,2200,8.92,5.0,0.0,t_10,10
2024-02-01 09:30,300321.XSHE,1300,14.59,5.0,0.0,t_11,11
2024-02-01 09:30,300929.XSHE,2000,9.81,5.0,0.0,t_12,12
2024-02-06 09:30,300117.XSHE,-13100,1.16,5.0,15.2,t_13,13
2024-02-06 09:30,300013.XSHE,-8700,2.0,5.0,17.4,t_14,14
2024-02-06 09:30,600768.XSHG,-2100,6.79,5.0,14.26,t_15,15
2024-02-06 09:30,300417.XSHE,-2100,6.13,5.0,12.87,t_16,16
2024-02-06 09:30,600455.XSHG,-1000,14.97,5.0,14.97,t_17,17
2024-02-06 09:30,605081.XSHG,-1800,8.79,5.0,15.82,t_18,18
2024-02-06 09:30,300321.XSHE,-1300,9.35,5.0,12.16,t_19,19
2024-02-06 09:30,300929.XSHE,-2000,7.0,5.0,14.0,t_20,20
2024-02-06 09:30,511880.XSHG,9100,100.491,0.0,0.0,t_21,21
2024-03-12 09:30,511880.XSHG,-9100,100.25,0.0,0.0,t_22,22
2024-03-12 09:30,002633.XSHE,100,7.51,5.0,0.0,t_23,23
2024-03-12 09:30,000668.XSHE,-2200,8.13,5.0,17.89,t_24,24
2024-03-12 09:30,600539.XSHG,3900,4.81,5.0,0.0,t_25,25
2024-03-12 09:30,300417.XSHE,2300,8.15,5.0,0.0,t_26,26
2024-03-12 09:30,605081.XSHG,1900,9.98,5.0,0.0,t_27,27
2024-03-12 09:30,000691.XSHE,5400,3.51,5.0,0.0,t_28,28
2024-03-12 09:30,300929.XSHE,2200,8.61,5.0,0.0,t_29,29
2024-03-12 09:30,002193.XSHE,4300,4.36,5.0,0.0,t_30,30
2024-03-12 09:30,001211.XSHE,1100,15.93,5.0,0.0,t_31,31
2024-03-12 09:30,600768.XSHG,2100,8.7,5.0,0.0,t_32,32
2024-03-12 09:30,603813.XSHG,1700,11.07,5.0,0.0,t_33,33
2024-03-15 09:30,002633.XSHE,2400,7.76,5.0,0.0,t_34,34
2024-03-15 09:30,600539.XSHG,3800,4.97,5.0,0.0,t_35,35
