date,value
2025-01-02,997921.0
2025-01-03,998000.2
2025-01-06,998020.0
2025-01-07,998099.2
2025-01-08,998425.9
2025-01-09,998307.1
2025-01-10,998396.2
2025-01-13,998237.7999999999
2025-01-14,998158.6
2025-01-15,998346.7000000001
2025-01-16,998257.6
2025-01-17,998336.7999999999
2025-01-20,998277.4
2025-01-21,998406.1
2025-01-22,998495.2000000001
2025-01-23,998435.8
2025-01-24,998455.6
2025-01-27,999099.1
2025-02-05,1004819.9
2025-02-06,1009665.9
2025-02-07,1014371.9
2025-02-10,1030514.9600000001
2025-02-11,1030786.9600000001
2025-02-12,1027921.81
2025-02-13,1019794.79
2025-02-14,1019329.79
2025-02-17,1056892.79
2025-02-18,1055076.6300000001
2025-02-19,1071921.6300000001
2025-02-20,1069723.6300000001
2025-02-21,1063617.61
2025-02-24,1067975.61
2025-02-25,1069629.61
2025-02-26,1077540.06
2025-02-27,1075482.06
2025-02-28,1064748.06
2025-03-03,1063018.75
2025-03-04,1067496.75
2025-03-05,1057123.75
2025-03-06,1065879.9900000002
2025-03-07,1056834.99
2025-03-10,1082501.99
2025-03-11,1084708.6300000001
2025-03-12,1089576.6300000001
2025-03-13,1078939.6300000001
2025-03-14,1094214.04
2025-03-17,1106729.04
2025-03-18,1113024.04
2025-03-19,1120739.12
2025-03-20,1123571.1
2025-03-21,1125307.1
2025-03-24,1085259.12
2025-03-25,1070540.12
2025-03-26,1053197.7000000002
2025-03-27,1048471.3
2025-03-28,1046699.7000000001
2025-03-31,1043702.3
2025-04-01,1045003.1000000001
2025-04-02,1045300.5
2025-04-03,1044911.5
2025-04-07,1039129.3
2025-04-08,1038769.7000000001
2025-04-09,1039694.7000000001
2025-04-10,1042352.1000000001
2025-04-11,1043296.7000000001
2025-04-14,1046431.3
2025-04-15,1048490.5
2025-04-16,1048320.5
2025-04-17,1044339.3
2025-04-18,1042436.9
2025-04-21,1041312.5
2025-04-22,1041361.5000000001
2025-04-23,1038733.5000000001
2025-04-24,1038364.1
2025-04-25,1036889.9
2025-04-28,1034899.3
2025-04-29,1036889.9
2025-04-30,1038229.9
2025-05-06,1038927.3
2025-05-07,1037962.3
2025-05-08,1042815.3
2025-05-09,1041342.3
2025-05-12,1043312.8300000001
2025-05-13,1040650.8300000001
2025-05-14,1039311.8300000001
2025-05-15,1041642.8300000001
2025-05-16,1043049.8300000001
2025-05-19,1054523.83
2025-05-20,1068016.2000000002
2025-05-21,1059503.2000000002
2025-05-22,1049327.2000000002
2025-05-23,1039660.6200000001
2025-05-26,1048615.62
2025-05-27,1056044.62
2025-05-28,1052580.61
2025-05-29,1067981.61
2025-05-30,1062594.84
2025-06-03,1070459.62
2025-06-04,1078756.62
2025-06-05,1076203.62
2025-06-06,1085627.92
2025-06-09,1096650.92
2025-06-10,1090055.92
2025-06-11,1089837.23
2025-06-12,1091974.23
2025-06-13,1075271.23
2025-06-16,1084049.8199999998
2025-06-17,1079780.8199999998
2025-06-18,1076248.8199999998
2025-06-19,1053295.7799999998
2025-06-20,1049387.7799999998
2025-06-23,1068167.7799999998
2025-06-24,1093590.0699999998
2025-06-25,1099579.0699999998
2025-06-26,1104012.0699999998
2025-06-27,1111909.7
2025-06-30,1118870.7
2025-07-01,1132456.7
2025-07-02,1128192.2799999998
2025-07-03,1134307.2799999998
2025-07-04,1122221.2799999998
2025-07-07,1132546.63
2025-07-08,1135753.63
2025-07-09,1135469.63
2025-07-10,1136587.7999999998
2025-07-11,1131080.7999999998
2025-07-14,1139789.7999999998
2025-07-15,1124256.2
2025-07-16,1134063.2
2025-07-17,1135822.2
2025-07-18,1137176.2599999998
2025-07-21,1162144.2599999998
2025-07-22,1164398.2599999998
2025-07-23,1157286.71
2025-07-24,1164485.71
2025-07-25,1175062.71
2025-07-28,1177908.29
2025-07-29,1182284.29
2025-07-30,1185108.29
2025-07-31,1171309.33
2025-08-01,1179369.33
2025-08-04,1190043.33
2025-08-05,1200728.54
2025-08-06,1208715.54
2025-08-07,1204938.67
2025-08-08,1209929.11
2025-08-11,1222658.11
2025-08-12,1218762.11
2025-08-13,1210451.47
2025-08-14,1185330.47
2025-08-15,1184877.47
2025-08-18,1195289.15
2025-08-19,1219672.15
2025-08-20,1223196.15
2025-08-21,1231611.98
2025-08-22,1222703.98
2025-08-25,1220690.98
2025-08-26,1233772.52
2025-08-27,1201019.52
2025-08-28,1193507.52
2025-08-29,1184100.0
2025-09-01,1198042.0
2025-09-02,1195511.0
2025-09-03,1167676.25
2025-09-04,1164785.5699999998
2025-09-05,1164578.5699999998
2025-09-08,1164670.5699999998
2025-09-09,1164705.0699999998
2025-09-10,1164751.0699999998
2025-09-11,1164785.5699999998
2025-09-12,1164889.0699999998
2025-09-15,1164935.0699999998
2025-09-16,1164843.0699999998
2025-09-17,1164958.0699999998
2025-09-18,1165245.5699999998
2025-09-19,1165291.5699999998
2025-09-22,1165245.5699999998
2025-09-23,1165395.0699999998
2025-09-24,1165188.0699999998
2025-09-25,1165222.5699999998
2025-09-26,1165395.0699999998
2025-09-29,1165429.5699999998
2025-09-30,1166027.5699999998
2025-10-09,1163486.0699999998
2025-10-10,1163486.0699999998
2025-10-13,1169781.0699999998
2025-10-14,1168100.0699999998
2025-10-15,1171348.0699999998
2025-10-16,1164062.0699999998
2025-10-17,1159494.0699999998
2025-10-20,1168167.0699999998
2025-10-21,1182757.0699999998
2025-10-22,1189003.0699999998
2025-10-23,1189255.0699999998
2025-10-24,1197456.5799999998
2025-10-27,1206149.5799999998
2025-10-28,1227729.5799999998
2025-10-29,1206833.5499999998
2025-10-30,1210208.5499999998
2025-10-31,1223042.5499999998
2025-11-03,1229941.38
2025-11-04,1230690.38
2025-11-05,1246698.38
2025-11-06,1251344.3699999999
2025-11-07,1257619.3699999999
2025-11-10,1269810.3699999999
2025-11-11,1276574.5299999998
2025-11-12,1279242.5299999998
2025-11-13,1289276.5299999998
2025-11-14,1293117.71
2025-11-17,1306479.71
2025-11-18,1296208.71
2025-11-19,1271216.87
2025-11-20,1257416.87
2025-11-21,1210449.87
2025-11-24,1215131.0600000003
2025-11-25,1215203.0600000003
2025-11-26,1215239.0600000003
2025-11-27,1215227.0600000003
2025-11-28,1215323.0600000003
2025-12-01,1215359.0600000003
2025-12-02,1215575.0600000003
2025-12-03,1215707.0600000003
2025-12-04,1215539.0600000003
2025-12-05,1215563.0600000003
2025-12-08,1215551.0600000003
2025-12-09,1215599.0600000003
2025-12-10,1215659.0600000003
2025-12-11,1215791.0600000003
2025-12-12,1215707.0600000003
2025-12-15,1215767.0600000003
2025-12-16,1215923.0600000003
2025-12-17,1215839.0600000003
2025-12-18,1215947.0600000003
2025-12-19,1218087.0600000003
2025-12-22,1216506.0600000003
2025-12-23,1216323.0600000003
2025-12-24,1223656.0600000003
2025-12-25,1224973.0600000003
2025-12-26,1220206.0600000003
2025-12-29,1228210.0600000003
2025-12-30,1221097.0600000003
2025-12-31,1222362.0600000003
