tag,scenario,cost_rate,number_of_closed_trades,win_rate,average_return,median_return,profit_loss_ratio,expectancy_per_trade,total_net_pnl,ending_value_net,total_return_net,cagr_net,max_drawdown,sharpe_net,total_round_trip_cost
r3_2020_2021_research,gross,0.0,1321,0.712339137017411,0.0933489234256814,0.0813226094727435,1.925377965407874,0.0933489234256814,1091687.6,2212484.9400000004,1.2123316254183587,0.5094239239292873,-0.14870727645042,2.102697438338989,0.0
r3_2020_2021_research,cost_10bp,0.001,1321,0.7100681302043906,0.0912555745022557,0.0792412868632707,1.894014540536807,0.0912555745022557,1054128.3926,2174925.7326,1.174775020691066,0.4960826334585098,-0.14870727645042,2.044184093683336,37559.2074
r3_2020_2021_research,cost_20bp,0.002,1321,0.7047691143073429,0.08916222557883,0.077159964253798,1.8754815493395856,0.08916222557883,1016569.1852,2137366.5252000005,1.137218415963774,0.4826299435244003,-0.14870727645042,1.9851821639686376,75118.4148
r3_2020_2021_research,cost_30bp,0.003,1321,0.6987130961392884,0.0870688766554043,0.0750786416443252,1.8634235789858429,0.0870688766554043,979009.9778,2099807.3178000003,1.099661811236481,0.4690629413996054,-0.14870727645042,1.9256788743122928,112677.6222
r3_2022_2023_research,gross,0.0,1075,0.746046511627907,0.1069603353334153,0.0597269624573378,3.689678446917324,0.1069603353334153,937604.0,2021851.7100000004,1.0218116781287736,0.4427374560152377,-0.1197703669907509,1.9965435198085624,0.0
r3_2022_2023_research,cost_10bp,0.001,1075,0.7339534883720931,0.1048533749980819,0.0576672354948805,3.78281078485969,0.1048533749980819,904216.5552,1988464.2652000005,0.9884248943870916,0.4302835413972126,-0.1197703669907509,1.936299938411992,33387.4448
r3_2022_2023_research,cost_20bp,0.002,1075,0.7311627906976744,0.1027464146627485,0.0556075085324232,3.614095723380537,0.1027464146627485,870829.1104,1955076.8204000003,0.9550381106454098,0.4177289827175654,-0.1197703669907509,1.875569509393259,66774.8896
r3_2022_2023_research,cost_30bp,0.003,1075,0.7274418604651163,0.1006394543274151,0.0535477815699658,3.473652374234087,0.1006394543274151,837441.6656000001,1921689.3756000004,0.9216513269037276,0.4050712267108127,-0.1197703669907509,1.814339881787891,100162.3344
r3_2024_202605_research,gross,0.0,1719,0.6451425247236765,0.1362024526145375,0.0696721311475409,2.763715825420273,0.1362024526145375,1947001.9,2693218.830000001,1.6927656375432023,0.5389931169960516,-0.2454750115286714,1.5364144333603806,0.0
r3_2024_202605_research,cost_10bp,0.001,1719,0.6387434554973822,0.134066250161923,0.0676024590163934,2.784032753132702,0.134066250161923,1873167.0123,2619383.942300001,1.6189431741637894,0.5204856763396619,-0.2454750115286714,1.4805490434375177,73834.8877
r3_2024_202605_research,cost_20bp,0.002,1719,0.6352530541012217,0.1319300477093084,0.0655327868852459,2.746433034529044,0.1319300477093084,1799332.1245999995,2545549.054600001,1.5451207107843756,0.5016811964230545,-0.2454750115286714,1.4237870295890376,147669.7754
r3_2024_202605_research,cost_30bp,0.003,1719,0.6288539848749273,0.1297938452566939,0.0634631147540983,2.743520640678585,0.1297938452566939,1725497.2369,2471714.166900001,1.4712982474049627,0.4825660807530603,-0.2454750115286714,1.3660873503005253,221504.6631
r3_full_2020_202605_research,gross,0.0,4537,0.6980383513334802,0.1066591496135223,0.0638297872340425,2.391368923622643,0.1066591496135223,11394784.099999998,11287258.869999994,10.286476717163492,0.4833242507170843,-0.2319894336738732,1.7564793387389015,0.0
r3_full_2020_202605_research,cost_10bp,0.001,4537,0.6927485122327529,0.1045524904639088,0.0617659574468085,2.3898842075025226,0.1045524904639088,10968929.0779,10861403.847899994,9.860651204771504,0.4740724752748515,-0.2319894336738732,1.7206318137383572,425855.02210000006
r3_full_2020_202605_research,cost_20bp,0.002,4537,0.6885607229446771,0.1024458313142953,0.0597021276595744,2.34971305417204,0.1024458313142953,10543074.055799998,10435548.825799994,9.434825692379512,0.4645118137421651,-0.2319894336738732,1.6835874587975492,851710.0442000001
r3_full_2020_202605_research,cost_30bp,0.003,4537,0.6834912938064801,0.1003391721646817,0.0576382978723404,2.3197086610079,0.1003391721646817,10117219.0337,10009693.803699993,9.00900017998752,0.4546186933468614,-0.2319894336738732,1.6452549373352192,1277565.0663
