tag,year,year_return,year_max_drawdown,year_max_drawdown_start,year_max_drawdown_end,year_trading_days,year_fills,year_closed_trades,year_win_rate,year_expectancy,year_profit_loss_ratio,year_annualized_turnover
r3_2020_2021_research,2020,0.322901632916839,-0.1467106710849184,2020-09-08,2020-12-28,243,858,662,0.7250755287009063,0.1034020996978852,2.067483788135552,45.96023433750001
r3_2020_2021_research,2021,0.6723326741538851,-0.14870727645042,2021-09-08,2021-10-28,244,737,659,0.6995447647951442,0.0832499863429438,1.7866711412207312,64.81352884186046
r3_2022_2023_research,2022,0.4427301439431501,-0.1197703669907509,2022-03-03,2022-03-15,242,678,471,0.8704883227176221,0.1083966730360934,4.242893442654959,46.270907068235296
r3_2022_2023_research,2023,0.4013789665494378,-0.0928575499873864,2023-03-09,2023-06-26,243,643,604,0.6490066225165563,0.1058402698675496,4.051855495918495,59.09421719999999
r3_2024_202605_research,2024,1.095719220455197,-0.2454750115286714,2024-05-17,2024-06-24,242,930,730,0.7643835616438356,0.2288694808219178,2.6523653027170258,50.78574576
r3_2024_202605_research,2025,0.4677389816484019,-0.1410719499984963,2025-11-17,2025-12-16,244,789,644,0.6816770186335404,0.1161038850931677,2.1495673534048434,89.09873161411765
r3_2024_202605_research,2026,-0.1245796633567521,-0.1683256367843039,2026-02-10,2026-03-23,95,217,345,0.3246376811594202,-0.0223582985507246,1.0212490209634093,292.4498223818182
r3_full_2020_202605_research,2020,0.322901632916839,-0.1467106710849184,2020-09-08,2020-12-28,243,858,662,0.7250755287009063,0.1034020996978852,2.067483788135552,45.96023433750001
r3_full_2020_202605_research,2021,0.6723326741538851,-0.14870727645042,2021-09-08,2021-10-28,244,737,659,0.6995447647951442,0.0832499863429438,1.7866711412207312,64.81352884186046
r3_full_2020_202605_research,2022,0.4441315835578077,-0.1179388798098811,2022-03-03,2022-03-15,243,748,646,0.871517027863777,0.1094780820433436,3.900761174009747,105.38859329999998
r3_full_2020_202605_research,2023,0.4020374412426488,-0.0879228532768402,2023-03-09,2023-06-21,243,718,711,0.6455696202531646,0.1009264374120956,3.921804212789718,127.15068951529412
r3_full_2020_202605_research,2024,0.9685875655767135,-0.2319894336738732,2024-05-17,2024-06-24,243,912,844,0.7559241706161137,0.1827121113744076,2.4222560649785625,226.6879720543689
r3_full_2020_202605_research,2025,0.4600325160927032,-0.1368034848453774,2025-11-17,2025-12-16,244,799,640,0.6859375,0.1109566375,2.078272908322726,369.9888072
r3_full_2020_202605_research,2026,-0.1233534681823268,-0.165600095733009,2026-02-10,2026-03-23,95,233,375,0.3386666666666666,-0.018944496,1.059125551696332,1196.1288245454546
