date,value
2026-01-05,999901.0000000001
2026-01-06,999831.7000000001
2026-01-07,999990.1
2026-01-08,1000029.7
2026-01-09,1000089.1
2026-01-12,1000069.3
2026-01-13,1000188.1
2026-01-14,1000227.7
2026-01-15,1000415.8
2026-01-16,1000623.7
2026-01-19,1000564.3
2026-01-20,1000534.6
2026-01-21,1000415.8
2026-01-22,1000485.1000000001
2026-01-23,1000544.5
2026-01-26,1000613.7999999999
2026-01-27,1000663.3
2026-01-28,1000643.5
2026-01-29,1000633.6000000001
2026-01-30,1000712.8
2026-02-02,1002626.0
2026-02-03,1006245.0
2026-02-04,1008911.0
2026-02-05,1009909.0
2026-02-06,1013113.0
2026-02-09,1020471.0
2026-02-10,1019909.0
2026-02-11,1018073.0
2026-02-12,1007731.0
2026-02-13,1009985.0
2026-02-24,1023837.0
2026-02-25,1021965.0
2026-02-26,1015790.5800000001
2026-02-27,1011462.5800000001
2026-03-02,972296.5800000001
2026-03-03,945477.15
2026-03-04,937960.15
2026-03-05,955002.15
2026-03-06,988397.5700000001
2026-03-09,980374.5700000001
2026-03-10,1011510.5700000001
2026-03-11,1002110.27
2026-03-12,983654.27
2026-03-13,984516.27
2026-03-16,985750.72
2026-03-17,968105.72
2026-03-18,986791.72
2026-03-19,954398.01
2026-03-20,910437.01
2026-03-23,850932.01
2026-03-24,911037.76
2026-03-25,934607.76
2026-03-26,918536.76
2026-03-27,935410.05
2026-03-30,949769.05
2026-03-31,931017.05
2026-04-01,950214.0899999999
2026-04-02,950355.0899999999
2026-04-03,950731.09
2026-04-07,950590.09
2026-04-08,950336.2899999999
2026-04-09,950449.09
2026-04-10,950514.8899999999
2026-04-13,950571.2899999999
2026-04-14,950637.09
2026-04-15,950646.49
2026-04-16,950580.69
2026-04-17,950693.4899999999
2026-04-20,950702.89
2026-04-21,950731.09
2026-04-22,950749.8899999999
2026-04-23,950768.6899999998
2026-04-24,950872.09
2026-04-27,950862.69
2026-04-28,950956.69
2026-04-29,951078.8899999999
2026-04-30,951107.0899999999
2026-05-06,952165.2899999999
2026-05-07,952779.2899999999
2026-05-08,955063.2899999999
2026-05-11,957399.2899999999
2026-05-12,953653.2899999999
2026-05-13,953126.2899999999
2026-05-14,960050.2899999999
2026-05-15,951914.2899999999
2026-05-18,958327.2899999999
2026-05-19,957451.3299999998
2026-05-20,946257.3299999998
2026-05-21,917726.3299999998
2026-05-22,946667.3299999998
2026-05-25,929582.3299999998
2026-05-26,911512.3299999998
2026-05-27,889760.3599999999
2026-05-28,888176.3599999999
2026-05-29,862874.3599999999
2026-06-01,885179.45
2026-06-02,853735.45
2026-06-03,840669.45
2026-06-04,819712.44
2026-06-05,835513.44
2026-06-08,807217.44
2026-06-09,814859.8699999999
2026-06-10,802214.8699999999
2026-06-11,792052.8699999999
2026-06-12,796034.8499999999
2026-06-15,784557.8499999999
2026-06-16,787905.8499999999
2026-06-17,767056.8499999999
2026-06-18,763471.8499999999
2026-06-22,776540.8499999999
2026-06-23,797046.8499999999
2026-06-24,752222.8499999999
2026-06-25,752222.8499999999
2026-06-26,752222.8499999999
