code,open_date,close_date,quantity,buy_price,sell_price,gross_pnl,gross_return,holding_days
300665.XSHE,2026-05-06,2026-05-19,300,8.600000,9.850000,375.000000,0.145349,13
300665.XSHE,2026-05-06,2026-05-27,2000,8.600000,9.840000,2480.000000,0.144186,21
300665.XSHE,2026-05-11,2026-05-27,300,9.090000,9.840000,225.000000,0.082508,16
300417.XSHE,2026-05-06,2026-05-27,1100,14.260000,14.170000,-99.000000,-0.006311,21
300405.XSHE,2026-05-06,2026-05-27,2800,7.060000,6.920000,-392.000000,-0.019830,21
300500.XSHE,2026-05-06,2026-05-27,1600,11.910000,11.360000,-880.000000,-0.046180,21
301098.XSHE,2026-05-06,2026-06-01,2000,9.630000,9.940000,620.000000,0.032191,26
301098.XSHE,2026-05-11,2026-06-01,100,9.790000,9.940000,15.000000,0.015322,21
300665.XSHE,2026-05-11,2026-06-01,1800,9.090000,9.540000,810.000000,0.049505,21
300665.XSHE,2026-05-14,2026-06-01,200,9.250000,9.540000,58.000000,0.031351,18
300405.XSHE,2026-05-11,2026-06-01,2700,7.170000,6.400000,-2079.000000,-0.107392,21
600697.XSHG,2026-05-06,2026-06-01,1500,12.640000,11.350000,-1935.000000,-0.102057,26
600697.XSHG,2026-05-11,2026-06-01,300,12.840000,11.350000,-447.000000,-0.116044,21
301098.XSHE,2026-05-11,2026-06-04,1400,9.790000,9.090000,-980.000000,-0.071502,24
300665.XSHE,2026-05-14,2026-06-04,1900,9.250000,9.810000,1064.000000,0.060541,21
600697.XSHG,2026-05-11,2026-06-04,100,12.840000,11.250000,-159.000000,-0.123832,24
600493.XSHG,2026-05-11,2026-06-04,100,7.670000,6.330000,-134.000000,-0.174707,24
603879.XSHG,2026-05-22,2026-06-04,300,5.340000,5.000000,-102.000000,-0.063670,13
600697.XSHG,2026-05-11,2026-06-09,1200,12.840000,11.100000,-2088.000000,-0.135514,29
600697.XSHG,2026-05-14,2026-06-09,400,12.440000,11.100000,-536.000000,-0.107717,26
600493.XSHG,2026-05-11,2026-06-09,100,7.670000,6.190000,-148.000000,-0.192960,29
301098.XSHE,2026-05-11,2026-06-12,600,9.790000,8.740000,-630.000000,-0.107252,32
301098.XSHE,2026-05-14,2026-06-12,1400,10.800000,8.740000,-2884.000000,-0.190741,29
301098.XSHE,2026-05-19,2026-06-12,200,10.660000,8.740000,-384.000000,-0.180113,24
600697.XSHG,2026-05-14,2026-06-12,1300,12.440000,10.760000,-2184.000000,-0.135048,29
600697.XSHG,2026-05-19,2026-06-12,200,12.480000,10.760000,-344.000000,-0.137821,24
