date,value
2025-02-05,1007853.0
2025-02-06,1012720.0
2025-02-07,1017472.0
2025-02-10,1033647.06
2025-02-11,1033919.06
2025-02-12,1031053.91
2025-02-13,1022876.28
2025-02-14,1022399.28
2025-02-17,1060227.28
2025-02-18,1058476.12
2025-02-19,1075430.12
2025-02-20,1073255.12
2025-02-21,1067113.79
2025-02-24,1071478.79
2025-02-25,1073129.79
2025-02-26,1081077.79
2025-02-27,1078999.79
2025-02-28,1068292.79
2025-03-03,1066585.48
2025-03-04,1071107.48
2025-03-05,1060669.48
2025-03-06,1069494.87
2025-03-07,1060429.87
2025-03-10,1086199.87
2025-03-11,1088489.85
2025-03-12,1093402.85
2025-03-13,1082639.85
2025-03-14,1098007.7200000002
2025-03-17,1110517.7200000002
2025-03-18,1116833.7200000002
2025-03-19,1124558.11
2025-03-20,1127433.09
2025-03-21,1129175.09
2025-03-24,1089046.11
2025-03-25,1074260.11
2025-03-26,1085649.11
2025-03-27,1072655.58
2025-03-28,1045439.5800000001
2025-03-31,1023543.5800000001
