date,value
2025-02-05,1007741.0
2025-02-06,1012462.6699999999
2025-02-07,1017096.6699999999
2025-02-10,1033132.0099999999
2025-02-11,1033404.0099999999
2025-02-12,1030570.07
2025-02-13,1022926.07
2025-02-14,1022453.07
2025-02-17,1058408.0699999998
2025-02-18,1058299.52
2025-02-19,1072011.08
2025-02-20,1071725.3399999999
2025-02-21,1065865.85
2025-02-24,1070448.85
2025-02-25,1072076.85
2025-02-26,1080354.65
2025-02-27,1078552.65
2025-02-28,1068162.1199999999
2025-03-03,1065351.73
2025-03-04,1069454.73
2025-03-05,1060249.73
2025-03-06,1068313.58
2025-03-07,1059122.5799999998
2025-03-10,1085235.5799999998
2025-03-11,1088208.5599999998
2025-03-12,1093276.5599999998
2025-03-13,1082815.5599999998
2025-03-14,1098163.4
2025-03-17,1110654.4
2025-03-18,1116791.8499999999
2025-03-19,1123214.71
2025-03-20,1127177.5299999998
2025-03-21,1126767.5299999998
2025-03-24,1087904.2599999998
2025-03-25,1074667.9
2025-03-26,1086730.9
2025-03-27,1074124.19
2025-03-28,1047481.0099999999
2025-03-31,1026504.0099999999
