time,code,amount,price,commission,tax,trade_id,order_id
2026-06-01 09:30,300929.XSHE,1600,12.04,5,0.0,t_1,1
2026-06-01 09:30,600455.XSHG,700,26.66,5,0.0,t_2,2
2026-06-01 09:30,301167.XSHE,1300,15.03,5,0.0,t_3,3
2026-06-01 09:30,600561.XSHG,3300,6.0,5,0.0,t_4,4
2026-06-01 09:30,300535.XSHE,1200,16.36,5,0.0,t_5,5
2026-06-01 09:30,600493.XSHG,3000,6.49,5,0.0,t_6,6
2026-06-01 09:30,300417.XSHE,1500,12.99,5,0.0,t_7,7
2026-06-01 09:30,603879.XSHG,4000,4.95,5,0.0,t_8,8
2026-06-01 09:30,300886.XSHE,800,24.16,5,0.0,t_9,9
2026-06-01 09:30,300605.XSHE,1800,10.98,5,0.0,t_10,10
2026-06-04 09:30,300929.XSHE,1700,11.88,5,0.0,t_11,11
2026-06-04 09:30,600455.XSHG,800,25.75,5,0.0,t_12,12
2026-06-04 09:30,301167.XSHE,1400,14.63,5,0.0,t_13,13
2026-06-04 09:30,600561.XSHG,3500,5.86,5,0.0,t_14,14
2026-06-04 09:30,300535.XSHE,1300,15.69,5,0.0,t_15,15
2026-06-04 09:30,600493.XSHG,3300,6.34,5,0.0,t_16,16
2026-06-04 09:30,300417.XSHE,1600,12.68,5,0.0,t_17,17
2026-06-04 09:30,300605.XSHE,1800,10.85,5,0.0,t_18,18
2026-06-04 09:30,300405.XSHE,3100,6.25,5,0.0,t_19,19
2026-06-04 09:30,600697.XSHG,1700,11.27,5,0.0,t_20,20
2026-06-09 09:30,300929.XSHE,1800,11.47,5,0.0,t_21,21
2026-06-09 09:30,600455.XSHG,900,24.53,5,0.0,t_22,22
2026-06-09 09:30,301167.XSHE,1400,14.43,5,0.0,t_23,23
2026-06-09 09:30,600561.XSHG,3500,5.72,5,0.0,t_24,24
2026-06-09 09:30,300535.XSHE,1300,15.3,5,0.0,t_25,25
2026-06-09 09:30,600493.XSHG,3200,6.2,5,0.0,t_26,26
2026-06-09 09:30,300417.XSHE,1700,12.23,5,0.0,t_27,27
2026-06-09 09:30,603879.XSHG,4200,4.81,5,0.0,t_28,28
2026-06-09 09:30,300605.XSHE,100,10.64,5,0.0,t_29,29
2026-06-09 09:30,300405.XSHE,3400,6.08,5,0.0,t_30,30
2026-06-09 09:30,301098.XSHE,2300,8.28,5,0.0,t_31,31
2026-06-12 09:30,600561.XSHG,100,5.59,5,0.0,t_32,32
2026-06-12 09:30,600493.XSHG,100,6.05,5,0.0,t_33,33
2026-06-12 09:30,300417.XSHE,200,11.54,5,0.0,t_34,34
2026-06-12 09:30,603879.XSHG,3900,4.81,5,0.0,t_35,35
2026-06-12 09:30,300605.XSHE,1900,10.38,5,0.0,t_36,36
2026-06-12 09:30,300405.XSHE,3200,6.02,5,0.0,t_37,37
2026-06-12 09:30,600697.XSHG,100,10.78,5,0.0,t_38,38
