time,code,amount,price,commission,tax,trade_id,order_id
2026-06-01 09:30,300929.XSHE,1600,12.02,5,0.0,t_1,1
2026-06-01 09:30,600455.XSHG,700,26.61,5,0.0,t_2,2
2026-06-01 09:30,301167.XSHE,1300,15.0,5,0.0,t_3,3
2026-06-01 09:30,600561.XSHG,3300,5.99,5,0.0,t_4,4
2026-06-01 09:30,300535.XSHE,1200,16.33,5,0.0,t_5,5
2026-06-01 09:30,600493.XSHG,3000,6.48,5,0.0,t_6,6
2026-06-01 09:30,300417.XSHE,1500,12.96,5,0.0,t_7,7
2026-06-01 09:30,603879.XSHG,4000,4.94,5,0.0,t_8,8
2026-06-01 09:30,300886.XSHE,800,24.11,5,0.0,t_9,9
2026-06-01 09:30,300605.XSHE,1800,10.96,5,0.0,t_10,10
2026-06-04 09:30,300929.XSHE,1700,11.86,5,0.0,t_11,11
2026-06-04 09:30,600455.XSHG,800,25.7,5,0.0,t_12,12
2026-06-04 09:30,301167.XSHE,1400,14.6,5,0.0,t_13,13
2026-06-04 09:30,600561.XSHG,3500,5.85,5,0.0,t_14,14
2026-06-04 09:30,300535.XSHE,1300,15.66,5,0.0,t_15,15
2026-06-04 09:30,600493.XSHG,3200,6.33,5,0.0,t_16,16
2026-06-04 09:30,300417.XSHE,1600,12.65,5,0.0,t_17,17
2026-06-04 09:30,300605.XSHE,1800,10.83,5,0.0,t_18,18
2026-06-04 09:30,300405.XSHE,3100,6.24,5,0.0,t_19,19
2026-06-04 09:30,600697.XSHG,1700,11.25,5,0.0,t_20,20
2026-06-09 09:30,300929.XSHE,1800,11.45,5,0.0,t_21,21
2026-06-09 09:30,600455.XSHG,900,24.48,5,0.0,t_22,22
2026-06-09 09:30,301167.XSHE,1400,14.4,5,0.0,t_23,23
2026-06-09 09:30,600561.XSHG,3500,5.71,5,0.0,t_24,24
2026-06-09 09:30,300535.XSHE,1300,15.27,5,0.0,t_25,25
2026-06-09 09:30,600493.XSHG,3300,6.19,5,0.0,t_26,26
2026-06-09 09:30,300417.XSHE,1700,12.21,5,0.0,t_27,27
2026-06-09 09:30,603879.XSHG,4200,4.8,5,0.0,t_28,28
2026-06-09 09:30,300605.XSHE,100,10.62,5,0.0,t_29,29
2026-06-09 09:30,300405.XSHE,3300,6.07,5,0.0,t_30,30
2026-06-09 09:30,301098.XSHE,2300,8.26,5,0.0,t_31,31
2026-06-12 09:30,300929.XSHE,1800,11.29,5,0.0,t_32,32
2026-06-12 09:30,600455.XSHG,700,24.5,5,0.0,t_33,33
2026-06-12 09:30,301167.XSHE,1400,14.05,5,0.0,t_34,34
2026-06-12 09:30,600561.XSHG,3600,5.58,5,0.0,t_35,35
2026-06-12 09:30,300535.XSHE,1300,15.28,5,0.0,t_36,36
2026-06-12 09:30,600493.XSHG,3400,6.04,5,0.0,t_37,37
2026-06-12 09:30,300417.XSHE,1900,11.52,5,0.0,t_38,38
2026-06-12 09:30,603879.XSHG,4000,4.8,5,0.0,t_39,39
2026-06-12 09:30,300605.XSHE,1900,10.36,5,0.0,t_40,40
2026-06-12 09:30,300405.XSHE,3300,6.01,5,0.0,t_41,41
2026-06-12 09:30,600697.XSHG,100,10.76,5,0.0,t_42,42
2026-06-16 14:00,600455.XSHG,100,23.79,5,0.0,t_43,43
2026-06-16 14:00,600561.XSHG,200,5.45,5,0.0,t_44,44
2026-06-17 14:00,300929.XSHE,200,10.57,5,0.0,t_45,45
2026-06-17 14:00,300417.XSHE,100,10.94,5,0.0,t_46,46
2026-06-17 14:00,300405.XSHE,100,5.72,5,0.0,t_47,47
2026-06-18 14:00,301167.XSHE,100,13.44,5,0.0,t_48,48
2026-06-22 14:00,600493.XSHG,200,5.71,5,0.0,t_49,50
2026-06-22 14:00,300417.XSHE,100,10.77,5,0.0,t_50,51
2026-06-22 14:00,603879.XSHG,300,4.5,5,0.0,t_51,52
2026-06-22 14:00,300405.XSHE,100,5.67,5,0.0,t_52,53
2026-06-25 14:00,300405.XSHE,200,5.33,5,0.0,t_53,73
