code,open_date,close_date,quantity,buy_price,sell_price,gross_pnl,gross_return,holding_days
002193.XSHE,2024-05-06,2024-05-07,200,3.760000,3.970000,42.000000,0.055851,1
002633.XSHE,2024-05-06,2024-05-07,200,6.620000,7.220000,120.000000,0.090634,1
600847.XSHG,2024-05-06,2024-05-16,600,7.250000,8.050000,480.000000,0.110345,10
300417.XSHE,2024-05-06,2024-05-27,300,7.660000,7.610000,-15.000000,-0.006527,21
002856.XSHE,2024-05-06,2024-05-27,300,7.600000,7.800000,60.000000,0.026316,21
002629.XSHE,2024-05-06,2024-05-27,700,2.370000,2.250000,-84.000000,-0.050633,21
600539.XSHG,2024-05-06,2024-05-27,100,4.820000,4.820000,0.000000,0.000000,21
600847.XSHG,2024-05-06,2024-05-27,2100,7.250000,7.380000,273.000000,0.017931,21
600847.XSHG,2024-05-09,2024-05-27,200,7.490000,7.380000,-22.000000,-0.014686,18
603021.XSHG,2024-05-06,2024-05-27,5400,3.490000,3.450000,-216.000000,-0.011461,21
002193.XSHE,2024-05-06,2024-05-30,400,3.760000,3.770000,4.000000,0.002660,24
002629.XSHE,2024-05-06,2024-05-30,100,2.370000,2.270000,-10.000000,-0.042194,24
600847.XSHG,2024-05-09,2024-05-30,2400,7.490000,7.430000,-144.000000,-0.008011,21
600847.XSHG,2024-05-14,2024-05-30,300,7.140000,7.430000,87.000000,0.040616,16
002856.XSHE,2024-05-06,2024-05-30,2300,7.600000,8.220000,1426.000000,0.081579,24
002856.XSHE,2024-05-09,2024-05-30,900,7.830000,8.220000,351.000000,0.049808,21
300417.XSHE,2024-05-06,2024-06-04,200,7.660000,7.050000,-122.000000,-0.079634,29
002856.XSHE,2024-05-09,2024-06-04,1600,7.830000,7.980000,240.000000,0.019157,26
002856.XSHE,2024-05-14,2024-06-04,900,7.560000,7.980000,378.000000,0.055556,21
600847.XSHG,2024-05-14,2024-06-04,2700,7.140000,6.650000,-1323.000000,-0.068627,21
600455.XSHG,2024-05-06,2024-06-04,100,17.860000,16.010000,-185.000000,-0.103583,29
300329.XSHE,2024-05-14,2024-06-04,3900,4.460000,4.030000,-1677.000000,-0.096413,21
300417.XSHE,2024-05-06,2024-06-06,2100,7.660000,7.630000,-63.000000,-0.003916,31
300417.XSHE,2024-05-09,2024-06-06,300,7.790000,7.630000,-48.000000,-0.020539,28
002633.XSHE,2024-05-06,2024-06-07,300,6.620000,5.910000,-213.000000,-0.107251,32
300417.XSHE,2024-05-09,2024-06-07,1200,7.790000,7.000000,-948.000000,-0.101412,29
002856.XSHE,2024-05-14,2024-06-07,1800,7.560000,8.320000,1368.000000,0.100529,24
002856.XSHE,2024-05-17,2024-06-07,1100,8.160000,8.320000,176.000000,0.019608,21
600455.XSHG,2024-05-06,2024-06-07,1000,17.860000,14.910000,-2950.000000,-0.165174,32
600455.XSHG,2024-05-09,2024-06-07,300,17.880000,14.910000,-891.000000,-0.166107,29
300716.XSHE,2024-05-17,2024-06-07,2600,7.250000,5.480000,-4602.000000,-0.244138,21
