date,value
2022-01-04,1000019.7999999999
2022-01-05,999970.2999999999
2022-01-06,1000118.7999999999
2022-01-07,1000316.7999999999
2022-01-10,1000386.1
2022-01-11,1000514.7999999999
2022-01-12,1000554.3999999999
2022-01-13,1000613.7999999999
2022-01-14,1000772.1999999998
2022-01-17,1000881.1
2022-01-18,1000950.3999999998
2022-01-19,1000861.2999999998
2022-01-20,1000811.7999999999
2022-01-21,1001079.0999999999
2022-01-24,1001089.0
2022-01-25,1001217.6999999998
2022-01-26,1001316.7
2022-01-27,1001514.6999999998
2022-01-28,1002138.3999999999
2022-02-07,1001568.4999999999
2022-02-08,1007662.4999999999
2022-02-09,1008610.4999999999
2022-02-10,1007509.4499999998
2022-02-11,999492.4499999998
2022-02-14,1011862.4499999998
2022-02-15,1016656.5099999998
2022-02-16,1039810.5099999998
2022-02-17,1047549.5099999998
2022-02-18,1053384.8699999999
2022-02-21,1067182.4099999997
2022-02-22,1055913.92
2022-02-23,1065319.92
2022-02-24,1039824.9199999999
2022-02-25,1065700.92
2022-02-28,1050725.8699999999
2022-03-01,1081957.8699999999
2022-03-02,1110151.8699999999
2022-03-03,1120967.7599999998
2022-03-04,1098410.7599999998
2022-03-07,1078279.7599999998
2022-03-08,1040605.7699999998
2022-03-09,1021995.7699999998
2022-03-10,1041380.7699999998
2022-03-11,1058350.0399999998
2022-03-14,1033062.0399999998
2022-03-15,986709.0399999998
2022-03-16,1036452.0599999998
2022-03-17,1039991.8199999998
2022-03-18,1073975.8199999998
2022-03-21,1094291.8099999998
2022-03-22,1095918.8099999998
2022-03-23,1088526.8099999998
2022-03-24,1071218.96
2022-03-25,1095292.96
2022-03-28,1092345.9
2022-03-29,1078114.5999999999
2022-03-30,1075773.5999999999
2022-03-31,1089771.5999999999
2022-04-01,1083915.2000000002
2022-04-06,1084075.7000000002
2022-04-07,1084204.1
2022-04-08,1084353.9000000001
2022-04-11,1084428.8
2022-04-12,1084375.3
2022-04-13,1084428.8
2022-04-14,1084503.7000000002
2022-04-15,1084696.3000000003
2022-04-18,1084685.6
2022-04-19,1084803.3
2022-04-20,1084792.6
