code,open_date,close_date,quantity,buy_price,sell_price,gross_pnl,gross_return,holding_days
511880.XSHG,2024-01-02,2024-02-01,9900,100.094000,100.262000,1663.200000,0.001678,30
300321.XSHE,2024-02-01,2024-02-19,300,14.560000,10.290000,-1281.000000,-0.293269,18
300716.XSHE,2024-02-19,2024-02-21,700,5.530000,7.880000,1645.000000,0.424955,2
300321.XSHE,2024-02-01,2024-02-22,400,14.560000,12.800000,-704.000000,-0.120879,21
300995.XSHE,2024-02-06,2024-02-22,100,10.340000,12.860000,252.000000,0.243714,16
300836.XSHE,2024-02-06,2024-02-22,100,14.350000,17.610000,326.000000,0.227178,16
000668.XSHE,2024-02-01,2024-02-22,1000,8.900000,7.640000,-1260.000000,-0.141573,21
300321.XSHE,2024-02-01,2024-02-27,100,14.560000,14.830000,27.000000,0.018544,26
300995.XSHE,2024-02-06,2024-02-27,100,10.340000,14.810000,447.000000,0.432302,21
300854.XSHE,2024-02-06,2024-02-27,100,9.330000,12.320000,299.000000,0.320472,21
301040.XSHE,2024-02-06,2024-02-27,100,9.510000,12.990000,348.000000,0.365931,21
300069.XSHE,2024-02-06,2024-02-27,100,8.550000,11.000000,245.000000,0.286550,21
002856.XSHE,2024-02-01,2024-03-01,100,9.260000,8.040000,-122.000000,-0.131749,29
605081.XSHG,2024-02-01,2024-03-01,1800,11.050000,10.160000,-1602.000000,-0.080543,29
605081.XSHG,2024-02-06,2024-03-01,300,8.810000,10.160000,405.000000,0.153235,24
000668.XSHE,2024-02-01,2024-03-01,1200,8.900000,8.190000,-852.000000,-0.079775,29
000668.XSHE,2024-02-19,2024-03-01,1700,5.580000,8.190000,4437.000000,0.467742,11
300321.XSHE,2024-02-01,2024-03-01,500,14.560000,14.080000,-240.000000,-0.032967,29
300321.XSHE,2024-02-06,2024-03-01,1100,9.370000,14.080000,5181.000000,0.502668,24
300716.XSHE,2024-02-19,2024-03-01,200,5.530000,8.800000,654.000000,0.591320,11
600455.XSHG,2024-02-01,2024-03-06,100,19.500000,17.990000,-151.000000,-0.077436,34
000668.XSHE,2024-02-19,2024-03-06,100,5.580000,8.140000,256.000000,0.458781,16
300321.XSHE,2024-02-06,2024-03-06,1600,9.370000,13.610000,6784.000000,0.452508,29
300929.XSHE,2024-02-01,2024-03-06,100,9.790000,8.110000,-168.000000,-0.171604,34
300995.XSHE,2024-02-06,2024-03-06,1600,10.340000,13.520000,5088.000000,0.307544,29
300886.XSHE,2024-02-06,2024-03-06,1400,13.050000,15.820000,3878.000000,0.212261,29
