date,gross_value,net_value,cum_cost,daily_trade_value
2020-01-02,1000069.3,997096.1518,2973.1481999999996,991049.3999999999
2020-01-03,1000415.8,997442.6518,2973.1481999999996,0.0
2020-01-06,1000455.4,997482.2518,2973.1481999999996,0.0
2020-01-07,1000574.2,997601.0517999999,2973.1481999999996,0.0
2020-01-08,1000693.0,997719.8518,2973.1481999999996,0.0
2020-01-09,1000742.5,997769.3518,2973.1481999999996,0.0
2020-01-10,1000940.5,997967.3518,2973.1481999999996,0.0
2020-01-13,1001019.7,998046.5517999999,2973.1481999999996,0.0
2020-01-14,1001168.2000000002,998195.0518000001,2973.1481999999996,0.0
2020-01-15,1001247.4,998274.2518,2973.1481999999996,0.0
2020-01-16,1001267.2,998294.0517999999,2973.1481999999996,0.0
2020-01-17,1001633.5,998660.3518,2973.1481999999996,0.0
2020-01-20,1001524.6,998551.4517999999,2973.1481999999996,0.0
2020-01-21,1001643.4,998670.2518,2973.1481999999996,0.0
2020-01-22,1001940.4,998967.2518,2973.1481999999996,0.0
2020-01-23,1002821.5,999848.3518,2973.1481999999996,0.0
2020-02-03,1000327.5,993790.0341,6537.465899999999,1188105.9
2020-02-04,1005811.5,999274.0341,6537.465899999999,0.0
2020-02-05,1012309.5,1005772.0341,6537.465899999999,0.0
2020-02-06,1020243.5,1013102.2391,7141.260899999999,201265.0
2020-02-07,1027211.5,1020070.2391,7141.260899999999,0.0
2020-02-10,1035165.5,1028024.2391,7141.260899999999,0.0
2020-02-11,1026276.3100000004,1018513.5421000004,7762.767899999999,207169.0
2020-02-12,1034461.3100000004,1026698.5421000004,7762.767899999999,0.0
2020-02-13,1024253.3100000004,1016490.5421000004,7762.767899999999,0.0
2020-02-14,1025189.8000000004,1016807.0281000003,8382.7719,206668.0
2020-02-17,1057356.8000000005,1048974.0281000005,8382.7719,0.0
2020-02-18,1079507.8000000005,1071125.0281000005,8382.7719,0.0
2020-02-19,1067033.7300000002,1058000.2041000002,9033.5259,216918.0
2020-02-20,1094919.7300000002,1085886.2041000002,9033.5259,0.0
2020-02-21,1101697.0500000005,1092655.4721000006,9041.5779,2684.0
2020-02-24,1100480.5800000003,1090095.2931000004,10385.286900000001,447903.0
2020-02-25,1082957.5800000003,1072572.2931000004,10385.286900000001,0.0
2020-02-26,1077271.5800000003,1066886.2931000004,10385.286900000001,0.0
2020-02-27,1079879.91,1069347.8210999998,10532.0889,48934.0
2020-02-28,1014735.9100000004,1004203.8211000004,10532.0889,0.0
2020-03-02,1052887.91,1042355.8211,10532.0889,0.0
2020-03-03,1058950.41,1048151.9840999999,10798.4259,88779.0
2020-03-04,1079716.4100000004,1068917.9841000005,10798.4259,0.0
2020-03-05,1107302.41,1096503.9841,10798.4259,0.0
2020-03-06,1114446.9300000002,1103375.8941000002,11071.0359,90870.0
2020-03-09,1093408.9300000002,1082337.8941000002,11071.0359,0.0
2020-03-10,1127451.9300000002,1116380.8941000002,11071.0359,0.0
2020-03-11,1150205.4300000002,1139000.8971000002,11204.5329,44499.0
2020-03-12,1142974.4300000002,1131769.8971000002,11204.5329,0.0
2020-03-13,1138330.1000000003,1127073.5711000003,11256.5289,17332.0
2020-03-16,1095676.5000000002,1083780.7341000002,11895.765899999999,213079.0
2020-03-17,1085658.5000000002,1073762.7341000002,11895.765899999999,0.0
2020-03-18,1074078.5000000002,1062182.7341000002,11895.765899999999,0.0
2020-03-19,1098968.64,1086776.0540999998,12192.585899999998,98940.0
2020-03-20,1131292.4000000004,1119063.0851000003,12229.314899999998,12243.0
2020-03-23,1099434.4000000004,1087205.0851000003,12229.314899999998,0.0
2020-03-24,1131527.6800000002,1118551.1161000002,12976.563899999997,249083.0
2020-03-25,1160239.6800000002,1147263.1161000002,12976.563899999997,0.0
2020-03-26,1125978.5400000005,1112971.5441000005,13006.995899999998,10144.0
2020-03-27,1138955.9600000002,1125379.2911000003,13576.668899999999,189891.0
2020-03-30,1109320.9000000004,1095729.0631000004,13591.836899999998,5056.0
2020-03-31,1105729.3300000003,1092096.7951000002,13632.534899999999,13566.0
2020-04-01,1101413.05,1081241.3596,20171.6904,2179718.5
2020-04-02,1101423.95,1081252.2596,20171.6904,0.0
2020-04-03,1101707.35,1081535.6596000001,20171.6904,0.0
2020-04-07,1101718.25,1081546.5596,20171.6904,0.0
2020-04-08,1101805.4500000002,1081633.7596000002,20171.6904,0.0
2020-04-09,1101881.75,1081710.0596,20171.6904,0.0
2020-04-10,1102099.7500000002,1081928.0596000003,20171.6904,0.0
2020-04-13,1102154.25,1081982.5596,20171.6904,0.0
2020-04-14,1102176.05,1082004.3596,20171.6904,0.0
2020-04-15,1102165.15,1081993.4596,20171.6904,0.0
2020-04-16,1102208.75,1082037.0596,20171.6904,0.0
2020-04-17,1102208.75,1082037.0596,20171.6904,0.0
2020-04-20,1102317.75,1082146.0596,20171.6904,0.0
2020-04-21,1102448.55,1082276.8596,20171.6904,0.0
2020-04-22,1102513.9500000002,1082342.2596000002,20171.6904,0.0
2020-04-23,1102535.75,1082364.0596,20171.6904,0.0
2020-04-24,1102677.4500000002,1082505.7596000002,20171.6904,0.0
2020-04-27,1102721.05,1082549.3596,20171.6904,0.0
2020-04-28,1102764.65,1082592.9596,20171.6904,0.0
2020-04-29,1102622.95,1082451.2596,20171.6904,0.0
2020-04-30,1102797.35,1082625.6596000001,20171.6904,0.0
2020-05-06,1110545.7500000002,1086424.2179000003,24121.5321,1316613.9000000001
2020-05-07,1106388.7500000002,1082267.2179000003,24121.5321,0.0
2020-05-08,1109717.7500000002,1085596.2179000003,24121.5321,0.0
2020-05-11,1106095.7500000002,1081324.9939000001,24770.7561,216408.0
2020-05-12,1103965.7500000002,1079194.9939000001,24770.7561,0.0
2020-05-13,1100782.7500000002,1076011.9939000001,24770.7561,0.0
2020-05-14,1099408.7500000002,1073957.8459000003,25450.9041,226716.0
2020-05-15,1097803.7500000002,1072352.8459000003,25450.9041,0.0
2020-05-18,1078861.7500000002,1053410.8459000003,25450.9041,0.0
2020-05-19,1088173.7500000002,1062050.8099000002,26122.9401,224012.0
2020-05-20,1097791.7500000002,1071668.8099000002,26122.9401,0.0
2020-05-21,1111033.8000000005,1084836.0219000005,26197.7781,24946.0
2020-05-22,1100037.9400000002,1073107.3219,26930.6181,244280.0
2020-05-25,1080708.4500000002,1053719.3529000003,26989.0971,19493.0
2020-05-26,1099845.4500000002,1072856.3529000003,26989.0971,0.0
2020-05-27,1094549.8400000003,1067277.4079000002,27272.432099999998,94445.0
2020-05-28,1109767.8400000003,1082495.4079000002,27272.432099999998,0.0
2020-05-29,1129751.87,1102464.5339000002,27287.336099999997,4968.0
2020-06-01,1159505.87,1132053.3599,27452.510099999996,55058.0
2020-06-02,1173281.87,1145829.3599,27452.510099999996,0.0
2020-06-03,1206862.87,1179410.3599,27452.510099999996,0.0
2020-06-04,1240860.3600000003,1213054.4739000003,27805.886099999996,117792.0
2020-06-05,1227087.66,1198949.4668999999,28138.193099999997,110769.0
2020-06-08,1204750.66,1176612.4668999999,28138.193099999997,0.0
2020-06-09,1227972.3800000004,1199390.2889000003,28582.091099999998,147966.0
2020-06-10,1222660.85,1194020.1689000002,28640.681099999998,19530.0
2020-06-11,1211521.85,1182879.0419,28642.8081,709.0
2020-06-12,1201350.9800000002,1172376.5249000003,28974.4551,110549.0
2020-06-15,1198264.9800000002,1169290.5249000003,28974.4551,0.0
2020-06-16,1217872.9800000002,1188898.5249000003,28974.4551,0.0
2020-06-17,1230908.8600000003,1201400.2849000003,29508.5751,178040.0
2020-06-18,1219940.8600000003,1190432.2849000003,29508.5751,0.0
2020-06-19,1213320.8600000003,1183812.2849000003,29508.5751,0.0
2020-06-22,1203217.7300000002,1173511.3799000003,29706.3501,65925.0
2020-06-23,1192677.7300000002,1162971.3799000003,29706.3501,0.0
2020-06-24,1186122.7300000002,1156416.3799000003,29706.3501,0.0
2020-06-29,1181924.6800000002,1151923.4089000002,30001.271099999998,98307.0
2020-06-30,1209943.6800000002,1179942.4089000002,30001.271099999998,0.0
2020-07-01,1211391.7800000005,1181369.8239000004,30021.9561,6895.0
2020-07-02,1225654.2700000005,1195021.2949000006,30632.9751,203673.0
2020-07-03,1232635.2700000005,1202002.2949000006,30632.9751,0.0
2020-07-06,1276023.2700000005,1245390.2949000006,30632.9751,0.0
2020-07-07,1278105.7800000005,1247100.0669000004,31005.7131,124246.0
2020-07-08,1292681.7800000005,1261676.0669000004,31005.7131,0.0
