code,open_date,close_date,quantity,buy_price,sell_price,gross_pnl,gross_return,holding_days
511880.XSHG,2022-01-04,2022-02-07,9900,100.114000,100.319000,2029.500000,0.002048,34
000702.XSHE,2022-02-07,2022-02-10,200,4.790000,5.260000,94.000000,0.098121,3
600520.XSHG,2022-02-07,2022-02-15,100,8.380000,9.400000,102.000000,0.121718,8
603029.XSHG,2022-02-07,2022-02-18,800,14.100000,23.300000,7360.000000,0.652482,11
603029.XSHG,2022-02-07,2022-02-21,100,14.100000,24.570000,1047.000000,0.742553,14
603029.XSHG,2022-02-07,2022-02-22,100,14.100000,24.900000,1080.000000,0.765957,15
603813.XSHG,2022-02-07,2022-02-28,300,14.600000,16.420000,546.000000,0.124658,21
603029.XSHG,2022-02-07,2022-02-28,400,14.100000,19.910000,2324.000000,0.412057,21
603029.XSHG,2022-02-10,2022-02-28,200,14.720000,19.910000,1038.000000,0.352582,18
600520.XSHG,2022-02-07,2022-02-28,2200,8.380000,9.690000,2882.000000,0.156325,21
600455.XSHG,2022-02-07,2022-02-28,800,21.990000,23.500000,1208.000000,0.068668,21
600768.XSHG,2022-02-07,2022-02-28,300,9.120000,10.180000,318.000000,0.116228,21
603029.XSHG,2022-02-10,2022-03-03,1100,14.720000,19.820000,5610.000000,0.346467,21
600137.XSHG,2022-02-10,2022-03-03,1300,14.290000,15.620000,1729.000000,0.093072,21
600768.XSHG,2022-02-07,2022-03-08,1800,9.120000,10.900000,3204.000000,0.195175,29
600768.XSHG,2022-02-10,2022-03-08,700,9.420000,10.900000,1036.000000,0.157113,26
002209.XSHE,2022-02-07,2022-03-08,300,6.710000,7.370000,198.000000,0.098361,29
603389.XSHG,2022-02-07,2022-03-08,400,5.160000,5.400000,96.000000,0.046512,29
600137.XSHG,2022-02-10,2022-03-08,100,14.290000,15.130000,84.000000,0.058782,26
600137.XSHG,2022-02-15,2022-03-08,1400,14.230000,15.130000,1260.000000,0.063247,21
600778.XSHG,2022-02-10,2022-03-08,500,4.470000,4.680000,105.000000,0.046980,26
603958.XSHG,2022-02-18,2022-03-08,500,6.420000,6.650000,115.000000,0.035826,18
