date,value
2025-01-02,997921.0
2025-01-03,998000.2
2025-01-06,998020.0
2025-01-07,998099.2
2025-01-08,998425.9
2025-01-09,998307.1
2025-01-10,998396.2
2025-01-13,998237.7999999999
2025-01-14,998158.6
2025-01-15,998346.7000000001
2025-01-16,998257.6
2025-01-17,998336.7999999999
2025-01-20,998277.4
2025-01-21,998406.1
2025-01-22,998495.2000000001
2025-01-23,998435.8
2025-01-24,998455.6
2025-01-27,999099.1
2025-02-05,1003653.9
2025-02-06,1007347.9
2025-02-07,1014084.9
2025-02-10,1025122.9
2025-02-11,1019450.9
2025-02-12,1019021.9
2025-02-13,1016517.9
2025-02-14,1017270.9
2025-02-17,1034307.9
2025-02-18,1038443.24
2025-02-19,1044453.24
2025-02-20,1041010.24
2025-02-21,1040254.24
2025-02-24,1041701.24
2025-02-25,1041328.24
2025-02-26,1041829.24
2025-02-27,1040120.24
2025-02-28,1042309.24
2025-03-03,1041986.71
2025-03-04,1040932.71
2025-03-05,1035206.71
2025-03-06,1040882.86
2025-03-07,1034812.86
2025-03-10,1054032.8599999999
2025-03-11,1052715.3199999998
2025-03-12,1056758.3199999998
2025-03-13,1048841.3199999998
2025-03-14,1059565.4
2025-03-17,1070600.4
2025-03-18,1076894.4
2025-03-19,1080755.63
2025-03-20,1076584.6099999999
2025-03-21,1075943.6099999999
2025-03-24,1060761.6099999999
2025-03-25,1051707.6099999999
2025-03-26,1058384.6099999999
2025-03-27,1048477.03
2025-03-28,1031333.03
2025-03-31,1019326.03
2025-04-01,1019378.4
2025-04-02,1019454.4
2025-04-03,1019501.9
2025-04-07,1019416.4
2025-04-08,1025372.4
2025-04-09,1031839.9
2025-04-10,1034268.4
2025-04-11,1027614.9000000001
2025-04-14,1027621.4
2025-04-15,1030406.9
2025-04-16,1027634.3999999999
2025-04-17,1025496.4
2025-04-18,1026222.8999999999
2025-04-21,1025594.3999999999
2025-04-22,1025881.9
2025-04-23,1024441.9
2025-04-24,1024688.3999999999
2025-04-25,1024985.3999999999
2025-04-28,1024966.4
2025-04-29,1026545.3999999999
2025-04-30,1029242.9
2025-05-06,1027911.4
2025-05-07,1028871.4
2025-05-08,1030491.4
2025-05-09,1029771.4
2025-05-12,1028451.4
2025-05-13,1027551.4
2025-05-14,1030911.4
2025-05-15,1031751.4
2025-05-16,1030611.4
2025-05-19,1031918.12
2025-05-20,1036374.12
2025-05-21,1032989.12
2025-05-22,1027868.12
2025-05-23,1025083.12
2025-05-26,1028598.12
2025-05-27,1031494.12
2025-05-28,1030694.12
2025-05-29,1036328.12
2025-05-30,1036914.12
2025-06-03,1039431.12
2025-06-04,1041210.12
2025-06-05,1040886.87
2025-06-06,1045255.87
2025-06-09,1050484.87
2025-06-10,1046960.87
2025-06-11,1046680.87
2025-06-12,1048560.87
2025-06-13,1041336.87
2025-06-16,1044624.87
2025-06-17,1042759.87
2025-06-18,1039716.87
2025-06-19,1030330.87
2025-06-20,1028433.87
2025-06-23,1037542.87
2025-06-24,1050073.87
2025-06-25,1050122.87
2025-06-26,1051911.87
2025-06-27,1055657.87
2025-06-30,1059572.87
2025-07-01,1067347.73
2025-07-02,1064259.73
2025-07-03,1063837.73
2025-07-04,1058686.8699999999
2025-07-07,1065029.8699999999
2025-07-08,1068125.8699999999
2025-07-09,1068879.5799999998
2025-07-10,1071400.5799999998
2025-07-11,1066802.5799999998
2025-07-14,1072062.38
2025-07-15,1063771.38
2025-07-16,1066849.38
2025-07-17,1067834.13
2025-07-18,1069152.13
2025-07-21,1080236.13
2025-07-22,1079614.13
2025-07-23,1076444.13
2025-07-24,1081950.13
2025-07-25,1087700.13
2025-07-28,1090508.13
2025-07-29,1098516.13
2025-07-30,1101506.13
2025-07-31,1096524.13
2025-08-01,1095840.13
2025-08-04,1103146.13
2025-08-05,1107368.13
2025-08-06,1107206.13
2025-08-07,1106322.13
2025-08-08,1110814.13
2025-08-11,1118236.13
2025-08-12,1115921.02
2025-08-13,1111163.02
2025-08-14,1094672.02
2025-08-15,1094362.7799999998
2025-08-18,1098042.7799999998
2025-08-19,1115124.7799999998
2025-08-20,1117326.7199999997
2025-08-21,1121171.7199999997
2025-08-22,1113000.7199999997
2025-08-25,1112330.66
2025-08-26,1120356.66
2025-08-27,1103755.66
2025-08-28,1098841.2999999998
2025-08-29,1094848.2999999998
2025-09-01,1099772.2999999998
2025-09-02,1097672.2999999998
2025-09-03,1085435.2999999998
2025-09-04,1090403.2999999998
2025-09-05,1096547.2999999998
2025-09-08,1104833.2999999998
2025-09-09,1103205.2999999998
2025-09-10,1103902.2999999998
2025-09-11,1106214.2999999998
2025-09-12,1101843.2999999998
2025-09-15,1109193.2999999998
2025-09-16,1125517.2999999998
2025-09-17,1120425.2999999998
2025-09-18,1106009.2999999998
2025-09-19,1099709.2999999998
2025-09-22,1095557.2999999998
2025-09-23,1086303.75
2025-09-24,1099822.75
2025-09-25,1091395.75
2025-09-26,1094259.0299999998
2025-09-29,1115347.0299999998
2025-09-30,1136193.0299999998
2025-10-09,1149342.31
2025-10-10,1174798.31
2025-10-13,1152107.31
2025-10-14,1153274.94
2025-10-15,1153844.94
2025-10-16,1148354.94
2025-10-17,1142566.43
2025-10-20,1152690.43
2025-10-21,1165850.43
2025-10-22,1171594.43
2025-10-23,1171631.43
2025-10-24,1177308.43
2025-10-27,1181286.43
2025-10-28,1195162.43
2025-10-29,1179280.96
2025-10-30,1178262.96
2025-10-31,1188685.96
2025-11-03,1193549.96
2025-11-04,1193460.96
2025-11-05,1206411.96
2025-11-06,1207839.96
2025-11-07,1209898.96
2025-11-10,1216713.96
2025-11-11,1219897.96
2025-11-12,1220293.49
2025-11-13,1224132.49
2025-11-14,1230007.49
2025-11-17,1232292.1300000001
2025-11-18,1232716.1300000001
2025-11-19,1216006.1300000001
2025-11-20,1210472.79
2025-11-21,1190817.79
2025-11-24,1203218.79
2025-11-25,1210165.79
2025-11-26,1204412.79
2025-11-27,1208935.79
2025-11-28,1216054.9300000002
2025-12-01,1217379.9300000002
2025-12-02,1214626.9300000002
2025-12-03,1207445.9300000002
2025-12-04,1197949.9300000002
2025-12-05,1204861.9300000002
2025-12-08,1209553.9300000002
2025-12-09,1204502.9300000002
2025-12-10,1196051.9300000002
2025-12-11,1184812.9300000002
2025-12-12,1176484.9300000002
2025-12-15,1180950.9300000002
2025-12-16,1174638.9300000002
2025-12-17,1176821.9300000002
2025-12-18,1185506.9300000002
2025-12-19,1194624.9300000002
2025-12-22,1194423.9300000002
2025-12-23,1195191.9300000002
2025-12-24,1203630.12
2025-12-25,1202524.12
2025-12-26,1198926.12
2025-12-29,1205995.1800000002
2025-12-30,1200827.1800000002
2025-12-31,1200189.1800000002
