date,total_signals,buy_count,sell_count,skip_count,buy_new,buy_defense,sell_phase,sell_defense,skip_cash_insufficient
2020-01-02,1,1,0,0,0,1,0,0,0
2020-02-03,11,10,1,0,10,0,1,0,0
2020-02-06,13,10,3,0,10,0,3,0,0
2020-02-11,15,10,5,0,10,0,5,0,0
2020-02-14,14,11,3,0,11,0,3,0,0
2020-02-19,14,11,2,1,11,0,2,0,1
2020-02-21,1,0,1,0,0,0,1,0,0
2020-02-24,23,11,12,0,11,0,12,0,0
2020-02-27,5,3,2,0,3,0,2,0,0
2020-03-03,8,5,3,0,5,0,3,0,0
2020-03-06,9,3,5,1,3,0,5,0,1
2020-03-11,17,0,1,16,0,0,1,0,16
2020-03-13,1,0,1,0,0,0,1,0,0
2020-03-16,16,11,4,1,11,0,4,0,1
2020-03-19,13,8,5,0,8,0,5,0,0
2020-03-20,2,0,2,0,0,0,2,0,0
2020-03-24,16,9,7,0,9,0,7,0,0
2020-03-26,1,0,1,0,0,0,1,0,0
2020-03-27,14,8,6,0,8,0,6,0,0
2020-03-30,1,0,1,0,0,0,1,0,0
2020-03-31,1,0,1,0,0,0,1,0,0
2020-04-01,17,1,16,0,0,1,0,16,0
2020-05-06,11,10,1,0,10,0,1,0,0
2020-05-11,10,10,0,0,10,0,0,0,0
2020-05-14,10,10,0,0,10,0,0,0,0
2020-05-19,10,10,0,0,10,0,0,0,0
2020-05-21,2,0,2,0,0,0,2,0,0
2020-05-22,12,11,1,0,11,0,1,0,0
2020-05-25,1,0,1,0,0,0,1,0,0
2020-05-27,13,3,9,1,3,0,9,0,1
2020-05-29,1,0,1,0,0,0,1,0,0
2020-06-01,11,10,0,1,10,0,0,0,1
2020-06-03,1,0,0,1,0,0,0,0,1
2020-06-04,16,8,2,6,8,0,2,0,6
2020-06-05,2,0,2,0,0,0,2,0,0
2020-06-09,15,13,1,1,13,0,1,0,1
2020-06-10,1,0,1,0,0,0,1,0,0
2020-06-11,1,1,0,0,1,0,0,0,0
2020-06-12,15,6,7,2,6,0,7,0,2
2020-06-17,14,10,4,0,10,0,4,0,0
2020-06-22,15,6,4,5,6,0,4,0,5
2020-06-29,15,6,6,3,6,0,6,0,3
2020-07-01,1,0,1,0,0,0,1,0,0
2020-07-02,15,10,4,1,10,0,4,0,1
2020-07-07,15,8,6,1,8,0,6,0,1
2020-07-10,15,10,4,1,10,0,4,0,1
2020-07-14,1,0,0,1,0,0,0,0,1
2020-07-15,12,5,6,1,5,0,6,0,1
2020-07-20,11,5,5,1,5,0,5,0,1
2020-07-23,13,4,5,4,4,0,5,0,4
2020-07-28,11,4,4,3,4,0,4,0,3
2020-07-31,9,4,5,0,4,0,5,0,0
2020-08-05,10,5,5,0,5,0,5,0,0
2020-08-06,1,0,1,0,0,0,1,0,0
2020-08-10,17,3,1,13,3,0,1,0,13
2020-08-11,1,0,1,0,0,0,1,0,0
2020-08-12,1,0,1,0,0,0,1,0,0
2020-08-13,9,6,3,0,6,0,3,0,0
2020-08-14,1,0,1,0,0,0,1,0,0
2020-08-18,9,6,3,0,6,0,3,0,0
2020-08-20,1,0,1,0,0,0,1,0,0
2020-08-21,7,5,2,0,5,0,2,0,0
2020-08-25,1,1,0,0,1,0,0,0,0
2020-08-26,10,4,6,0,4,0,6,0,0
2020-08-31,12,3,8,1,3,0,8,0,1
2020-09-02,1,0,1,0,0,0,1,0,0
2020-09-03,14,6,6,2,6,0,6,0,2
2020-09-08,15,9,6,0,9,0,6,0,0
2020-09-09,1,0,1,0,0,0,1,0,0
2020-09-10,1,0,0,1,0,0,0,0,1
2020-09-11,18,6,7,5,6,0,7,0,5
2020-09-15,3,0,1,2,0,0,1,0,2
2020-09-16,15,10,5,0,10,0,5,0,0
2020-09-21,15,5,9,1,5,0,9,0,1
2020-09-24,15,10,5,0,10,0,5,0,0
2020-09-29,19,11,7,1,11,0,7,0,1
2020-09-30,1,0,1,0,0,0,1,0,0
2020-10-12,11,6,4,1,6,0,4,0,1
2020-10-15,14,9,4,1,9,0,4,0,1
2020-10-19,1,0,1,0,0,0,1,0,0
2020-10-20,13,9,4,0,9,0,4,0,0
2020-10-23,14,9,5,0,9,0,5,0,0
2020-10-28,11,6,5,0,6,0,5,0,0
2020-11-02,17,10,6,1,10,0,6,0,1
2020-11-05,15,8,6,1,8,0,6,0,1
2020-11-10,13,6,6,1,6,0,6,0,1
2020-11-12,1,0,1,0,0,0,1,0,0
2020-11-13,15,8,6,1,8,0,6,0,1
2020-11-18,9,4,5,0,4,0,5,0,0
2020-11-23,9,3,6,0,3,0,6,0,0
2020-11-26,14,9,5,0,9,0,5,0,0
2020-12-01,14,8,3,3,8,0,3,0,3
2020-12-04,12,6,5,1,6,0,5,0,1
2020-12-09,10,6,3,1,6,0,3,0,1
2020-12-14,15,10,5,0,10,0,5,0,0
2020-12-17,13,8,5,0,8,0,5,0,0
2020-12-22,14,8,5,1,8,0,5,0,1
2020-12-25,13,4,7,2,4,0,7,0,2
2020-12-30,14,9,3,2,9,0,3,0,2
2021-01-04,15,1,14,0,0,1,0,14,0
2021-02-01,1,0,1,0,0,0,1,0,0
2021-02-02,10,10,0,0,10,0,0,0,0
2021-02-05,11,11,0,0,11,0,0,0,0
2021-02-10,11,11,0,0,11,0,0,0,0
2021-02-22,11,10,1,0,10,0,1,0,0
2021-02-23,2,0,2,0,0,0,2,0,0
2021-02-24,1,0,1,0,0,0,1,0,0
2021-02-25,15,11,2,2,11,0,2,0,2
2021-02-26,1,0,1,0,0,0,1,0,0
2021-03-01,2,1,1,0,1,0,1,0,0
2021-03-02,14,10,4,0,10,0,4,0,0
2021-03-05,15,7,5,3,7,0,5,0,3
2021-03-10,19,9,3,7,9,0,3,0,7
2021-03-15,15,9,4,2,9,0,4,0,2
2021-03-18,16,9,3,4,9,0,3,0,4
2021-03-19,2,0,2,0,0,0,2,0,0
2021-03-22,1,0,1,0,0,0,1,0,0
2021-03-23,12,9,3,0,9,0,3,0,0
2021-03-25,1,1,0,0,1,0,0,0,0
2021-03-26,13,6,6,1,6,0,6,0,1
2021-03-29,1,0,0,1,0,0,0,0,1
2021-03-31,13,6,7,0,6,0,7,0,0
2021-04-01,15,1,14,0,0,1,0,14,0
2021-05-06,1,0,1,0,0,0,1,0,0
2021-05-10,10,10,0,0,10,0,0,0,0
2021-05-13,10,10,0,0,10,0,0,0,0
2021-05-18,10,10,0,0,10,0,0,0,0
2021-05-21,10,10,0,0,10,0,0,0,0
2021-05-24,1,0,1,0,0,0,1,0,0
2021-05-26,12,11,1,0,11,0,1,0,0
2021-05-31,10,7,3,0,7,0,3,0,0
2021-06-03,10,6,4,0,6,0,4,0,0
2021-06-04,1,0,1,0,0,0,1,0,0
2021-06-08,12,9,3,0,9,0,3,0,0
2021-06-11,11,5,6,0,5,0,6,0,0
2021-06-17,8,5,3,0,5,0,3,0,0
2021-06-22,10,4,5,1,4,0,5,0,1
2021-06-25,9,3,5,1,3,0,5,0,1
2021-06-29,1,0,1,0,0,0,1,0,0
2021-06-30,10,7,3,0,7,0,3,0,0
2021-07-01,1,0,1,0,0,0,1,0,0
2021-07-02,1,0,1,0,0,0,1,0,0
2021-07-05,12,10,2,0,10,0,2,0,0
2021-07-08,12,7,5,0,7,0,5,0,0
2021-07-13,13,8,3,2,8,0,3,0,2
2021-07-16,15,5,8,2,5,0,8,0,2
2021-07-21,15,5,7,3,5,0,7,0,3
2021-07-26,12,7,4,1,7,0,4,0,1
2021-07-29,14,7,2,5,7,0,2,0,5
2021-08-03,14,6,5,3,6,0,5,0,3
2021-08-06,11,5,3,3,5,0,3,0,3
2021-08-11,7,4,3,0,4,0,3,0,0
2021-08-16,10,4,4,2,4,0,4,0,2
2021-08-19,14,6,5,3,6,0,5,0,3
2021-08-24,9,2,3,4,2,0,3,0,4
2021-08-27,12,7,4,1,7,0,4,0,1
2021-09-01,14,6,5,3,6,0,5,0,3
