date,signals_count,buy_count,sell_count,skip_count,executable_count,rejected_count,risk_status,cumulative_drawdown,rolling_20d_return,rolling_20d_winrate,consecutive_losses,rejection_rate,action_tomorrow
2020-01-02,1,1,0,0,0,1,NORMAL,0.0,,,0,0.0,continue
2020-01-03,0,0,0,0,0,0,NORMAL,0.0,,,0,0.0,continue
2020-01-06,0,0,0,0,0,0,NORMAL,0.0,,,0,0.0,continue
2020-01-07,0,0,0,0,0,0,NORMAL,0.0,,,0,0.0,continue
2020-01-08,0,0,0,0,0,0,NORMAL,0.0,,,0,0.0,continue
2020-01-09,0,0,0,0,0,0,NORMAL,0.0,,,0,0.0,continue
2020-01-10,0,0,0,0,0,0,NORMAL,0.0,,,0,0.0,continue
2020-01-13,0,0,0,0,0,0,NORMAL,0.0,,,0,0.0,continue
2020-01-14,0,0,0,0,0,0,NORMAL,0.0,,,0,0.0,continue
2020-01-15,0,0,0,0,0,0,NORMAL,0.0,,,0,0.0,continue
2020-01-16,0,0,0,0,0,0,NORMAL,0.0,,,0,0.0,continue
2020-01-17,0,0,0,0,0,0,NORMAL,0.0,,,0,0.0,continue
2020-01-20,0,0,0,0,0,0,NORMAL,-0.00010872240195642745,,,1,0.0,continue
2020-01-21,0,0,0,0,0,0,NORMAL,0.0,,,0,0.0,continue
2020-01-22,0,0,0,0,0,0,NORMAL,0.0,,,0,0.0,continue
2020-01-23,0,0,0,0,0,0,NORMAL,0.0,,,0,0.0,continue
2020-02-03,11,10,1,0,11,0,NORMAL,-0.002486982977528902,,,1,0.0,continue
2020-02-04,0,0,0,0,0,0,NORMAL,0.0,,,0,0.0,continue
2020-02-05,0,0,0,0,0,0,NORMAL,0.0,,,0,0.0,continue
2020-02-06,13,10,3,0,3,10,NORMAL,0.0,,,0,0.0,continue
2020-02-07,0,0,0,0,0,0,NORMAL,0.0,0.026784562978713566,0.9,0,0.0,continue
2020-02-10,0,0,0,0,0,0,NORMAL,0.0,0.03469430021568165,0.9,0,0.0,continue
2020-02-11,15,10,5,0,5,10,NORMAL,-0.008587216247063708,0.025687360317705688,0.85,1,0.0,continue
2020-02-12,0,0,0,0,0,0,NORMAL,-0.0006802680344349069,0.03374492476713664,0.85,0,0.0,continue
2020-02-13,0,0,0,0,0,0,NORMAL,-0.010541493123563166,0.023493366175614705,0.8,1,0.0,continue
2020-02-14,14,11,3,0,4,10,NORMAL,-0.009636816528371391,0.024226514962677914,0.8,0,0.0,continue
2020-02-17,0,0,0,0,0,0,NORMAL,0.0,0.056279711578103964,0.8,0,0.0,continue
2020-02-18,0,0,0,0,0,0,NORMAL,0.0,0.07824819046390008,0.8,0,0.0,continue
2020-02-19,14,11,2,1,3,11,NORMAL,-0.01155533104994708,0.0657043703684026,0.75,1,0.0833,continue
2020-02-20,0,0,0,0,0,0,NORMAL,0.0,0.09353400371049814,0.75,0,0.0,continue
2020-02-21,1,0,1,0,1,0,NORMAL,0.0,0.09990036275743597,0.75,0,0.0,continue
2020-02-24,23,11,12,0,14,9,NORMAL,-0.0011041783219805951,0.09880534137653751,0.7,1,0.0,continue
2020-02-25,0,0,0,0,0,0,NORMAL,-0.017009639809782522,0.08118076752664694,0.7,2,0.0,continue
2020-02-26,0,0,0,0,0,0,WARNING,-0.022170768270642065,0.07518529046238687,0.65,3,0.0,warn
2020-02-27,5,3,2,0,2,3,NORMAL,-0.019803211781315132,0.07684160142158891,0.65,0,0.0,continue
2020-02-28,0,0,0,0,0,0,NORMAL,-0.07893380489672727,0.014403692790611267,0.6,1,0.0,continue
2020-03-02,0,0,0,0,0,0,NORMAL,-0.04430359507634165,0.04680440619340698,0.65,0,0.0,continue
2020-03-03,8,5,3,0,6,2,NORMAL,-0.038800721123833565,0.04607376498985727,0.65,0,0.0,continue
2020-03-04,0,0,0,0,0,0,NORMAL,-0.019951619186054724,0.05829285851857935,0.65,0,0.0,continue
2020-03-05,0,0,0,0,0,0,NORMAL,0.0,0.07796924976015163,0.65,0,0.0,continue
2020-03-06,9,3,5,1,6,3,NORMAL,0.0,0.07658816875176,0.65,0,0.25,continue
2020-03-09,0,0,0,0,0,0,NORMAL,-0.018877525195389964,0.06541378705311818,0.6,1,0.0,continue
2020-03-10,0,0,0,0,0,0,NORMAL,0.0,0.08989279647394444,0.65,0,0.0,continue
