date,jq_total_value,local_total_value,value_diff,jq_cash,local_cash,cash_diff,jq_position_value,local_position_value,position_value_diff,jq_position_count,local_position_count
2025-01-02,999901.0,8800363.479999997,7800462.479999997,9198.1,0.0,-9198.1,990702.9,0.0,-990702.9,1,
2025-01-03,999980.2,8801041.079999996,7801060.879999996,9198.1,0.0,-9198.1,990782.1,0.0,-990782.1,1,
2025-01-06,1000000.0,8801210.479999999,7801210.479999999,9198.1,0.0,-9198.1,990801.9,0.0,-990801.9,1,
2025-01-07,1000079.2,8801888.079999998,7801808.879999998,9198.1,0.0,-9198.1,990881.1,0.0,-990881.1,1,
2025-01-08,1000405.9,8804683.179999998,7804277.2799999975,9198.1,0.0,-9198.1,991207.8,0.0,-991207.8,1,
2025-01-09,1000287.1,8803666.779999997,7803379.679999998,9198.1,0.0,-9198.1,991089.0,0.0,-991089.0,1,
2025-01-10,1000376.2,8804429.079999998,7804052.879999998,9198.1,0.0,-9198.1,991178.1,0.0,-991178.1,1,
2025-01-13,1000217.8,8803073.879999997,7802856.079999997,9198.1,0.0,-9198.1,991019.7000000001,0.0,-991019.7000000001,1,
2025-01-14,1000138.6,8802396.279999997,7802257.679999998,9198.1,0.0,-9198.1,990940.5,0.0,-990940.5,1,
2025-01-15,1000326.7,8804005.579999998,7803678.879999998,9198.1,0.0,-9198.1,991128.6,0.0,-991128.6,1,
2025-01-16,1000237.6,8803243.279999997,7803005.679999998,9198.1,0.0,-9198.1,991039.5,0.0,-991039.5,1,
2025-01-17,1000316.8,8803920.879999997,7803604.079999997,9198.1,0.0,-9198.1,991118.7000000001,0.0,-991118.7000000001,1,
2025-01-20,1000257.4,8803412.679999998,7803155.2799999975,9198.1,0.0,-9198.1,991059.3,0.0,-991059.3,1,
2025-01-21,1000386.1,8804513.779999997,7804127.679999998,9198.1,0.0,-9198.1,991188.0,0.0,-991188.0,1,
2025-01-22,1000475.2,8805276.079999998,7804800.879999998,9198.1,0.0,-9198.1,991277.1,0.0,-991277.1,1,
2025-01-23,1000415.8,8804767.879999997,7804352.079999997,9198.1,0.0,-9198.1,991217.7000000001,0.0,-991217.7000000001,1,
2025-01-24,1000435.6,8804937.279999997,7804501.679999998,9198.1,0.0,-9198.1,991237.5,0.0,-991237.5,1,
2025-01-27,1001079.1,8810442.779999997,7809363.679999998,9198.1,0.0,-9198.1,991881.0,0.0,-991881.0,1,
2025-02-05,1009580.9,8809765.179999998,7800184.2799999975,804121.9,0.0,-804121.9,205459.0,0.0,-205459.0,10,
2025-02-06,1013365.88,8812974.259999998,7799608.379999998,809130.88,0.0,-809130.88,204235.0,0.0,-204235.0,10,
2025-02-07,1018218.88,8854908.259999998,7836689.379999998,809130.88,0.0,-809130.88,209088.0,0.0,-209088.0,10,
2025-02-10,1034789.22,8939581.259999998,7904792.039999998,616581.22,0.0,-616581.22,418208.0,0.0,-418208.0,11,
2025-02-11,1035201.22,8917327.569999997,7882126.349999997,616581.22,0.0,-616581.22,418620.0,0.0,-418620.0,11,
2025-02-12,1031578.26,8891982.719999997,7860404.459999997,623518.26,0.0,-623518.26,408060.0,0.0,-408060.0,11,
