date,code,side,jq_price,local_price,price_diff,jq_amount,local_amount,amount_diff,jq_value,local_value,value_diff,jq_commission,local_commission,commission_diff,match_status,diff_reason
2025-01-02,511880.XSHG,buy,100.081,100.081,0.0,9900,9900,0,990801.9,990801.9,0.0,0.0,0.0,0.0,exact_match,
2025-02-05,000668.XSHE,buy,6.32,6.32,0.0,3100,3100,0,19592.0,19592.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-05,000691.XSHE,buy,2.86,2.86,0.0,6900,6900,0,19734.0,19734.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-05,000929.XSHE,buy,6.26,6.26,0.0,3100,3100,0,19406.0,19406.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-05,002620.XSHE,buy,2.99,2.99,0.0,6600,6600,0,19734.0,19734.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-05,002848.XSHE,buy,5.74,5.74,0.0,3400,3400,0,19516.0,19516.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-05,300929.XSHE,buy,8.67,8.67,0.0,2300,2300,0,19941.0,19941.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-05,511880.XSHG,sell,100.182,100.182,0.0,0,9900,9900,0.0,991801.8,991801.8,0.0,0.0,0.0,amount_diff,fill quantity difference
2025-02-05,600193.XSHG,buy,2.62,2.62,0.0,7600,7600,0,19912.0,19912.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-05,600421.XSHG,buy,5.32,5.32,0.0,3700,3700,0,19684.0,19684.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-05,603813.XSHG,buy,9.21,9.21,0.0,2100,2100,0,19341.0,19341.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-05,605081.XSHG,buy,8.32,8.32,0.0,2400,2400,0,19968.0,19968.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-06,600193.XSHG,sell,3.21,3.21,0.0,0,1200,1200,0.0,3852.0,3852.0,8.85,5.0,-3.8499999999999996,amount_diff,fill quantity difference
2025-02-06,600421.XSHG,sell,5.86,5.86,0.0,0,200,200,0.0,1172.0,1172.0,6.17,5.0,-1.17,amount_diff,fill quantity difference
