date,jq_total_value,local_total_value,value_diff,jq_cash,local_cash,cash_diff,jq_position_value,local_position_value,position_value_diff,jq_position_count,local_position_count,position_count_diff,alignment_status,first_difference_field
2026-05-06,1001161.0,1001161.0,0.0,805259.0,805259.0,0.0,195902.0,195902.0,0.0,10,10,,MATCH,
2026-05-07,1001845.0,1001845.0,0.0,805259.0,805259.0,0.0,196586.0,196586.0,0.0,10,10,,MATCH,
2026-05-08,1004250.0,1004250.0,0.0,805259.0,805259.0,0.0,198991.0,198991.0,0.0,10,10,,MATCH,
2026-05-11,1006704.0,1006704.0,0.0,608407.0,608407.0,0.0,398297.0,398297.0,0.0,11,11,,MATCH,
2026-05-12,1002712.0,1002712.0,0.0,608407.0,608407.0,0.0,394305.0,394305.0,0.0,11,11,,MATCH,
2026-05-13,1002141.0,1002141.0,0.0,608407.0,608407.0,0.0,393734.0,393734.0,0.0,11,11,,MATCH,
2026-05-14,1009405.0,1009392.28,-12.71999999997206,410485.0,411202.28,717.2800000000279,598920.0,598190.0,-730.0,12,12,,ROOT_DIVERGENCE,cash
2026-05-15,1000895.0,1000893.28,-1.7199999999720603,410485.0,411202.28,717.2800000000279,590410.0,589691.0,-719.0,12,12,,CASCADE_DIVERGENCE,
2026-05-18,1007618.0,1007607.28,-10.71999999997206,410485.0,411202.28,717.2800000000279,597133.0,596405.0,-728.0,12,12,,CASCADE_DIVERGENCE,
2026-05-19,1006694.04,1006659.34,-34.70000000006985,207908.04,208881.34000000003,973.3000000000175,798786.0,797778.0,-1008.0,12,12,,CASCADE_DIVERGENCE,
2026-05-20,994873.04,994865.34,-7.700000000069849,207908.04,208881.34000000003,973.3000000000175,786965.0,785984.0,-981.0,12,12,,CASCADE_DIVERGENCE,
2026-05-21,964765.04,964805.34,40.29999999993015,207908.04,208881.34000000003,973.3000000000175,756857.0,755924.0,-933.0,12,12,,CASCADE_DIVERGENCE,
2026-05-22,995178.04,995214.34,36.29999999993015,10199.04,10235.340000000026,36.30000000002474,984979.0,984979.0,0.0,13,13,,CASCADE_DIVERGENCE,
2026-05-25,977240.04,977276.34,36.29999999993015,10199.04,10235.340000000026,36.30000000002474,967041.0,967041.0,0.0,13,13,,CASCADE_DIVERGENCE,
2026-05-26,958263.04,958301.34,38.29999999993015,10199.04,4113.340000000026,-6085.699999999975,948064.0,954188.0,6124.0,13,13,,CASCADE_DIVERGENCE,
2026-05-27,935438.27,935373.34,-64.93000000005122,5323.27,4113.340000000026,-1209.9299999999748,930115.0,931260.0,1145.0,13,13,,CASCADE_DIVERGENCE,
2026-05-28,933795.27,935373.34,1578.0699999999488,5323.27,4113.340000000026,-1209.9299999999748,928472.0,931260.0,2788.0,13,13,,CASCADE_DIVERGENCE,
2026-05-29,907128.27,935373.34,28245.06999999995,5323.27,4113.340000000026,-1209.9299999999748,901805.0,931260.0,29455.0,13,13,,CASCADE_DIVERGENCE,
2026-06-01,930927.41,935373.34,4445.929999999935,5291.41,4113.340000000026,-1178.0699999999742,925636.0,931260.0,5624.0,14,13,,CASCADE_DIVERGENCE,
