date,code,side,jq_price,local_price,price_diff,jq_amount,local_amount,amount_diff,jq_value,local_value,value_diff,jq_commission,local_commission,commission_diff,match_status,diff_reason
2026-05-06,301098.XSHE,buy,9.63,9.63,0.0,2000,2000,0,19260.0,19260.0,0.0,,,,exact_match,
2026-05-06,600455.XSHG,buy,28.5,28.5,0.0,700,700,0,19950.0,19950.0,0.0,,,,exact_match,
2026-05-06,300665.XSHE,buy,8.6,8.6,0.0,2300,2300,0,19780.0,19780.0,0.0,,,,exact_match,
2026-05-06,300929.XSHE,buy,14.29,14.29,0.0,1300,1300,0,18577.0,18577.0,0.0,,,,exact_match,
2026-05-06,300417.XSHE,buy,14.26,14.26,0.0,1400,1400,0,19964.0,19964.0,0.0,,,,exact_match,
2026-05-06,300405.XSHE,buy,7.06,7.06,0.0,2800,2800,0,19768.0,19768.0,0.0,,,,exact_match,
2026-05-06,600561.XSHG,buy,7.07,7.07,0.0,2800,2800,0,19796.0,19796.0,0.0,,,,exact_match,
2026-05-06,301167.XSHE,buy,17.8,17.8,0.0,1100,1100,0,19580.0,19580.0,0.0,,,,exact_match,
2026-05-06,600697.XSHG,buy,12.64,12.64,0.0,1500,1500,0,18960.0,18960.0,0.0,,,,exact_match,
2026-05-06,300500.XSHE,buy,11.91,11.91,0.0,1600,1600,0,19056.0,19056.0,0.0,,,,exact_match,
2026-05-11,301098.XSHE,buy,9.79,9.79,0.0,2100,2100,0,20559.0,20559.0,0.0,,,,exact_match,
2026-05-11,600455.XSHG,buy,29.39,29.39,0.0,600,600,0,17634.0,17634.0,0.0,,,,exact_match,
2026-05-11,300665.XSHE,buy,9.09,9.09,0.0,2100,2100,0,19089.0,19089.0,0.0,,,,exact_match,
2026-05-11,300929.XSHE,buy,14.72,14.72,0.0,1400,1400,0,20608.0,20608.0,0.0,,,,exact_match,
2026-05-11,300417.XSHE,buy,15.47,15.47,0.0,1200,1200,0,18564.0,18564.0,0.0,,,,exact_match,
2026-05-11,300405.XSHE,buy,7.17,7.17,0.0,2800,2800,0,20076.0,20076.0,0.0,,,,exact_match,
2026-05-11,600561.XSHG,buy,7.13,7.13,0.0,2800,2800,0,19964.0,19964.0,0.0,,,,exact_match,
2026-05-11,301167.XSHE,buy,18.02,18.02,0.0,1100,1100,0,19822.0,19822.0,0.0,,,,exact_match,
2026-05-11,600697.XSHG,buy,12.84,12.84,0.0,1600,1600,0,20544.0,20544.0,0.0,,,,exact_match,
2026-05-11,600493.XSHG,buy,7.67,7.67,0.0,2600,2600,0,19942.0,19942.0,0.0,,,,exact_match,
2026-05-14,301098.XSHE,buy,10.8,10.8,0.0,1400,1400,0,15120.000000000002,15120.000000000002,0.0,,,,exact_match,
2026-05-14,600455.XSHG,buy,29.04,29.04,0.0,700,700,0,20328.0,20328.0,0.0,,,,exact_match,
2026-05-14,300665.XSHE,buy,9.25,9.25,0.0,2100,2100,0,19425.0,19425.0,0.0,,,,exact_match,
2026-05-14,300929.XSHE,buy,14.14,14.14,0.0,1500,1500,0,21210.0,21210.0,0.0,,,,exact_match,
2026-05-14,300417.XSHE,buy,15.24,15.24,0.0,1300,1300,0,19812.0,19812.0,0.0,,,,exact_match,
2026-05-14,600561.XSHG,buy,7.03,7.03,0.0,2900,2900,0,20387.0,20387.0,0.0,,,,exact_match,
2026-05-14,301167.XSHE,buy,17.73,17.73,0.0,1200,1200,0,21276.0,21276.0,0.0,,,,exact_match,
2026-05-14,600697.XSHG,buy,12.44,12.44,0.0,1700,1700,0,21148.0,21148.0,0.0,,,,exact_match,
2026-05-14,600493.XSHG,buy,7.37,7.37,0.0,2800,2800,0,20636.0,20636.0,0.0,,,,exact_match,
2026-05-14,300535.XSHE,buy,18.53,18.53,0.0,1000,1000,0,18530.0,18530.0,0.0,,,,exact_match,
2026-05-19,301098.XSHE,buy,10.66,10.66,0.0,2000,2000,0,21320.0,21320.0,0.0,,,,exact_match,
