file_path,exists,data_type,start_date,end_date,row_count,has_trade_price,has_trade_qty,has_trade_fee,has_cash,has_total_asset,has_position_market_value,has_position_detail,is_full_period,usable_for_trade_reconcile,usable_for_equity_reconcile,evidence_level,notes
母版交易记录-20250101-20251231.txt,True,jq_trade_txt,2025-01-02,2025-12-29,647,True,True,True,False,False,False,False,False,True,False,B,txt parsed: 647 date-prefixed rows
母版持仓&资金记录-20250101-20250618.txt,True,jq_portfolio_txt,2025-01-02,2025-06-19,110,False,False,False,True,True,False,True,False,False,True,B,"txt parsed: 110 date rows, 110 unique dates"
母版交易记录-20260501-20260623.txt,True,jq_trade_txt,2026-05-06,2026-06-23,112,True,True,True,False,False,False,False,False,True,False,B,txt parsed: 112 date-prefixed rows
母版持仓&资金记录-20260501-20260623.txt,True,jq_portfolio_txt,2026-05-06,2026-06-24,35,False,False,False,True,True,True,True,False,False,True,B,"txt parsed: 35 date rows, 35 unique dates"
research\local_port_v0\task_004\jq_trades_2025.csv,True,jq_trade_csv_cleaned,2025-01-02,2025-12-29,645,True,True,True,False,False,False,True,False,True,False,B,"cols=['trade_date', 'code', 'side', 'quantity', 'price', 'commission']"
research\local_port_v0\task_004\local_trades_2025_v2.csv,True,local_trade_csv_v2,2025-01-02,2025-12-29,641,True,True,True,False,False,False,True,False,True,False,B,"cols=['time', 'code', 'amount', 'price', 'commission', 'tax', 'trade_id', 'order_id']"
research\local_port_v0\task_003\jq_trades_normalized.csv,True,jq_trade_csv_cleaned_2026,2026-05-06,2026-06-23,112,True,True,True,False,False,False,True,False,True,False,B,"cols=['trade_date', 'trade_time', 'source_timestamp', 'source_sequence', 'source_line_no', 'raw_security_code', 'normalized_security_code', 'security_name']"
research\local_port_v0\task_003\jq_portfolio_normalized.csv,True,jq_portfolio_csv_cleaned_2026,2026-05-06,2026-06-24,507,True,True,False,True,True,True,True,False,False,True,B,"cols=['record_date', 'record_time', 'snapshot_type', 'source_sequence', 'source_line_no', 'available_cash', 'total_asset', 'reported_position_market_value']"
research\local_port_v0\task_003\jq_cash_enhanced.csv,True,jq_cash_csv_cleaned_2026,2026-05-07,2026-06-24,34,False,True,True,True,False,False,False,False,False,True,B,"cols=['date', 'opening_cash', 'buy_amount', 'sell_amount', 'reported_fees', 'reported_other_fees', 'expected_closing_cash', 'observed_closing_cash']"
research\local_port_v0\task_003\daily_alignment.csv,True,alignment_daily_2026,2026-05-06,2026-06-24,35,False,False,False,True,False,False,True,False,False,True,B,"cols=['date', 'jq_start_cash', 'local_start_cash', 'jq_start_asset', 'local_start_asset', 'jq_end_cash', 'local_end_cash', 'jq_end_asset']"
research\local_port_v0\task_003\first_divergence.json,True,first_divergence_json,2026-05-14,2026-05-14,1,False,False,False,False,False,False,False,False,False,False,C,"first_div_date=2026-05-14, sec=300405.XSHE"
research\local_port_v0\task_005_optimize\runs\r3_full_2020_202605_research\equity.csv,True,r3_full_equity_reference,2020-01-02,2026-05-28,1549,False,False,False,False,False,False,False,False,False,False,C,"cols=['date', 'value']"
research\local_port_v0\task_005_optimize\runs\r3_full_2020_202605_research\trades.csv,True,r3_full_trades_reference,2020-01-02,2026-05-28,5005,True,True,True,False,False,False,True,False,False,False,C,"cols=['time', 'code', 'amount', 'price', 'commission', 'tax', 'trade_id', 'order_id']"
research\local_port_v0\task_005_optimize\runs\r3_full_2020_202605_research\closed_trades.csv,True,r3_full_closed_trades_reference,,,4537,True,True,False,False,False,False,True,False,False,False,C,"cols=['code', 'open_date', 'close_date', 'quantity', 'buy_price', 'sell_price', 'gross_pnl', 'gross_return']"
research\local_port_v0\task_005_optimize\runs\r2_missing_202606_research\manifest.json,True,r2_missing_202606_manifest,2026-06-01,2026-06-30,1,False,False,False,False,False,False,False,False,False,False,C,"engine_mode=research, init_cash=1000000"
