date,time,snapshot_type,total_asset,cash,available_cash,position_market_value_reported,position_market_value_calculated,position_count,code,position_qty,available_qty,market_price,market_value,source_file,source_line_no,parse_status
2020-01-02,,account,1000069.3,8950.6,8950.6,991118.7,991118.7,1,,,,,,母版持仓&资金记录-20200101-20200611.txt,0,parsed
2020-01-03,,account,1000415.8,8950.6,8950.6,991465.2,991465.2,1,,,,,,母版持仓&资金记录-20200101-20200611.txt,0,parsed
2020-01-06,,account,1000455.4,8950.6,8950.6,991504.8,991504.8,1,,,,,,母版持仓&资金记录-20200101-20200611.txt,0,parsed
2020-01-07,,account,1000574.2,8950.6,8950.6,991623.6,991623.6,1,,,,,,母版持仓&资金记录-20200101-20200611.txt,0,parsed
2020-01-08,,account,1000693.0,8950.6,8950.6,991742.4,991742.4,1,,,,,,母版持仓&资金记录-20200101-20200611.txt,0,parsed
2020-01-09,,account,1000742.5,8950.6,8950.6,991791.9,991791.9,1,,,,,,母版持仓&资金记录-20200101-20200611.txt,0,parsed
2020-01-10,,account,1000940.5,8950.6,8950.6,991989.9,991989.9,1,,,,,,母版持仓&资金记录-20200101-20200611.txt,0,parsed
2020-01-13,,account,1001019.7,8950.6,8950.6,992069.1,992069.1,1,,,,,,母版持仓&资金记录-20200101-20200611.txt,0,parsed
2020-01-14,,account,1001168.2,8950.6,8950.6,992217.6,992217.6,1,,,,,,母版持仓&资金记录-20200101-20200611.txt,0,parsed
2020-01-15,,account,1001247.4,8950.6,8950.6,992296.8,992296.8,1,,,,,,母版持仓&资金记录-20200101-20200611.txt,0,parsed
2020-01-16,,account,1001267.2,8950.6,8950.6,992316.6,992316.6,1,,,,,,母版持仓&资金记录-20200101-20200611.txt,0,parsed
2020-01-17,,account,1001633.5,8950.6,8950.6,992682.9,992682.9,1,,,,,,母版持仓&资金记录-20200101-20200611.txt,0,parsed
2020-01-20,,account,1001524.6,8950.6,8950.6,992574.0,992574.0,1,,,,,,母版持仓&资金记录-20200101-20200611.txt,0,parsed
2020-01-21,,account,1001643.4,8950.6,8950.6,992692.8,992692.8,1,,,,,,母版持仓&资金记录-20200101-20200611.txt,0,parsed
