date,time,snapshot_type,total_asset,cash,available_cash,position_market_value_reported,position_market_value_calculated,position_count,code,position_qty,available_qty,market_price,market_value,source_file,source_line_no,parse_status
2026-05-06,,account,1001161.0,805259.0,805259.0,195902.0,195902.0,10,,,,,,母版持仓&资金记录-20260501-20260623.txt,6,parsed
2026-05-07,,account,1001845.0,805259.0,805259.0,196586.0,196586.0,10,,,,,,母版持仓&资金记录-20260501-20260623.txt,19,parsed
2026-05-08,,account,1004250.0,805259.0,805259.0,198991.0,198991.0,10,,,,,,母版持仓&资金记录-20260501-20260623.txt,32,parsed
2026-05-11,,account,1006704.0,608407.0,608407.0,398297.0,398297.0,11,,,,,,母版持仓&资金记录-20260501-20260623.txt,45,parsed
2026-05-12,,account,1002712.0,608407.0,608407.0,394305.0,394305.0,11,,,,,,母版持仓&资金记录-20260501-20260623.txt,59,parsed
2026-05-13,,account,1002141.0,608407.0,608407.0,393734.0,393734.0,11,,,,,,母版持仓&资金记录-20260501-20260623.txt,73,parsed
2026-05-14,,account,1009405.0,410485.0,410485.0,598920.0,598920.0,12,,,,,,母版持仓&资金记录-20260501-20260623.txt,87,parsed
2026-05-15,,account,1000895.0,410485.0,410485.0,590410.0,590410.0,12,,,,,,母版持仓&资金记录-20260501-20260623.txt,102,parsed
2026-05-18,,account,1007618.0,410485.0,410485.0,597133.0,597133.0,12,,,,,,母版持仓&资金记录-20260501-20260623.txt,117,parsed
2026-05-19,,account,1006694.04,207908.04,207908.04,798786.0,798786.0,12,,,,,,母版持仓&资金记录-20260501-20260623.txt,132,parsed
2026-05-20,,account,994873.04,207908.04,207908.04,786965.0,786965.0,12,,,,,,母版持仓&资金记录-20260501-20260623.txt,147,parsed
2026-05-21,,account,964765.04,207908.04,207908.04,756857.0,756857.0,12,,,,,,母版持仓&资金记录-20260501-20260623.txt,162,parsed
2026-05-22,,account,995178.04,10199.04,10199.04,984979.0,984979.0,13,,,,,,母版持仓&资金记录-20260501-20260623.txt,177,parsed
2026-05-25,,account,977240.04,10199.04,10199.04,967041.0,967041.0,13,,,,,,母版持仓&资金记录-20260501-20260623.txt,193,parsed
2026-05-26,,account,958263.04,10199.04,10199.04,948064.0,948064.0,13,,,,,,母版持仓&资金记录-20260501-20260623.txt,209,parsed
2026-05-27,,account,935438.27,5323.27,5323.27,930115.0,930115.0,13,,,,,,母版持仓&资金记录-20260501-20260623.txt,225,parsed
2026-05-28,,account,933795.27,5323.27,5323.27,928472.0,928472.0,13,,,,,,母版持仓&资金记录-20260501-20260623.txt,241,parsed
2026-05-29,,account,907128.27,5323.27,5323.27,901805.0,901805.0,13,,,,,,母版持仓&资金记录-20260501-20260623.txt,257,parsed
2026-06-01,,account,930927.41,5291.41,5291.41,925636.0,925636.0,14,,,,,,母版持仓&资金记录-20260501-20260623.txt,273,parsed
2026-06-02,,account,898242.41,5599.41,5599.41,892643.0,892643.0,14,,,,,,母版持仓&资金记录-20260501-20260623.txt,290,parsed
2026-06-03,,account,884565.41,5599.41,5599.41,878966.0,878966.0,14,,,,,,母版持仓&资金记录-20260501-20260623.txt,307,parsed
2026-06-04,,account,862527.42,1203.42,1203.42,861324.0,861324.0,13,,,,,,母版持仓&资金记录-20260501-20260623.txt,324,parsed
2026-06-05,,account,879159.42,1203.42,1203.42,877956.0,877956.0,13,,,,,,母版持仓&资金记录-20260501-20260623.txt,340,parsed
2026-06-08,,account,849374.42,1203.42,1203.42,848171.0,848171.0,13,,,,,,母版持仓&资金记录-20260501-20260623.txt,356,parsed
2026-06-09,,account,857494.42,1225.42,1225.42,856269.0,856269.0,13,,,,,,母版持仓&资金记录-20260501-20260623.txt,372,parsed
2026-06-10,,account,844124.42,1225.42,1225.42,842899.0,842899.0,13,,,,,,母版持仓&资金记录-20260501-20260623.txt,388,parsed
2026-06-11,,account,833510.42,1225.42,1225.42,832285.0,832285.0,13,,,,,,母版持仓&资金记录-20260501-20260623.txt,404,parsed
2026-06-12,,account,837698.57,139.57,139.57,837559.0,837559.0,13,,,,,,母版持仓&资金记录-20260501-20260623.txt,420,parsed
2026-06-15,,account,825656.57,139.57,139.57,825517.0,825517.0,13,,,,,,母版持仓&资金记录-20260501-20260623.txt,436,parsed
2026-06-16,,account,829190.57,139.57,139.57,829051.0,829051.0,13,,,,,,母版持仓&资金记录-20260501-20260623.txt,452,parsed
2026-06-17,,account,806079.34,1494.34,1494.34,804585.0,804585.0,13,,,,,,母版持仓&资金记录-20260501-20260623.txt,468,parsed
2026-06-18,,account,801540.34,1494.34,1494.34,800046.0,800046.0,13,,,,,,母版持仓&资金记录-20260501-20260623.txt,484,parsed
2026-06-22,,account,815795.34,1494.34,1494.34,814301.0,814301.0,13,,,,,,母版持仓&资金记录-20260501-20260623.txt,500,parsed
2026-06-23,,account,834499.06,1429.06,1429.06,833070.0,833070.0,13,,,,,,母版持仓&资金记录-20260501-20260623.txt,516,parsed
2026-06-24,,account,788859.06,1429.06,1429.06,787430.0,787430.0,13,,,,,,母版持仓&资金记录-20260501-20260623.txt,532,parsed
2026-05-06,,position,1001161.0,805259.0,805259.0,195902.0,195902.0,10,300665.XSHE,2300,2300,8.81,20263.0,母版持仓&资金记录-20260501-20260623.txt,7,parsed
2026-05-06,,position,1001161.0,805259.0,805259.0,195902.0,195902.0,10,301098.XSHE,2000,2000,9.64,19280.0,母版持仓&资金记录-20260501-20260623.txt,8,parsed
2026-05-06,,position,1001161.0,805259.0,805259.0,195902.0,195902.0,10,300405.XSHE,2800,2800,7.18,20104.0,母版持仓&资金记录-20260501-20260623.txt,9,parsed
2026-05-06,,position,1001161.0,805259.0,805259.0,195902.0,195902.0,10,600561.XSHG,2800,2800,6.99,19572.0,母版持仓&资金记录-20260501-20260623.txt,10,parsed
2026-05-06,,position,1001161.0,805259.0,805259.0,195902.0,195902.0,10,600697.XSHG,1500,1500,12.7,19050.0,母版持仓&资金记录-20260501-20260623.txt,11,parsed
