date,time,code,name,side,quantity,price,gross_amount,commission,stamp_tax,transfer_fee,net_amount,source_file,source_line_no,raw_text,parse_status
2026-05-06,09:30:00,301098.XSHE,金埔园林,buy,2000,9.63,19260.0,5.0,0,0,19265.0,母版交易记录-20260501-20260623.txt,20,"2026-05-06	09:30:00	金埔园林(301098.XSHE)	买	市价单	2000股	9.63	19,260.00	0.00	5.00",parsed
2026-05-06,09:30:00,600455.XSHG,博通股份,buy,700,28.5,19950.0,5.0,0,0,19955.0,母版交易记录-20260501-20260623.txt,21,"2026-05-06	09:30:00	博通股份(600455.XSHG)	买	市价单	700股	28.5	19,950.00	0.00	5.00",parsed
2026-05-06,09:30:00,300665.XSHE,飞鹿股份,buy,2300,8.6,19780.0,5.0,0,0,19785.0,母版交易记录-20260501-20260623.txt,22,"2026-05-06	09:30:00	飞鹿股份(300665.XSHE)	买	市价单	2300股	8.6	19,780.00	0.00	5.00",parsed
2026-05-06,09:30:00,300929.XSHE,华骐环保,buy,1300,14.29,18577.0,5.0,0,0,18582.0,母版交易记录-20260501-20260623.txt,23,"2026-05-06	09:30:00	华骐环保(300929.XSHE)	买	市价单	1300股	14.29	18,577.00	0.00	5.00",parsed
2026-05-06,09:30:00,300417.XSHE,南华仪器,buy,1400,14.26,19964.0,5.0,0,0,19969.0,母版交易记录-20260501-20260623.txt,24,"2026-05-06	09:30:00	南华仪器(300417.XSHE)	买	市价单	1400股	14.26	19,964.00	0.00	5.00",parsed
2026-05-06,09:30:00,300405.XSHE,科隆股份,buy,2800,7.06,19768.0,5.0,0,0,19773.0,母版交易记录-20260501-20260623.txt,25,"2026-05-06	09:30:00	科隆股份(300405.XSHE)	买	市价单	2800股	7.06	19,768.00	0.00	5.00",parsed
2026-05-06,09:30:00,600561.XSHG,江西长运,buy,2800,7.07,19796.0,5.0,0,0,19801.0,母版交易记录-20260501-20260623.txt,26,"2026-05-06	09:30:00	江西长运(600561.XSHG)	买	市价单	2800股	7.07	19,796.00	0.00	5.00",parsed
2026-05-06,09:30:00,301167.XSHE,建研设计,buy,1100,17.8,19580.0,5.0,0,0,19585.0,母版交易记录-20260501-20260623.txt,27,"2026-05-06	09:30:00	建研设计(301167.XSHE)	买	市价单	1100股	17.8	19,580.00	0.00	5.00",parsed
2026-05-06,09:30:00,600697.XSHG,欧亚集团,buy,1500,12.64,18960.0,5.0,0,0,18965.0,母版交易记录-20260501-20260623.txt,28,"2026-05-06	09:30:00	欧亚集团(600697.XSHG)	买	市价单	1500股	12.64	18,960.00	0.00	5.00",parsed
2026-05-06,09:30:00,300500.XSHE,启迪设计,buy,1600,11.91,19056.0,5.0,0,0,19061.0,母版交易记录-20260501-20260623.txt,29,"2026-05-06	09:30:00	启迪设计(300500.XSHE)	买	市价单	1600股	11.91	19,056.00	0.00	5.00",parsed
2026-05-11,09:30:00,301098.XSHE,金埔园林,buy,2100,9.79,20559.0,5.0,0,0,20564.0,母版交易记录-20260501-20260623.txt,31,"2026-05-11	09:30:00	金埔园林(301098.XSHE)	买	市价单	2100股	9.79	20,559.00	0.00	5.00",parsed
2026-05-11,09:30:00,600455.XSHG,博通股份,buy,600,29.39,17634.0,5.0,0,0,17639.0,母版交易记录-20260501-20260623.txt,32,"2026-05-11	09:30:00	博通股份(600455.XSHG)	买	市价单	600股	29.39	17,634.00	0.00	5.00",parsed
2026-05-11,09:30:00,300665.XSHE,飞鹿股份,buy,2100,9.09,19089.0,5.0,0,0,19094.0,母版交易记录-20260501-20260623.txt,33,"2026-05-11	09:30:00	飞鹿股份(300665.XSHE)	买	市价单	2100股	9.09	19,089.00	0.00	5.00",parsed
2026-05-11,09:30:00,300929.XSHE,华骐环保,buy,1400,14.72,20608.0,5.0,0,0,20613.0,母版交易记录-20260501-20260623.txt,34,"2026-05-11	09:30:00	华骐环保(300929.XSHE)	买	市价单	1400股	14.72	20,608.00	0.00	5.00",parsed
2026-05-11,09:30:00,300417.XSHE,南华仪器,buy,1200,15.47,18564.0,5.0,0,0,18569.0,母版交易记录-20260501-20260623.txt,35,"2026-05-11	09:30:00	南华仪器(300417.XSHE)	买	市价单	1200股	15.47	18,564.00	0.00	5.00",parsed
2026-05-11,09:30:00,300405.XSHE,科隆股份,buy,2800,7.17,20076.0,5.0,0,0,20081.0,母版交易记录-20260501-20260623.txt,36,"2026-05-11	09:30:00	科隆股份(300405.XSHE)	买	市价单	2800股	7.17	20,076.00	0.00	5.00",parsed
2026-05-11,09:30:00,600561.XSHG,江西长运,buy,2800,7.13,19964.0,5.0,0,0,19969.0,母版交易记录-20260501-20260623.txt,37,"2026-05-11	09:30:00	江西长运(600561.XSHG)	买	市价单	2800股	7.13	19,964.00	0.00	5.00",parsed
2026-05-11,09:30:00,301167.XSHE,建研设计,buy,1100,18.02,19822.0,5.0,0,0,19827.0,母版交易记录-20260501-20260623.txt,38,"2026-05-11	09:30:00	建研设计(301167.XSHE)	买	市价单	1100股	18.02	19,822.00	0.00	5.00",parsed
2026-05-11,09:30:00,600697.XSHG,欧亚集团,buy,1600,12.84,20544.0,5.0,0,0,20549.0,母版交易记录-20260501-20260623.txt,39,"2026-05-11	09:30:00	欧亚集团(600697.XSHG)	买	市价单	1600股	12.84	20,544.00	0.00	5.00",parsed
2026-05-11,09:30:00,600493.XSHG,凤竹纺织,buy,2600,7.67,19942.0,5.0,0,0,19947.0,母版交易记录-20260501-20260623.txt,40,"2026-05-11	09:30:00	凤竹纺织(600493.XSHG)	买	市价单	2600股	7.67	19,942.00	0.00	5.00",parsed
2026-05-14,09:30:00,301098.XSHE,金埔园林,buy,1400,10.8,15120.0,5.0,0,0,15125.0,母版交易记录-20260501-20260623.txt,42,"2026-05-14	09:30:00	金埔园林(301098.XSHE)	买	市价单	1400股	10.8	15,120.00	0.00	5.00",parsed
2026-05-14,09:30:00,600455.XSHG,博通股份,buy,700,29.04,20328.0,5.0,0,0,20333.0,母版交易记录-20260501-20260623.txt,43,"2026-05-14	09:30:00	博通股份(600455.XSHG)	买	市价单	700股	29.04	20,328.00	0.00	5.00",parsed
2026-05-14,09:30:00,300665.XSHE,飞鹿股份,buy,2100,9.25,19425.0,5.0,0,0,19430.0,母版交易记录-20260501-20260623.txt,44,"2026-05-14	09:30:00	飞鹿股份(300665.XSHE)	买	市价单	2100股	9.25	19,425.00	0.00	5.00",parsed
2026-05-14,09:30:00,300929.XSHE,华骐环保,buy,1500,14.14,21210.0,5.0,0,0,21215.0,母版交易记录-20260501-20260623.txt,45,"2026-05-14	09:30:00	华骐环保(300929.XSHE)	买	市价单	1500股	14.14	21,210.00	0.00	5.00",parsed
2026-05-14,09:30:00,300417.XSHE,南华仪器,buy,1300,15.24,19812.0,5.0,0,0,19817.0,母版交易记录-20260501-20260623.txt,46,"2026-05-14	09:30:00	南华仪器(300417.XSHE)	买	市价单	1300股	15.24	19,812.00	0.00	5.00",parsed
2026-05-14,09:30:00,600561.XSHG,江西长运,buy,2900,7.03,20387.0,5.0,0,0,20392.0,母版交易记录-20260501-20260623.txt,47,"2026-05-14	09:30:00	江西长运(600561.XSHG)	买	市价单	2900股	7.03	20,387.00	0.00	5.00",parsed
2026-05-14,09:30:00,301167.XSHE,建研设计,buy,1200,17.73,21276.0,5.0,0,0,21281.0,母版交易记录-20260501-20260623.txt,48,"2026-05-14	09:30:00	建研设计(301167.XSHE)	买	市价单	1200股	17.73	21,276.00	0.00	5.00",parsed
2026-05-14,09:30:00,600697.XSHG,欧亚集团,buy,1700,12.44,21148.0,5.0,0,0,21153.0,母版交易记录-20260501-20260623.txt,49,"2026-05-14	09:30:00	欧亚集团(600697.XSHG)	买	市价单	1700股	12.44	21,148.00	0.00	5.00",parsed
2026-05-14,09:30:00,600493.XSHG,凤竹纺织,buy,2800,7.37,20636.0,5.0,0,0,20641.0,母版交易记录-20260501-20260623.txt,50,"2026-05-14	09:30:00	凤竹纺织(600493.XSHG)	买	市价单	2800股	7.37	20,636.00	0.00	5.00",parsed
2026-05-14,09:30:00,300535.XSHE,达威股份,buy,1000,18.53,18530.0,5.0,0,0,18535.0,母版交易记录-20260501-20260623.txt,51,"2026-05-14	09:30:00	达威股份(300535.XSHE)	买	市价单	1000股	18.53	18,530.00	0.00	5.00",parsed
2026-05-19,09:30:00,301098.XSHE,金埔园林,buy,2000,10.66,21320.0,5.0,0,0,21325.0,母版交易记录-20260501-20260623.txt,53,"2026-05-19	09:30:00	金埔园林(301098.XSHE)	买	市价单	2000股	10.66	21,320.00	0.00	5.00",parsed
2026-05-19,09:30:00,600455.XSHG,博通股份,buy,700,29.71,20797.0,5.0,0,0,20802.0,母版交易记录-20260501-20260623.txt,54,"2026-05-19	09:30:00	博通股份(600455.XSHG)	买	市价单	700股	29.71	20,797.00	0.00	5.00",parsed
2026-05-19,09:30:00,300665.XSHE,飞鹿股份,sell,-300,9.85,-2955.0,7.96,0,0,-2962.96,母版交易记录-20260501-20260623.txt,55,"2026-05-19	09:30:00	飞鹿股份(300665.XSHE)	卖	市价单	-300股	9.85	-2,955.00	264.51	7.96",parsed
2026-05-19,09:30:00,300929.XSHE,华骐环保,buy,1500,14,21000.0,5.0,0,0,21005.0,母版交易记录-20260501-20260623.txt,56,"2026-05-19	09:30:00	华骐环保(300929.XSHE)	买	市价单	1500股	14	21,000.00	0.00	5.00",parsed
2026-05-19,09:30:00,300417.XSHE,南华仪器,buy,1300,15.23,19799.0,5.0,0,0,19804.0,母版交易记录-20260501-20260623.txt,57,"2026-05-19	09:30:00	南华仪器(300417.XSHE)	买	市价单	1300股	15.23	19,799.00	0.00	5.00",parsed
2026-05-19,09:30:00,300405.XSHE,科隆股份,buy,2700,7.28,19656.0,5.0,0,0,19661.0,母版交易记录-20260501-20260623.txt,58,"2026-05-19	09:30:00	科隆股份(300405.XSHE)	买	市价单	2700股	7.28	19,656.00	0.00	5.00",parsed
2026-05-19,09:30:00,600561.XSHG,江西长运,buy,3100,6.94,21514.0,5.0,0,0,21519.0,母版交易记录-20260501-20260623.txt,59,"2026-05-19	09:30:00	江西长运(600561.XSHG)	买	市价单	3100股	6.94	21,514.00	0.00	5.00",parsed
2026-05-19,09:30:00,301167.XSHE,建研设计,buy,1200,17.52,21024.0,5.0,0,0,21029.0,母版交易记录-20260501-20260623.txt,60,"2026-05-19	09:30:00	建研设计(301167.XSHE)	买	市价单	1200股	17.52	21,024.00	0.00	5.00",parsed
2026-05-19,09:30:00,600697.XSHG,欧亚集团,buy,1600,12.48,19968.0,5.0,0,0,19973.0,母版交易记录-20260501-20260623.txt,61,"2026-05-19	09:30:00	欧亚集团(600697.XSHG)	买	市价单	1600股	12.48	19,968.00	0.00	5.00",parsed
2026-05-19,09:30:00,600493.XSHG,凤竹纺织,buy,2700,7.4,19980.0,5.0,0,0,19985.0,母版交易记录-20260501-20260623.txt,62,"2026-05-19	09:30:00	凤竹纺织(600493.XSHG)	买	市价单	2700股	7.4	19,980.00	0.00	5.00",parsed
