date,time_str,code,side,quantity,price,gross_amount,commission,tax
2020-01-02,09:30,511880.XSHG,buy,9900,100.106,991049.3999999999,0.0,0.0
2020-02-03,09:30,511880.XSHG,sell,9900,100.311,993078.9,0.0,0.0
2020-02-03,09:30,600671.XSHG,buy,1700,11.24,19108.0,5.0,0.0
2020-02-03,09:30,300539.XSHE,buy,3100,6.38,19778.0,5.0,0.0
2020-02-03,09:30,600791.XSHG,buy,6300,3.15,19845.0,5.0,0.0
2020-02-03,09:30,002076.XSHE,buy,9600,2.08,19968.0,5.0,0.0
2020-02-03,09:30,300218.XSHE,buy,2800,6.95,19460.0,5.0,0.0
2020-02-03,09:30,600889.XSHG,buy,4800,4.13,19824.0,5.0,0.0
2020-02-03,09:30,600766.XSHG,buy,2900,6.76,19604.0,5.0,0.0
2020-02-03,09:30,603139.XSHG,buy,1200,15.64,18768.0,5.0,0.0
2020-02-03,09:30,603356.XSHG,buy,1600,11.99,19184.0,5.0,0.0
2020-02-03,09:30,300412.XSHE,buy,3200,6.09,19488.0,5.0,0.0
2020-02-06,09:30,002076.XSHE,sell,400,2.22,888.0000000000001,5.0,0.89
2020-02-06,09:30,600889.XSHG,sell,100,4.39,438.99999999999994,5.0,0.44
2020-02-06,09:30,300412.XSHE,sell,100,6.72,672.0,5.0,0.67
2020-02-06,09:30,300029.XSHE,buy,3800,5.33,20254.0,5.0,0.0
2020-02-06,09:30,000679.XSHE,buy,6600,3.03,19998.0,5.0,0.0
2020-02-06,09:30,002473.XSHE,buy,2900,6.86,19894.0,5.0,0.0
2020-02-06,09:30,600561.XSHG,buy,4300,4.62,19866.0,5.0,0.0
2020-02-06,09:30,300106.XSHE,buy,3800,5.25,19950.0,5.0,0.0
2020-02-06,09:30,000929.XSHE,buy,3300,6.05,19965.0,5.0,0.0
2020-02-06,09:30,300665.XSHE,buy,2100,9.29,19509.0,5.0,0.0
2020-02-06,09:30,603991.XSHG,buy,1300,15.22,19786.0,5.0,0.0
2020-02-06,09:30,000691.XSHE,buy,5700,3.5,19950.0,5.0,0.0
2020-02-06,09:30,600241.XSHG,buy,5100,3.94,20094.0,5.0,0.0
2020-02-11,09:30,600889.XSHG,sell,100,4.56,455.99999999999994,5.0,0.46
2020-02-11,09:30,600766.XSHG,sell,100,7.45,745.0,5.0,0.74
2020-02-11,09:30,300412.XSHE,sell,100,7.04,704.0,5.0,0.7
2020-02-11,09:30,300029.XSHE,buy,3700,5.45,20165.0,5.0,0.0
2020-02-11,09:30,000679.XSHE,buy,5900,3.29,19411.0,5.0,0.0
2020-02-11,09:30,002473.XSHE,buy,2800,7.2,20160.0,5.0,0.0
2020-02-11,09:30,600561.XSHG,buy,4200,4.86,20412.0,5.0,0.0
2020-02-11,09:30,300106.XSHE,sell,100,5.69,569.0,5.0,0.57
2020-02-11,09:30,000929.XSHE,buy,3200,6.3,20160.0,5.0,0.0
2020-02-11,09:30,300665.XSHE,buy,2200,9.54,20987.999999999996,5.0,0.0
2020-02-11,09:30,603991.XSHG,buy,1300,15.67,20371.0,5.0,0.0
2020-02-11,09:30,000691.XSHE,buy,5600,3.65,20440.0,5.0,0.0
2020-02-11,09:30,600241.XSHG,buy,5100,4.05,20655.0,5.0,0.0
2020-02-11,09:30,300736.XSHE,buy,2200,9.19,20218.0,5.0,0.0
2020-02-11,14:00,002076.XSHE,sell,700,2.45,1715.0000000000002,5.0,1.72
2020-02-14,09:30,002076.XSHE,buy,600,2.23,1338.0,5.0,0.0
2020-02-14,09:30,600766.XSHG,sell,100,7.66,766.0,5.0,0.77
2020-02-14,09:30,300029.XSHE,buy,3700,5.43,20091.0,5.0,0.0
2020-02-14,09:30,000679.XSHE,sell,100,3.3,330.0,5.0,0.33
2020-02-14,09:30,002473.XSHE,buy,2700,7.27,19629.0,5.0,0.0
2020-02-14,09:30,600561.XSHG,buy,4300,4.78,20554.0,5.0,0.0
2020-02-14,09:30,300106.XSHE,buy,3700,5.47,20239.0,5.0,0.0
2020-02-14,09:30,000929.XSHE,buy,3300,6.21,20493.0,5.0,0.0
