date,value
2026-05-06,1001161.0
2026-05-07,1001845.0
2026-05-08,1004250.0
2026-05-11,1006704.0
2026-05-12,1002712.0
2026-05-13,1002141.0
2026-05-14,1009405.0
2026-05-15,1000895.0
2026-05-18,1007618.0
2026-05-19,1006694.04
2026-05-20,994873.04
2026-05-21,964765.04
2026-05-22,995178.04
2026-05-25,977240.04
2026-05-26,958263.04
2026-05-27,935438.26
2026-05-28,933795.26
2026-05-29,907128.26
2026-06-01,930502.6
2026-06-02,897509.6
2026-06-03,883832.6
2026-06-04,861797.98
2026-06-05,878421.98
2026-06-08,848655.98
2026-06-09,856765.6
2026-06-10,843396.6
2026-06-11,832793.6
2026-06-12,836971.23
2026-06-15,824921.23
2026-06-16,828459.23
2026-06-17,806524.23
2026-06-18,802753.23
2026-06-22,816518.23
2026-06-23,838096.23
2026-06-24,790987.23
