date,code,side,jq_quantity,local_quantity,quantity_diff,jq_price,local_price,price_diff,jq_gross_amount,local_gross_amount,gross_amount_diff,jq_commission,local_commission,jq_tax,local_tax,match_status,diff_reason
2020-01-02,511880.XSHG,buy,9900,9900,0,100.106,100.106,0.0,991049.4,991049.3999999999,-1.1641532182693481e-10,0.0,0.0,0,0.0,exact_match,unknown
2020-02-03,002076.XSHE,buy,9600,9600,0,2.08,2.08,0.0,19968.0,19968.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-02-03,300218.XSHE,buy,2800,2800,0,6.95,6.95,0.0,19460.0,19460.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-02-03,300412.XSHE,buy,3200,3200,0,6.09,6.09,0.0,19488.0,19488.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-02-03,300539.XSHE,buy,3100,3100,0,6.38,6.38,0.0,19778.0,19778.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-02-03,511880.XSHG,sell,9900,9900,0,100.311,100.311,0.0,993078.9,993078.9,0.0,0.0,0.0,0,0.0,exact_match,unknown
2020-02-03,600671.XSHG,buy,1700,1700,0,11.24,11.24,0.0,19108.0,19108.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-02-03,600766.XSHG,buy,2900,2900,0,6.76,6.76,0.0,19604.0,19604.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-02-03,600791.XSHG,buy,6300,6300,0,3.15,3.15,0.0,19845.0,19845.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-02-03,600889.XSHG,buy,4800,4800,0,4.13,4.13,0.0,19824.0,19824.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-02-03,603139.XSHG,buy,1200,1200,0,15.64,15.64,0.0,18768.0,18768.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-02-03,603356.XSHG,buy,1600,1600,0,11.99,11.99,0.0,19184.0,19184.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-02-06,000679.XSHE,buy,6600,6600,0,3.03,3.03,0.0,19998.0,19998.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-02-06,000691.XSHE,buy,5700,5700,0,3.5,3.5,0.0,19950.0,19950.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
