date,sequence,code,side,jq_quantity,local_quantity,quantity_diff,jq_price,local_price,price_diff,jq_gross_amount,local_gross_amount,gross_amount_diff,jq_commission,local_commission,commission_diff,jq_tax,local_tax,tax_diff,match_status,diff_reason,evidence_level
2025-01-02,0,511880.XSHG,buy,9900.0,9900.0,0.0,100.081,100.081,0.0,990801.9,990801.9,0.0,0.0,0.0,0.0,0,0,0,exact_match,none,A
2025-02-05,0,000668.XSHE,buy,3100.0,3100.0,0.0,6.32,6.32,0.0,19592.0,19592.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-05,0,000691.XSHE,buy,6900.0,6900.0,0.0,2.86,2.86,0.0,19734.0,19734.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-05,0,000929.XSHE,buy,3100.0,3100.0,0.0,6.26,6.26,0.0,19406.0,19406.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-05,0,002620.XSHE,buy,6600.0,6600.0,0.0,2.99,2.99,0.0,19734.0,19734.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-05,0,002848.XSHE,buy,3400.0,3400.0,0.0,5.74,5.74,0.0,19516.0,19516.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-05,0,300929.XSHE,buy,2300.0,2300.0,0.0,8.67,8.67,0.0,19941.0,19941.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-05,0,511880.XSHG,sell,9900.0,9900.0,0.0,100.182,100.182,0.0,-991801.8,991801.8,-1983603.6,0.0,0.0,0.0,0,0,0,exact_match,none,A
2025-02-05,0,600193.XSHG,buy,7600.0,7600.0,0.0,2.62,2.62,0.0,19912.0,19912.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-05,0,600421.XSHG,buy,3700.0,3700.0,0.0,5.32,5.32,0.0,19684.0,19684.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-05,0,603813.XSHG,buy,2100.0,2100.0,0.0,9.21,9.21,0.0,19341.0,19341.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-05,0,605081.XSHG,buy,2400.0,2400.0,0.0,8.32,8.32,0.0,19968.0,19968.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-06,0,600193.XSHG,sell,1200.0,1200.0,0.0,3.21,3.21,0.0,-3852.0,3852.0,-7704.0,8.85,5.0,3.8499999999999996,0,0,0,exact_match,none,A
2025-02-06,0,600421.XSHG,sell,200.0,200.0,0.0,5.86,5.86,0.0,-1172.0,1172.0,-2344.0,6.17,5.0,1.17,0,0,0,exact_match,none,A
2025-02-10,0,000668.XSHE,buy,3600.0,3600.0,0.0,6.05,6.05,0.0,21780.0,21780.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-10,0,000691.XSHE,buy,6100.0,6100.0,0.0,3.12,3.12,0.0,19032.0,19032.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
