date,sequence,code,side,jq_quantity,local_quantity,quantity_diff,jq_price,local_price,price_diff,jq_gross_amount,local_gross_amount,gross_amount_diff,jq_commission,local_commission,commission_diff,jq_tax,local_tax,tax_diff,match_status,diff_reason,evidence_level
2026-05-06,0,300405.XSHE,buy,2800.0,2800.0,0.0,7.06,7.06,0.0,19768.0,19768.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-06,0,300417.XSHE,buy,1400.0,1400.0,0.0,14.26,14.26,0.0,19964.0,19964.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-06,0,300500.XSHE,buy,1600.0,1600.0,0.0,11.91,11.91,0.0,19056.0,19056.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-06,0,300665.XSHE,buy,2300.0,2300.0,0.0,8.6,8.6,0.0,19780.0,19780.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-06,0,300929.XSHE,buy,1300.0,1300.0,0.0,14.29,14.29,0.0,18577.0,18577.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-06,0,301098.XSHE,buy,2000.0,2000.0,0.0,9.63,9.63,0.0,19260.0,19260.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-06,0,301167.XSHE,buy,1100.0,1100.0,0.0,17.8,17.8,0.0,19580.0,19580.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-06,0,600455.XSHG,buy,700.0,700.0,0.0,28.5,28.5,0.0,19950.0,19950.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-06,0,600561.XSHG,buy,2800.0,2800.0,0.0,7.07,7.07,0.0,19796.0,19796.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-06,0,600697.XSHG,buy,1500.0,1500.0,0.0,12.64,12.64,0.0,18960.0,18960.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-11,0,300405.XSHE,buy,2800.0,2800.0,0.0,7.17,7.17,0.0,20076.0,20076.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-11,0,300417.XSHE,buy,1200.0,1200.0,0.0,15.47,15.47,0.0,18564.0,18564.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-11,0,300665.XSHE,buy,2100.0,2100.0,0.0,9.09,9.09,0.0,19089.0,19089.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-11,0,300929.XSHE,buy,1400.0,1400.0,0.0,14.72,14.72,0.0,20608.0,20608.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-11,0,301098.XSHE,buy,2100.0,2100.0,0.0,9.79,9.79,0.0,20559.0,20559.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-11,0,301167.XSHE,buy,1100.0,1100.0,0.0,18.02,18.02,0.0,19822.0,19822.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-11,0,600455.XSHG,buy,600.0,600.0,0.0,29.39,29.39,0.0,17634.0,17634.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-11,0,600493.XSHG,buy,2600.0,2600.0,0.0,7.67,7.67,0.0,19942.0,19942.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-11,0,600561.XSHG,buy,2800.0,2800.0,0.0,7.13,7.13,0.0,19964.0,19964.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-11,0,600697.XSHG,buy,1600.0,1600.0,0.0,12.84,12.84,0.0,20544.0,20544.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-14,0,300417.XSHE,buy,1300.0,1300.0,0.0,15.24,15.24,0.0,19812.0,19812.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-14,0,300535.XSHE,buy,1000.0,1000.0,0.0,18.53,18.53,0.0,18530.0,18530.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-14,0,300665.XSHE,buy,2100.0,2100.0,0.0,9.25,9.25,0.0,19425.0,19425.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-14,0,300929.XSHE,buy,1500.0,1500.0,0.0,14.14,14.14,0.0,21210.0,21210.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-14,0,301098.XSHE,buy,1400.0,1400.0,0.0,10.8,10.8,0.0,15120.0,15120.000000000002,-1.8189894035458565e-12,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-14,0,301167.XSHE,buy,1200.0,1200.0,0.0,17.73,17.73,0.0,21276.0,21276.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-14,0,600455.XSHG,buy,700.0,700.0,0.0,29.04,29.04,0.0,20328.0,20328.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-14,0,600493.XSHG,buy,2800.0,2800.0,0.0,7.37,7.37,0.0,20636.0,20636.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
